gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-152.97,-25.86,0.0364,0.0376,459.1,763.8,-304.6,164.85,247.65,247.65,H16_headline_s42,29,42,1,success,1901,377,,25.7428,34.82,0,0,0,341.0,329.05,1,74,155,148,34.82
137.93,-21.98,0.018,0.0469,478.3,724.7,-246.4,133.64,240.45,240.45,H16_headline_s42,30,42,1,success,1902,425,,71.5612,72.829,0,0,0,321.0,313.45,1,65,176,184,72.83
127.49,-44.56,0.0164,0.0032,688.0,484.4,203.7,110.81,74.79,110.81,H16_headline_s42,31,42,1,success,1882,301,,170.3132,156.414,0,0,0,133.0,139.98,1,57,119,125,156.41
70.56,-136.92,0.0014,0.031,686.1,434.6,251.5,137.59,123.28,137.59,H16_headline_s42,32,42,1,success,1754,221,,79.68,77.784,0,0,0,151.0,159.1,1,42,130,49,77.78
-69.8,134.89,0.0366,0.0161,593.5,434.4,159.1,87.92,197.56,197.56,H16_headline_s42,33,42,1,success,1956,428,,64.0054,59.765,0,0,0,336.0,233.0,1,89,153,186,59.77
-33.67,-165.63,0.0225,0.0455,408.4,604.5,-196.1,108.53,237.15,237.15,H16_headline_s42,34,42,1,success,1537,270,,68.3567,62.196,0,0,0,255.0,254.67,1,25,151,94,62.2
121.68,1.91,0.0018,0.0283,416.5,728.6,-312.1,170.31,109.44,170.31,H16_headline_s42,35,42,1,success,1930,477,,70.828,69.585,0,0,0,240.0,235.64,1,97,152,228,69.59
-22.51,-102.37,0.0234,0.0151,553.3,352.8,200.4,112.26,98.39,112.26,H16_headline_s42,36,42,1,success,1597,284,,71.2405,61.668,0,0,0,144.0,137.34,1,35,153,96,61.67
117.61,21.01,0.0205,0.0155,563.7,642.0,-78.3,42.44,102.12,102.12,H16_headline_s42,37,42,1,success,1888,358,,158.478,152.199,0,0,0,153.0,165.12,1,45,162,151,152.2
-53.59,65.3,0.0195,0.0168,423.8,732.3,-308.5,168.12,116.97,168.12,H16_headline_s42,38,42,1,success,1662,225,,112.5194,107.034,0,0,0,164.0,162.65,1,42,133,50,107.03
143.3,165.04,0.0211,0.0274,728.2,427.6,300.6,163.87,42.38,163.87,H16_headline_s42,39,42,1,success,1908,385,,31.6424,34.851,0,0,0,156.0,169.3,1,60,161,164,34.85
4.31,11.35,0.0312,0.0365,622.6,710.2,-87.6,46.85,25.05,46.85,H16_headline_s42,40,42,1,success,1922,337,,42.8436,36.714,0,0,0,54.0,50.96,1,16,311,10,36.71
-142.53,29.61,0.0053,0.0477,561.9,654.1,-92.2,49.94,199.49,199.49,H16_headline_s42,41,42,1,success,1886,371,,136.383,137.717,0,0,0,274.0,266.48,1,59,148,164,137.72
-23.19,-57.31,0.014,0.0196,723.2,368.6,354.6,194.64,43.02,194.64,H16_headline_s42,42,42,1,success,1973,454,,35.5734,34.76,0,0,0,202.0,212.33,1,85,161,208,34.76
87.04,-49.11,0.0155,0.0039,742.9,336.9,405.9,223.12,71.43,223.12,H16_headline_s42,43,42,1,success,1788,326,,171.3589,151.345,0,0,0,219.0,233.24,1,43,137,146,151.35
-162.31,-84.19,0.0233,0.0429,367.8,758.5,-390.7,213.64,166.01,213.64,H16_headline_s42,44,42,1,success,1897,388,,69.6346,74.762,0,0,0,255.0,252.32,1,66,165,157,74.76
96.76,164.8,0.0142,0.034,394.3,526.0,-131.8,73.68,119.95,119.95,H16_headline_s42,45,42,1,success,1866,326,,30.6459,33.272,0,0,0,164.0,172.17,1,46,152,128,33.27
175.99,101.98,0.0452,0.0344,555.3,718.1,-162.8,87.62,182.53,182.53,H16_headline_s42,46,42,1,success,1933,443,,38.1982,39.529,0,0,0,285.0,275.59,1,77,184,182,39.53
109.68,-61.69,0.0296,0.0012,596.4,705.4,-109.0,58.48,115.52,115.52,H16_headline_s42,47,42,1,success,1880,295,,139.2475,134.206,0,0,0,172.0,173.59,1,56,152,87,134.21
