gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
143.35,-74.84,0.0408,0.0342,676.0,571.4,104.6,56.45,268.86,268.86,B_tight5_s7,0,7,1,success,1953,399,,4.3216,5.033,0,0,0,364.0,343.09,1,84,176,139,5.03
142.56,45.99,0.0289,0.0344,556.5,761.6,-205.1,109.83,177.14,177.14,B_tight5_s7,1,7,0,safety_cap,2000,471,,3.5798,7.623,0,0,0,314.0,259.14,1,96,195,180,7.62
-58.09,-157.41,0.0149,0.0166,467.7,718.6,-250.9,136.29,90.1,136.29,B_tight5_s7,2,7,1,success,1968,321,5.0525,3.9085,3.941,1,0,0,141.0,132.68,1,41,219,61,3.94
-151.0,28.28,0.0137,0.0439,578.7,664.6,-86.0,46.4,216.65,216.65,B_tight5_s7,3,7,0,safety_cap,2000,450,,2.5332,6.015,0,0,0,334.0,295.89,1,75,194,181,6.01
102.28,-5.35,0.0172,0.0027,396.5,754.5,-358.0,195.25,68.16,195.25,B_tight5_s7,4,7,1,success,1983,506,,4.7365,5.396,0,0,0,213.0,205.13,1,100,170,236,5.4
-52.53,-41.06,0.0212,0.0142,382.8,502.8,-120.0,67.37,29.8,67.37,B_tight5_s7,5,7,1,success,1961,484,6.3739,4.3787,4.682,1,0,0,69.0,66.49,1,36,231,217,4.68
-84.1,-1.78,0.0318,0.0229,416.6,753.2,-336.6,183.21,136.81,183.21,B_tight5_s7,6,7,0,safety_cap,2000,407,,4.2658,6.257,0,0,0,187.0,181.5,1,56,230,121,6.26
17.29,60.98,0.0126,0.0198,644.5,769.8,-125.3,66.42,51.62,66.42,B_tight5_s7,7,7,1,success,1909,462,6.0069,2.4569,4.426,1,0,0,86.0,83.96,1,21,293,148,4.43
112.71,124.71,0.041,0.0439,495.7,697.4,-201.6,109.46,35.04,109.46,B_tight5_s7,8,7,0,safety_cap,2000,442,,4.7975,9.123,0,0,0,139.0,139.06,1,68,177,197,9.12
67.3,130.39,0.0072,0.011,338.9,798.1,-459.2,250.83,37.51,250.83,B_tight5_s7,9,7,0,safety_cap,2000,497,,3.0161,6.654,0,0,0,253.0,238.78,1,98,176,223,6.65
