gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-152.97,-25.86,0.0364,0.0376,459.1,763.8,-304.6,164.85,247.65,247.65,B_tight5_s42,29,42,0,safety_cap,2000,414,,3.3921,6.378,0,0,0,352.0,329.05,1,82,184,148,6.38
137.93,-21.98,0.018,0.0469,478.3,724.7,-246.4,133.64,240.45,240.45,B_tight5_s42,30,42,1,success,1965,462,,4.0697,5.639,0,0,0,331.0,313.45,1,73,201,188,5.64
127.49,-44.56,0.0164,0.0032,688.0,484.4,203.7,110.81,74.79,110.81,B_tight5_s42,31,42,0,safety_cap,2000,360,,3.9609,7.277,0,0,0,147.0,139.98,1,68,160,132,7.28
70.56,-136.92,0.0014,0.031,686.1,434.6,251.5,137.59,123.28,137.59,B_tight5_s42,32,42,1,success,1983,354,,5.7974,5.841,0,0,0,165.0,159.1,1,54,207,93,5.84
-69.8,134.89,0.0366,0.0161,593.5,434.4,159.1,87.92,197.56,197.56,B_tight5_s42,33,42,0,safety_cap,2000,453,,4.8861,8.924,0,0,0,345.0,233.0,1,95,168,190,8.92
-33.67,-165.63,0.0225,0.0455,408.4,604.5,-196.1,108.53,237.15,237.15,B_tight5_s42,34,42,1,success,1853,441,,3.4294,5.9,0,0,0,262.0,254.67,1,31,281,129,5.9
121.68,1.91,0.0018,0.0283,416.5,728.6,-312.1,170.31,109.44,170.31,B_tight5_s42,35,42,0,safety_cap,2000,510,,4.2413,8.917,0,0,0,251.0,235.64,1,105,173,232,8.92
-22.51,-102.37,0.0234,0.0151,553.3,352.8,200.4,112.26,98.39,112.26,B_tight5_s42,36,42,1,success,1822,434,,4.8271,5.545,0,0,0,154.0,137.34,1,44,260,130,5.54
117.61,21.01,0.0205,0.0155,563.7,642.0,-78.3,42.44,102.12,102.12,B_tight5_s42,37,42,0,safety_cap,2000,425,,3.6286,7.453,0,0,0,165.0,165.12,1,54,200,171,7.45
-53.59,65.3,0.0195,0.0168,423.8,732.3,-308.5,168.12,116.97,168.12,B_tight5_s42,38,42,1,success,1867,330,,5.0173,5.695,0,0,0,174.0,162.65,1,51,222,57,5.7
143.3,165.04,0.0211,0.0274,728.2,427.6,300.6,163.87,42.38,163.87,B_tight5_s42,39,42,0,safety_cap,2000,428,,5.5045,9.434,0,0,0,165.0,169.3,1,67,187,174,9.43
4.31,11.35,0.0312,0.0365,622.6,710.2,-87.6,46.85,25.05,46.85,B_tight5_s42,40,42,1,success,1961,454,,4.1096,5.047,0,0,0,60.0,50.96,1,21,377,56,5.05
-142.53,29.61,0.0053,0.0477,561.9,654.1,-92.2,49.94,199.49,199.49,B_tight5_s42,41,42,0,safety_cap,2000,422,,3.8293,8.224,0,0,0,287.0,266.48,1,69,189,164,8.22
-23.19,-57.31,0.014,0.0196,723.2,368.6,354.6,194.64,43.02,194.64,B_tight5_s42,42,42,0,safety_cap,2000,468,,11.6972,9.155,0,0,0,207.0,212.33,1,89,171,208,9.15
87.04,-49.11,0.0155,0.0039,742.9,336.9,405.9,223.12,71.43,223.12,B_tight5_s42,43,42,1,success,1967,433,5.6148,2.1255,4.812,1,0,0,233.0,233.24,1,55,209,169,4.81
-162.31,-84.19,0.0233,0.0429,367.8,758.5,-390.7,213.64,166.01,213.64,B_tight5_s42,44,42,0,safety_cap,2000,434,,3.89,7.47,0,0,0,266.0,252.32,1,74,198,162,7.47
96.76,164.8,0.0142,0.034,394.3,526.0,-131.8,73.68,119.95,119.95,B_tight5_s42,45,42,0,safety_cap,2000,391,,3.5408,7.128,0,0,0,179.0,172.17,1,59,196,136,7.13
175.99,101.98,0.0452,0.0344,555.3,718.1,-162.8,87.62,182.53,182.53,B_tight5_s42,46,42,0,safety_cap,2000,476,,3.4624,7.481,0,0,0,293.0,275.59,1,83,200,193,7.48
109.68,-61.69,0.0296,0.0012,596.4,705.4,-109.0,58.48,115.52,115.52,B_tight5_s42,47,42,0,safety_cap,2000,355,,2.3214,5.771,0,0,0,185.0,173.59,1,66,193,96,5.77
-122.69,-78.82,0.0214,0.0443,687.2,797.3,-110.1,57.93,121.08,121.08,B_tight5_s42,48,42,0,safety_cap,2000,384,,4.173,8.916,0,0,0,202.0,186.67,1,79,179,126,8.92
133.58,11.65,0.0267,0.0421,723.4,580.7,142.6,76.51,229.58,229.58,B_tight5_s42,49,42,0,safety_cap,2000,389,,4.3669,8.091,0,0,0,312.0,298.84,1,78,166,145,8.09
-125.07,-57.29,0.0116,0.0218,605.1,661.1,-56.0,30.18,76.96,76.96,B_tight5_s42,50,42,0,safety_cap,2000,396,,4.7193,8.868,0,0,0,148.0,142.56,1,63,176,157,8.87
-19.22,1.43,0.0029,0.0124,370.2,306.2,64.0,36.75,37.47,37.47,B_tight5_s42,51,42,1,success,1863,483,5.2795,3.8494,4.544,1,0,0,58.0,56.16,1,26,271,186,4.54
30.72,-29.63,0.0027,0.0216,563.7,662.6,-98.9,53.48,76.7,76.7,B_tight5_s42,52,42,1,success,1953,465,,5.7827,5.715,0,0,0,107.0,92.82,1,43,246,176,5.71
113.26,114.62,0.0168,0.0165,794.4,655.1,139.3,73.59,1.79,73.59,B_tight5_s42,53,42,0,safety_cap,2000,324,,2.1713,5.428,0,0,0,75.0,74.68,1,51,182,91,5.43
-89.73,170.23,0.0155,0.0455,563.3,692.1,-128.8,69.44,189.84,189.84,B_tight5_s42,54,42,0,safety_cap,2000,379,,4.2811,8.936,0,0,0,257.0,237.12,1,64,187,128,8.94
94.95,-100.66,0.0201,0.0304,425.4,756.4,-331.0,179.92,186.98,186.98,B_tight5_s42,55,42,1,success,1983,455,,5.9244,6.225,0,0,0,345.0,274.61,1,101,182,172,6.23
53.71,163.11,0.017,0.0238,798.4,361.6,436.9,238.05,129.0,238.05,B_tight5_s42,56,42,0,safety_cap,2000,407,,5.4863,9.248,0,0,0,249.0,249.64,1,52,242,113,9.25
-156.77,26.9,0.0041,0.0042,448.0,550.8,-102.8,56.99,31.43,56.99,B_tight5_s42,57,42,0,safety_cap,2000,298,,2.9421,5.344,0,0,0,117.0,112.36,1,68,157,73,5.34
-59.42,-122.0,0.0058,0.0153,576.1,520.3,55.8,30.61,51.74,51.74,B_tight5_s42,58,42,1,success,1883,399,,3.9734,5.04,0,0,0,91.0,91.88,1,42,197,160,5.04
46.54,-139.29,0.0271,0.0216,518.2,609.6,-91.4,49.97,183.79,183.79,B_tight5_s42,59,42,1,success,1925,444,,3.2391,6.11,0,0,0,229.0,208.02,1,53,239,152,6.11
135.76,8.39,0.0097,0.0263,551.9,466.3,85.6,47.34,126.23,126.23,B_tight5_s42,60,42,0,safety_cap,2000,443,,4.8193,8.94,0,0,0,198.0,195.46,1,71,202,170,8.94
-19.2,-72.85,0.0215,0.0157,704.0,761.3,-57.3,30.23,65.72,65.72,B_tight5_s42,61,42,1,success,1579,406,,3.6426,6.186,0,0,0,82.0,75.93,1,31,287,88,6.19
-9.47,52.43,0.0058,0.033,512.2,434.3,77.9,43.43,117.54,117.54,B_tight5_s42,62,42,1,success,1543,460,,3.311,7.948,0,0,0,134.0,122.35,1,29,260,171,7.95
171.4,117.56,0.0309,0.0103,774.9,563.0,211.9,113.25,99.39,113.25,B_tight5_s42,63,42,0,safety_cap,2000,426,,4.1164,8.255,0,0,0,192.0,188.04,1,76,200,150,8.26
-158.0,-53.35,0.0094,0.0369,321.3,459.5,-138.2,78.47,153.86,153.86,B_tight5_s42,64,42,0,safety_cap,2000,372,,2.6985,5.216,0,0,0,289.0,283.1,1,85,157,130,5.22
139.21,-177.46,0.0321,0.0039,472.6,349.8,122.8,69.41,113.06,113.06,B_tight5_s42,65,42,0,safety_cap,2000,414,,4.7227,7.776,0,0,0,187.0,182.84,1,72,184,158,7.78
-171.23,173.27,0.0439,0.0427,515.9,674.5,-158.6,86.11,44.14,86.11,B_tight5_s42,66,42,0,safety_cap,2000,476,,3.836,7.682,0,0,0,137.0,134.13,1,66,188,222,7.68
-118.2,-123.84,0.007,0.009,792.8,355.9,436.9,238.35,8.12,238.35,B_tight5_s42,67,42,0,safety_cap,2000,380,,3.1967,5.869,0,0,0,243.0,249.96,1,90,143,147,5.87
121.9,166.37,0.0232,0.0299,421.5,545.6,-124.1,69.05,79.87,79.87,B_tight5_s42,68,42,0,safety_cap,2000,366,,3.53,6.452,0,0,0,193.0,193.89,1,61,184,121,6.45
9.95,92.14,0.002,0.0011,579.7,724.6,-144.9,77.73,8.21,77.73,B_tight5_s42,69,42,1,success,1774,396,,3.6945,5.325,0,0,0,90.0,87.07,1,30,345,21,5.32
-130.1,164.84,0.0147,0.0109,304.0,741.7,-437.7,241.48,52.93,241.48,B_tight5_s42,70,42,0,safety_cap,2000,385,,4.4065,8.766,0,0,0,247.0,230.33,1,78,179,128,8.77
164.57,163.69,0.0007,0.0047,647.2,533.6,113.6,61.74,15.27,61.74,B_tight5_s42,71,42,0,safety_cap,2000,418,,2.1822,5.379,0,0,0,105.0,107.0,1,63,183,172,5.38
179.73,-86.26,0.0306,0.0227,579.2,361.7,217.5,121.32,151.48,151.48,B_tight5_s42,72,42,0,safety_cap,2000,479,,4.8617,7.784,0,0,0,245.0,241.73,1,86,174,219,7.78
155.07,-88.99,0.0251,0.0051,565.1,640.5,-75.4,40.87,104.62,104.62,B_tight5_s42,73,42,0,safety_cap,2000,498,,3.0872,6.434,0,0,0,223.0,202.73,1,90,176,232,6.43
40.86,73.73,0.0342,0.0022,484.4,633.5,-149.1,81.57,122.2,122.2,B_tight5_s42,74,42,1,success,1866,366,,14.4021,13.547,0,0,0,152.0,143.55,1,37,238,91,13.55
-138.06,-152.64,0.0277,0.0253,747.1,592.0,155.1,82.87,27.04,82.87,B_tight5_s42,75,42,1,success,1988,353,,4.0891,5.176,0,0,0,142.0,146.27,1,73,166,114,5.18
-10.15,160.06,0.005,0.0213,536.2,363.9,172.3,96.54,100.96,100.96,B_tight5_s42,76,42,1,success,1777,492,,3.7983,5.794,0,0,0,124.0,108.59,1,34,284,174,5.79
-154.42,93.79,0.0147,0.027,720.8,407.8,313.0,171.08,134.92,171.08,B_tight5_s42,77,42,1,success,1980,472,,5.4772,6.084,0,0,0,239.0,238.86,1,89,177,206,6.08
-21.92,-33.81,0.0112,0.0151,722.1,355.9,366.2,201.29,18.01,201.29,B_tight5_s42,78,42,0,safety_cap,2000,474,,10.6182,10.242,0,0,0,199.0,209.51,1,78,169,227,10.73
-47.8,83.64,0.039,0.0457,477.7,679.2,-201.6,109.85,290.33,290.33,B_tight5_s42,79,42,1,success,1942,491,5.9751,4.0584,4.937,1,0,0,322.0,315.47,1,50,238,203,4.94
-21.66,40.99,0.0342,0.0205,669.4,595.1,74.3,40.0,116.34,116.34,B_tight5_s42,80,42,1,success,1895,519,,5.6102,6.08,0,0,0,137.0,127.59,1,36,244,239,6.08
-155.41,96.39,0.0125,0.0456,309.6,531.4,-221.9,125.16,193.39,193.39,B_tight5_s42,81,42,1,success,1980,437,,4.522,5.112,0,0,0,339.0,332.8,1,87,168,182,5.11
-71.95,179.8,0.0016,0.013,521.3,689.5,-168.2,91.14,51.15,91.14,B_tight5_s42,82,42,1,success,1970,431,5.5033,3.1862,4.629,1,0,0,95.0,89.51,1,51,229,151,4.63
-121.7,-170.17,0.0274,0.0317,679.0,509.9,169.1,91.81,93.51,93.51,B_tight5_s42,83,42,0,safety_cap,2000,469,,4.2245,8.095,0,0,0,184.0,198.21,1,48,171,250,8.09
-82.2,60.04,0.0098,0.0051,600.2,433.9,166.3,91.85,54.51,91.85,B_tight5_s42,84,42,1,success,1985,391,6.2941,3.1522,4.08,1,0,0,184.0,176.98,1,57,192,142,4.08
114.67,91.42,0.0016,0.0112,537.3,784.9,-247.7,132.6,36.65,132.6,B_tight5_s42,85,42,1,success,1979,487,,5.2402,5.434,0,0,0,171.0,167.6,1,95,180,212,5.43
-137.56,97.96,0.0065,0.0093,345.3,747.8,-402.5,220.9,52.44,220.9,B_tight5_s42,86,42,0,safety_cap,2000,382,,2.7655,5.3,0,0,0,227.0,211.53,1,77,192,113,5.3
44.22,157.92,0.0294,0.0207,461.4,683.3,-221.9,121.06,158.84,158.84,B_tight5_s42,87,42,1,success,1991,304,5.0614,1.9302,4.409,1,0,0,209.0,182.11,1,57,204,43,4.41
-107.93,173.0,0.0106,0.0212,762.6,521.8,240.8,129.43,82.98,129.43,B_tight5_s42,88,42,0,safety_cap,2000,459,,4.6501,8.773,0,0,0,212.0,212.57,1,74,179,206,8.77
-74.21,-59.25,0.0497,0.0359,604.3,528.2,76.0,41.54,67.14,67.14,B_tight5_s42,89,42,0,safety_cap,2000,390,,6.7225,9.429,0,0,0,123.0,118.26,1,54,209,127,9.43
47.07,-74.31,0.0308,0.0149,712.4,601.5,110.9,59.44,153.68,153.68,B_tight5_s42,90,42,1,success,1956,378,,4.9163,8.264,0,0,0,189.0,178.16,1,47,232,99,8.26
-174.14,74.41,0.0347,0.0277,746.7,406.8,339.9,185.33,198.36,198.36,B_tight5_s42,91,42,0,safety_cap,2000,468,,3.4069,5.807,0,0,0,292.0,292.32,1,80,183,205,5.81
-27.43,30.34,0.0428,0.0137,559.2,790.0,-230.8,123.2,139.34,139.34,B_tight5_s42,92,42,1,success,1698,418,,2.7413,5.038,0,0,0,165.0,153.99,1,37,314,67,5.04
-151.08,-125.4,0.0328,0.0024,739.0,503.8,235.2,126.97,116.82,126.97,B_tight5_s42,93,42,1,success,1981,468,,5.3512,5.516,0,0,0,226.0,223.95,1,87,179,202,5.52
-63.22,26.18,0.0083,0.0277,764.8,624.5,140.2,74.54,108.93,108.93,B_tight5_s42,94,42,1,success,1989,425,5.1238,3.8008,3.878,1,0,0,151.0,141.91,1,51,217,157,3.88
-159.86,112.96,0.0033,0.0173,321.7,683.9,-362.1,200.64,65.72,200.64,B_tight5_s42,95,42,0,safety_cap,2000,398,,3.1649,6.789,0,0,0,207.0,192.91,1,85,163,150,6.79
-75.6,105.04,0.0171,0.0407,771.7,583.5,188.2,100.41,218.73,218.73,B_tight5_s42,96,42,1,success,1969,434,,3.8291,5.282,0,0,0,280.0,257.95,1,62,215,157,5.28
-25.25,67.95,0.0392,0.0035,566.8,715.6,-148.8,79.99,148.29,148.29,B_tight5_s42,97,42,1,success,1756,414,,3.203,5.757,0,0,0,175.0,161.64,1,41,324,49,5.76
-56.47,-98.26,0.0283,0.0114,418.6,513.5,-94.9,52.99,80.76,80.76,B_tight5_s42,98,42,1,success,1886,292,,3.0986,5.1,0,0,0,115.0,109.76,1,45,193,54,5.1
-23.52,85.72,0.0423,0.0255,676.3,378.9,297.4,163.87,215.79,215.79,B_tight5_s42,99,42,0,safety_cap,2000,429,,2797.4235,2113.465,0,0,0,470.0,385.19,1,52,131,246,2113.47
-179.93,111.71,0.0128,0.0203,582.9,684.6,-101.7,54.78,73.62,73.62,B_tight5_s42,100,42,1,success,1965,369,,4.7796,5.485,0,0,0,171.0,168.31,1,75,156,138,5.49
147.7,-106.59,0.0122,0.0409,483.7,575.1,-91.4,50.32,173.23,173.23,B_tight5_s42,101,42,0,safety_cap,2000,484,,2.2279,5.128,0,0,0,252.0,249.75,1,70,198,216,5.13
-38.16,35.76,0.0094,0.0275,682.0,425.2,256.8,140.71,101.48,140.71,B_tight5_s42,102,42,0,safety_cap,2000,471,,6.792,6.565,0,0,0,262.0,183.38,1,104,158,209,6.57
-27.35,-12.57,0.0202,0.0088,585.5,534.0,51.6,28.23,45.08,45.08,B_tight5_s42,103,42,1,success,1863,505,,3.6086,6.004,0,0,0,64.0,59.17,1,30,246,229,6.0
1.29,-2.09,0.0172,0.0247,450.3,380.1,70.2,39.66,29.16,39.66,B_tight5_s42,104,42,1,success,1594,276,,25.4116,22.511,0,0,0,44.0,39.97,1,24,151,101,22.51
-40.62,-150.09,0.0053,0.0401,756.7,537.5,219.2,117.73,160.39,160.39,B_tight5_s42,105,42,1,success,1862,455,,5.5982,5.541,0,0,0,197.0,181.32,1,44,221,190,5.54
-68.41,-59.71,0.0421,0.0376,585.6,464.5,121.1,66.74,28.76,66.74,B_tight5_s42,106,42,0,safety_cap,2000,467,,4.8317,8.765,0,0,0,221.0,229.7,1,88,177,202,8.76
-84.78,-57.97,0.0245,0.0402,637.8,478.5,159.3,87.19,81.51,87.19,B_tight5_s42,107,42,0,safety_cap,2000,428,,4.0958,6.897,0,0,0,219.0,222.11,1,81,168,179,8.33
-49.55,-61.74,0.0265,0.0169,688.5,609.3,79.2,42.49,40.05,42.49,B_tight5_s42,108,42,1,success,1969,423,,4.1623,5.502,0,0,0,102.0,94.46,1,48,231,144,5.5
94.11,-131.21,0.0346,0.0437,751.3,581.7,169.5,90.65,273.99,273.99,B_tight5_s42,109,42,0,safety_cap,2000,483,,3.5365,6.121,0,0,0,335.0,322.79,1,68,205,210,6.12
-76.06,88.19,0.008,0.0189,465.3,347.3,117.9,66.74,102.78,102.78,B_tight5_s42,110,42,0,safety_cap,2000,382,,5.1569,9.092,0,0,0,247.0,245.07,1,92,142,148,9.13
-26.72,-29.88,0.0034,0.0241,380.2,502.4,-122.2,68.63,79.01,79.01,B_tight5_s42,111,42,1,success,1926,454,,3.8686,6.898,0,0,0,98.0,92.71,1,31,269,154,6.9
-149.42,-22.76,0.0348,0.0467,606.3,537.3,69.0,37.65,277.03,277.03,B_tight5_s42,112,42,1,success,1981,452,,6.6329,6.504,0,0,0,386.0,385.53,1,90,176,186,6.5
80.7,98.36,0.0001,0.0241,385.0,583.8,-198.8,110.54,90.69,110.54,B_tight5_s42,113,42,0,safety_cap,2000,494,,4.2489,7.855,0,0,0,222.0,191.89,1,88,164,242,7.86
117.89,160.53,0.0103,0.0124,477.7,795.4,-317.7,171.01,31.64,171.01,B_tight5_s42,114,42,0,safety_cap,2000,498,,4.9412,9.24,0,0,0,171.0,165.33,1,95,182,221,9.24
-137.14,-41.61,0.0272,0.0479,706.8,620.1,86.7,46.41,216.3,216.3,B_tight5_s42,115,42,0,safety_cap,2000,481,,2.4853,5.592,0,0,0,346.0,332.51,1,92,180,209,5.59
127.64,85.91,0.0214,0.0046,400.3,629.2,-228.8,126.44,68.86,126.44,B_tight5_s42,116,42,0,safety_cap,2000,472,,3.0001,5.753,0,0,0,198.0,190.18,1,90,170,212,5.75
93.68,136.39,0.0422,0.0052,682.2,323.4,358.8,198.81,148.7,198.81,B_tight5_s42,117,42,0,safety_cap,2000,453,,2.7904,6.35,0,0,0,217.0,206.81,1,69,200,184,6.35
156.96,-87.45,0.0052,0.0389,765.0,684.3,80.7,42.63,155.75,155.75,B_tight5_s42,118,42,0,safety_cap,2000,458,,3.2384,7.001,0,0,0,250.0,238.34,1,78,198,182,7.0
70.19,-83.73,0.009,0.0411,359.2,496.8,-137.6,77.49,188.02,188.02,B_tight5_s42,119,42,0,safety_cap,2000,434,,3.7035,7.877,0,0,0,235.0,223.98,1,56,204,174,7.88
66.34,147.39,0.0142,0.0291,771.2,448.5,322.7,174.69,116.11,174.69,B_tight5_s42,120,42,0,safety_cap,2000,403,5.6881,4.32,3.933,2,0,0,183.0,180.89,1,55,218,130,3.93
110.56,46.15,0.0035,0.0331,607.1,525.7,81.4,44.45,120.64,120.64,B_tight5_s42,121,42,1,success,1944,392,,3.6355,5.305,0,0,0,185.0,177.51,1,63,170,159,5.31
-19.0,155.67,0.0188,0.0131,790.9,428.2,362.7,196.37,121.77,196.37,B_tight5_s42,122,42,1,success,1871,478,,6.6753,7.921,0,0,0,223.0,223.5,1,37,249,192,7.92
152.39,-161.97,0.0329,0.029,753.6,675.8,77.8,41.18,91.15,91.15,B_tight5_s42,123,42,0,safety_cap,2000,464,,2.3554,5.738,0,0,0,172.0,171.24,1,69,203,192,5.74
39.9,97.57,0.0071,0.0319,539.8,451.8,88.0,48.81,110.07,110.07,B_tight5_s42,124,42,1,success,1922,459,,4.7052,5.412,0,0,0,136.0,130.37,1,37,247,175,5.41
157.4,130.04,0.0151,0.0425,512.0,783.4,-271.4,145.74,111.62,145.74,B_tight5_s42,125,42,0,safety_cap,2000,397,,2.641,6.082,0,0,0,232.0,219.73,1,88,176,133,6.08
-82.06,154.15,0.0363,0.0387,567.4,479.1,88.3,48.7,252.42,252.42,B_tight5_s42,126,42,0,safety_cap,2000,443,,4.3911,5.436,0,0,0,400.0,394.42,1,100,158,185,7.15
-24.7,87.91,0.0122,0.0147,637.6,783.9,-146.3,77.48,83.75,83.75,B_tight5_s42,127,42,1,success,1918,452,5.524,4.6608,4.036,1,0,0,106.0,96.93,1,34,277,141,4.04
-153.29,161.13,0.0411,0.0037,566.8,685.5,-118.6,63.98,145.15,145.15,B_tight5_s42,128,42,0,safety_cap,2000,321,,3.0266,5.83,0,0,0,239.0,225.83,1,84,158,79,5.83
52.16,-149.1,0.0011,0.0048,740.7,637.2,103.6,55.12,21.75,55.12,B_tight5_s42,129,42,0,safety_cap,2000,377,7.0392,4.2908,4.977,1,0,0,56.0,55.73,1,33,250,94,4.98
19.81,167.19,0.0172,0.0378,503.3,723.6,-220.3,119.16,198.9,198.9,B_tight5_s42,130,42,0,safety_cap,2000,445,,11.0013,12.065,0,0,0,355.0,209.38,1,86,170,189,12.07
