gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-25.57,179.53,0.0058,0.0341,711.0,469.0,242.0,131.57,150.65,150.65,A_tight1_s7,28,7,0,safety_cap,2000,379,2.0748,2.0748,3.614,4,0,0,173.0,163.69,1,36,274,69,3.61
-69.29,-32.97,0.0313,0.0088,773.7,649.9,123.7,65.53,93.51,93.51,A_tight1_s7,29,7,0,safety_cap,2000,399,,6.0888,10.319,0,0,0,147.0,138.97,1,55,226,118,10.32
-160.0,-99.88,0.0478,0.0166,675.6,364.0,311.5,171.96,161.66,171.96,A_tight1_s7,30,7,0,safety_cap,2000,466,1.627,1.627,4.348,4,1,0,272.0,262.13,1,85,171,210,4.35
154.29,89.67,0.0307,0.005,651.2,598.8,52.5,28.3,109.17,109.17,A_tight1_s7,31,7,0,safety_cap,2000,450,1.8549,1.8549,4.914,2,2,0,194.0,189.38,1,66,200,184,4.91
-35.28,-68.65,0.012,0.0315,411.5,610.0,-198.5,109.76,84.86,109.76,A_tight1_s7,32,7,1,success,1874,429,1.7541,1.7541,2.498,1,0,0,117.0,107.42,1,40,278,111,2.5
-74.94,-116.26,0.0052,0.033,503.4,696.0,-192.6,104.49,109.87,109.87,A_tight1_s7,33,7,0,safety_cap,2000,441,1.8223,1.8223,2.997,5,0,0,160.0,149.37,1,58,228,155,3.0
-31.92,-79.1,0.0454,0.0395,512.5,733.1,-220.7,119.12,128.84,128.84,A_tight1_s7,34,7,1,success,1894,427,2.2371,2.2371,1.803,1,0,0,159.0,145.76,1,40,266,121,1.8
-59.13,-133.11,0.0038,0.0477,377.3,774.3,-397.0,216.53,174.86,216.53,A_tight1_s7,35,7,1,success,1935,474,1.7782,1.7782,1.706,1,0,0,219.0,207.51,1,45,259,170,1.71
-105.65,63.68,0.0235,0.0099,778.3,438.5,339.8,183.99,127.32,183.99,A_tight1_s7,36,7,0,safety_cap,2000,443,,3.4861,6.655,0,0,0,260.0,256.51,1,92,171,180,6.65
99.65,-110.94,0.0047,0.0027,540.5,413.4,127.1,70.8,27.52,70.8,A_tight1_s7,37,7,0,safety_cap,2000,493,,4.5566,7.875,0,0,0,80.0,77.94,1,53,202,238,7.87
41.47,-166.33,0.0307,0.035,664.1,555.4,108.7,58.82,241.89,241.89,A_tight1_s7,38,7,0,safety_cap,2000,322,2.0351,2.0351,3.233,10,4,0,275.0,263.32,1,47,220,55,3.23
-135.27,24.78,0.0033,0.0401,655.8,601.7,54.1,29.15,163.41,163.41,A_tight1_s7,39,7,1,success,1953,361,3.2121,3.2121,4.269,1,0,0,238.0,232.23,1,65,173,123,4.27
40.54,55.93,0.0033,0.0247,572.4,493.5,78.9,43.43,82.08,82.08,A_tight1_s7,40,7,0,safety_cap,2000,334,2.4218,2.4218,3.464,4,0,0,110.0,102.83,1,40,242,52,3.46
86.1,164.0,0.0001,0.0063,400.1,620.0,-219.9,121.62,23.62,121.62,A_tight1_s7,41,7,0,safety_cap,2000,487,,2.3943,5.451,0,0,0,172.0,166.89,1,88,172,227,5.45
