gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-69.29,-32.97,0.0313,0.0088,773.7,649.9,123.7,65.53,93.51,93.51,C_tight5_s7,29,7,1,success,1948,392,,6.1368,6.131,0,0,0,144.0,138.97,1,53,214,125,6.13
-160.0,-99.88,0.0478,0.0166,675.6,364.0,311.5,171.96,161.66,171.96,C_tight5_s7,30,7,0,safety_cap,2000,465,,8.879,7.962,0,0,0,270.0,262.13,1,85,172,208,7.96
154.29,89.67,0.0307,0.005,651.2,598.8,52.5,28.3,109.17,109.17,C_tight5_s7,31,7,0,safety_cap,2000,445,,8.6058,8.42,0,0,0,193.0,189.38,1,67,202,176,8.42
-35.28,-68.65,0.012,0.0315,411.5,610.0,-198.5,109.76,84.86,109.76,C_tight5_s7,32,7,1,success,1861,432,,22.7433,19.557,0,0,0,114.0,107.42,1,38,276,118,19.56
-74.94,-116.26,0.0052,0.033,503.4,696.0,-192.6,104.49,109.87,109.87,C_tight5_s7,33,7,1,success,1956,433,,5.3072,5.223,0,0,0,157.0,149.37,1,56,219,158,5.22
-31.92,-79.1,0.0454,0.0395,512.5,733.1,-220.7,119.12,128.84,128.84,C_tight5_s7,34,7,1,success,1858,386,,24.392,24.379,0,0,0,156.0,145.76,1,38,247,101,24.38
-59.13,-133.11,0.0038,0.0477,377.3,774.3,-397.0,216.53,174.86,216.53,C_tight5_s7,35,7,1,success,1885,479,5.9724,5.9724,4.678,1,0,0,216.0,207.51,1,43,252,184,4.68
-105.65,63.68,0.0235,0.0099,778.3,438.5,339.8,183.99,127.32,183.99,C_tight5_s7,36,7,0,safety_cap,2000,441,,16.3731,14.583,0,0,0,259.0,256.51,1,91,171,179,14.58
99.65,-110.94,0.0047,0.0027,540.5,413.4,127.1,70.8,27.52,70.8,C_tight5_s7,37,7,1,success,1985,469,,5.7906,6.169,0,0,0,77.0,77.94,1,51,197,221,6.17
41.47,-166.33,0.0307,0.035,664.1,555.4,108.7,58.82,241.89,241.89,C_tight5_s7,38,7,1,success,1927,288,,3.955,5.533,0,0,0,271.0,263.32,1,45,204,39,5.53
-135.27,24.78,0.0033,0.0401,655.8,601.7,54.1,29.15,163.41,163.41,C_tight5_s7,39,7,1,success,1987,362,,4.6173,5.016,0,0,0,240.0,232.23,1,68,176,118,5.02
40.54,55.93,0.0033,0.0247,572.4,493.5,78.9,43.43,82.08,82.08,C_tight5_s7,40,7,1,success,1919,322,,5.4397,5.056,0,0,0,107.0,102.83,1,38,225,59,5.06
86.1,164.0,0.0001,0.0063,400.1,620.0,-219.9,121.62,23.62,121.62,C_tight5_s7,41,7,0,safety_cap,2000,488,,14.0685,12.304,0,0,0,172.0,166.89,1,89,172,227,12.3
143.26,106.02,0.0398,0.0201,684.1,459.1,225.0,122.78,102.18,122.78,C_tight5_s7,42,7,0,safety_cap,2000,444,,8.4451,7.676,0,0,0,175.0,175.16,1,66,183,195,7.68
80.5,-128.72,0.0378,0.0017,621.4,513.8,107.6,58.79,149.23,149.23,C_tight5_s7,43,7,1,success,1944,431,,5.318,5.274,0,0,0,196.0,190.56,1,56,204,171,5.27
145.6,-64.15,0.0127,0.023,706.7,459.0,247.8,134.9,131.9,134.9,C_tight5_s7,44,7,0,safety_cap,2000,420,,7.4281,7.433,0,0,0,216.0,206.08,1,78,183,159,7.43
133.87,77.26,0.038,0.041,549.2,733.4,-184.1,98.99,140.67,140.67,C_tight5_s7,45,7,1,success,1988,391,,5.1949,6.364,0,0,0,237.0,238.93,1,67,186,138,6.36
27.15,-27.92,0.0116,0.0414,533.5,697.9,-164.4,88.87,135.46,135.46,C_tight5_s7,46,7,1,success,1923,355,,5.0405,6.437,0,0,0,170.0,149.77,1,47,209,99,6.44
137.62,14.5,0.0407,0.0427,706.0,613.6,92.4,49.46,276.83,276.83,C_tight5_s7,47,7,1,success,1999,399,5.5021,5.5021,4.549,1,0,0,355.0,348.52,1,83,188,128,4.55
