gap_deg,gapM_deg,e_sat,e_tgt,alt_sat_km,alt_tgt_km,da_km,hohmann_dv,evec_dv,shape_lb_dv,condition,episode,seed,success,cause,steps,decisions,best_vrel_inbox,best_vrel,best_d_km,n_inbox,n_inbox_tau1,n_fine_rad,dv_used,plan_dv,n_plans,n_burns,n_warps,n_coast,min_d_km
-39.91,90.93,0.045,0.0054,556.2,428.6,127.6,70.85,186.43,186.43,A_tight1_s42,0,42,1,success,1998,441,4.5753,4.2991,3.264,1,0,0,236.0,206.67,1,56,222,163,3.26
165.15,151.8,0.0267,0.0052,394.1,461.7,-67.5,38.02,82.95,82.95,A_tight1_s42,1,42,0,safety_cap,2000,428,,5.1322,9.435,0,0,0,192.0,182.25,1,76,175,177,9.43
99.22,61.46,0.0264,0.0182,472.1,620.5,-148.4,81.41,61.96,81.41,A_tight1_s42,2,42,0,safety_cap,2000,286,1.5414,1.5414,4.622,2,0,0,189.0,183.59,1,60,173,53,4.62
-90.05,21.97,0.0095,0.0272,650.8,393.4,257.4,142.01,122.75,142.01,A_tight1_s42,3,42,0,safety_cap,2000,488,,5.3719,8.944,0,0,0,261.0,258.95,1,98,166,224,8.94
-90.64,54.51,0.0261,0.0125,618.7,490.2,128.6,70.41,140.95,140.95,A_tight1_s42,4,42,0,safety_cap,2000,436,2.0801,2.0801,3.104,4,1,0,196.0,187.33,1,65,191,180,3.1
-158.98,11.77,0.0233,0.0333,684.2,432.7,251.5,137.65,216.09,216.09,A_tight1_s42,5,42,0,safety_cap,2000,482,1.5522,1.5522,4.57,2,1,0,334.0,318.1,1,88,180,214,4.57
-110.69,157.35,0.0223,0.0172,565.6,453.7,111.9,61.9,109.4,109.4,A_tight1_s42,6,42,0,safety_cap,2000,363,1.4959,1.4959,4.194,6,4,0,191.0,175.35,1,69,178,116,4.19
-18.45,173.59,0.0183,0.0205,514.1,446.3,67.9,37.79,147.65,147.65,A_tight1_s42,7,42,0,safety_cap,2000,503,1.8351,1.8351,2.87,21,9,0,165.0,157.03,1,35,368,100,2.87
40.01,38.99,0.02,0.0266,539.0,710.8,-171.8,92.7,24.88,92.7,A_tight1_s42,8,42,1,success,1970,324,1.9715,1.9715,3.618,5,2,0,138.0,133.28,1,41,213,70,3.62
128.25,106.48,0.0193,0.0168,338.1,598.8,-260.7,145.51,27.42,145.51,A_tight1_s42,9,42,0,safety_cap,2000,401,,3.0267,6.075,0,0,0,153.0,147.9,1,81,156,164,6.07
95.25,51.07,0.0257,0.0098,442.2,794.6,-352.3,190.38,74.14,190.38,A_tight1_s42,10,42,0,safety_cap,2000,492,2.2992,2.2992,4.588,1,0,0,225.0,215.64,1,93,177,222,4.59
38.4,74.41,0.0259,0.0363,411.2,778.2,-367.0,199.35,80.7,199.35,A_tight1_s42,11,42,0,safety_cap,2000,477,,4.097,7.318,0,0,0,262.0,232.63,1,104,169,204,7.32
90.47,-141.28,0.0172,0.0406,398.6,735.6,-337.0,184.14,198.56,198.56,A_tight1_s42,12,42,0,safety_cap,2000,476,1.7362,1.7362,4.332,3,1,0,355.0,273.5,1,94,181,201,4.33
