   sep_km  orbits     dv |   sigLOS_m    sig/rho  sigLOS_RB_m    BO/RB  gain_vs_dv0
   1000.0    0.50    0.0 |  181875.32   1.82e-01        25.91   7020.4         1.00
   1000.0    0.50    1.0 |  174710.29   1.75e-01        25.90   6744.8         1.04
   1000.0    0.50    5.0 |  149211.51   1.49e-01        25.89   5763.4         1.22
   1000.0    0.50   25.0 |   80557.20   8.06e-02        25.83   3118.9         2.26

   1000.0    1.00    0.0 |   15142.48   1.52e-02        16.48    919.1         1.00
   1000.0    1.00    1.0 |   15048.17   1.51e-02        16.47    913.5         1.01
   1000.0    1.00    5.0 |   14668.51   1.47e-02        16.47    890.9         1.03
   1000.0    1.00   25.0 |   12725.34   1.27e-02        16.44    774.0         1.19

   1000.0    2.00    0.0 |    4708.98   4.71e-03         9.32    505.3         1.00
   1000.0    2.00    1.0 |    4703.08   4.71e-03         9.32    504.7         1.00
   1000.0    2.00    5.0 |    4647.45   4.65e-03         9.32    498.7         1.01
   1000.0    2.00   25.0 |    3994.71   4.00e-03         9.32    428.4         1.18

   1000.0    3.00    0.0 |    3000.70   3.00e-03         7.44    403.1         1.00
   1000.0    3.00    1.0 |    3029.26   3.03e-03         7.44    406.9         0.99
   1000.0    3.00    5.0 |    3125.02   3.13e-03         7.44    419.8         0.96
   1000.0    3.00   25.0 |    3212.22   3.22e-03         7.44    431.5         0.93

   5000.0    0.25    0.0 |  395256.84   8.09e-02        34.74  11376.0         1.00
   5000.0    0.25    1.0 |  395597.70   8.09e-02        34.74  11385.8         1.00
   5000.0    0.25    5.0 |  396965.74   8.12e-02        34.74  11425.5         1.00
   5000.0    0.25   25.0 |  403917.23   8.26e-02        34.74  11627.0         0.98

   5000.0    0.50    0.0 |   51473.99   1.05e-02        26.04   1976.6         1.00
   5000.0    0.50    1.0 |   51498.42   1.05e-02        26.04   1977.6         1.00
   5000.0    0.50    5.0 |   51596.56   1.06e-02        26.04   1981.5         1.00
   5000.0    0.50   25.0 |   52097.56   1.07e-02        26.03   2001.6         0.99

   5000.0    1.00    0.0 |    7232.32   1.48e-03        16.49    438.7         1.00
   5000.0    1.00    1.0 |    7239.66   1.48e-03        16.49    439.1         1.00
   5000.0    1.00    5.0 |    7268.97   1.49e-03        16.49    440.8         0.99
   5000.0    1.00   25.0 |    7413.92   1.52e-03        16.51    449.2         0.98

   5000.0    2.00    0.0 |    2860.23   5.85e-04         9.32    306.9         1.00
   5000.0    2.00    1.0 |    2861.92   5.86e-04         9.32    307.1         1.00
   5000.0    2.00    5.0 |    2868.64   5.87e-04         9.32    307.7         1.00
   5000.0    2.00   25.0 |    2900.80   5.94e-04         9.33    311.0         0.99

   5000.0    3.00    0.0 |    2061.29   4.22e-04         7.45    276.8         1.00
   5000.0    3.00    1.0 |    2062.56   4.22e-04         7.45    277.0         1.00
   5000.0    3.00    5.0 |    2067.52   4.23e-04         7.45    277.6         1.00
   5000.0    3.00   25.0 |    2089.94   4.28e-04         7.46    280.2         0.99

  13000.0    0.25    0.0 |  113041.65   1.02e-02        34.29   3296.5         1.00
  13000.0    0.25    1.0 |  113047.57   1.02e-02        34.29   3296.6         1.00
