rung,dv_inplane,dv_plane,dv3,dv_ref,ratio,w_match
X1 LEO coplanar anchor,160.9762059806102,0.0,160.9762059806102,300.0,0.5365873532687007,0.3501
X2 LEO di<=0.25deg,333.3804001361765,33.11322613520044,366.4936262713769,300.0,1.2216454209045897,0.3501
X3 LEO di<=1.0deg,333.3804001361765,132.4513284731925,465.83172860936895,700.0,0.6654738980133842,0.8169000000000001
X4 wide di<=1.0deg,302.3607592704515,107.42669947921877,409.7874587496703,700.0,0.5854106553566718,0.8169000000000001
X5 MEO di<=2.0deg,260.3213004693242,170.93288677257547,431.2541872418997,900.0,0.4791713191576663,1.0503
