geom,rho0_km,rho_over_r,arc_min,n_obs,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,beta_floor_mrad
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,15.0,16,0.0,none,2409547.8968358194,480.8415715226572,12551670118938.97,13.943444188088252,0.0027825085463721953,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,0.0,none,223998.21827738802,44.70035870057386,457509689526.86096,8.724834739875488,0.0017410997528234896,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,0.1,radial,1043.1397711476657,0.2081655930289255,9493809.425199967,8.726701497170307,0.0017414722768610779,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,1.0,radial,113.69446568570108,0.02268849920996874,79892.01068977633,8.71458047203279,0.0017390534443559248,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,1.0,prograde,122.7596513348209,0.024497518287527432,93421.83092275773,9.237118724440531,0.0018433294850183205,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,10.0,prograde,19.306009096875712,0.0038526446252273704,1314.4599578565496,9.633945817348033,0.0019225190139863816,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,0.0,none,3744.945182776634,0.7473291273094035,409035742.728308,4.8988376378572465,0.0009775961671128891,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,0.1,radial,277.21066211264827,0.05531926158767056,2110805.3673155326,4.843854735339948,0.0009666239572273697,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,1.0,radial,31.004073603456614,0.006187072477234102,19963.649977577123,4.47286862442622,0.0008925911709029771,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,1.0,prograde,75.27612231564365,0.015021859079837233,39284.89138576674,3.7844096854160876,0.0007552045355938515,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,10.0,prograde,18.035464738659932,0.003599098909578395,1276.507453643421,2.2481403077894804,0.0004486315960020863,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,0.0,none,335.3890206198175,0.06692914631747052,4629141.620869534,4.146561320608492,0.0008274743425663921,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,0.1,radial,188.4686389994813,0.03761019097327444,1346150.581821026,4.122829219483655,0.0008227384413562992,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,1.0,radial,26.508556424251072,0.005289961634119127,24223.04327993138,3.9135097729110133,0.0007809673307789111,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,1.0,prograde,55.970490154016424,0.011169289674586805,23168.921574770335,3.5193386628705277,0.0007023078211465895,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,360.0,361,10.0,prograde,13.93111458288243,0.0027800480903043966,763.8265132474013,2.1241886662460048,0.00042389620801048627,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,0.0,none,49.6679706579311,0.009911579303678855,116647.23284669846,2.6715427513669403,0.000533124415847531,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,0.1,radial,47.71252587014115,0.009521357077334466,97920.79463849876,2.6574299978436438,0.0005303081204787752,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,1.0,radial,22.60303041953232,0.004510587518253803,26243.740220115687,2.5507295086786694,0.0005090153165632786,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,1.0,prograde,11.997341509986605,0.002394150601169412,1227.1213657491728,2.5350088403223725,0.0005058781509199831,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,1440.0,1441,10.0,prograde,3.574405458059844,0.0007132967723819305,82.41694079544251,1.731371857058696,0.0003455069582685828,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,0.0,none,19.65084354522316,0.003921458670499629,21610.740483113896,1.9777797948995466,0.00039467932799928707,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,0.1,radial,19.37743931660625,0.003866899008447784,19347.061620387893,1.9711211060417404,0.0003933505416245184,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,1.0,radial,15.279911426701796,0.003049209618447738,15064.9324935858,1.9234266571507297,0.00038383279193057105,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,1.0,prograde,6.261966979102528,0.0012496178420062381,641.6738408071575,1.9579666881197757,0.00039072548860342283,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,3000.0,3001,10.0,prograde,2.626327264791265,0.0005241013598415641,139.30683638361282,1.480442354102865,0.0002954322796530938,3.4088287748090806e-09
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,15.0,16,0.0,none,1052087.8736360108,103.25430516287763,449873144793.87476,17.580037205417398,0.0017253449753294253,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,0.0,none,96169.12721843254,9.438257637873942,12217011974.67743,10.144823284808089,0.0009956361113191976,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,0.1,radial,4730.121861734926,0.46422495535591524,29053907.41102665,10.152038183223516,0.0009963441979166897,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,1.0,radial,511.50052979368184,0.050199829422767975,293971.8436271494,10.216737492098538,0.001002693935756858,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,1.0,prograde,624.2221285320724,0.061262584394324596,431898.9800427518,10.194549280713987,0.0010005163340500718,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,30.0,31,10.0,prograde,77.02332217922478,0.00755924463368903,2481.5930043600424,10.936032508359713,0.0010732871903435595,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,0.0,none,1589.8242578873926,0.156028981221813,7812745.23577265,6.244120730667541,0.0006128122598448025,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,0.1,radial,800.8763501717489,0.07859983289473299,1941050.0488897536,6.242684231861879,0.0006126712785734061,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,1.0,radial,132.97884843155177,0.013050847690798369,45923.65922215401,6.234034232165888,0.0006118223478608203,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,1.0,prograde,412.90143806004045,0.040523089521315406,262744.8272164756,6.073964497645264,0.0005961127387780608,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,90.0,91,10.0,prograde,67.04971819708064,0.006580412375517515,2172.431257928961,5.016171485183232,0.0004922985182696116,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,0.0,none,153.60620269696275,0.015075263317472911,88949.56317068824,4.979533305557504,0.0004887027636995936,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,0.1,radial,148.83377739691113,0.014606886606128881,81440.09200427146,4.976701482051389,0.0004884248420774603,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,1.0,radial,89.6505880555081,0.008798513326765544,24826.11517331103,4.95490206776535,0.0004862853978052973,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,1.0,prograde,92.24255918070999,0.009052895288806442,14332.6525111351,4.921849170167764,0.0004830415109964287,7.851497230149107e-10
A2_leo_10km_drift,10.189288204268129,0.0015059039835889074,360.0,361,10.0,prograde,27.102513578749786,0.0026599025403361326,369.9658981595981,4.2534266370622955,0.00041744099801599525,7.851497230149107e-10
