tag,grid_ratio,n_bins,w0,iters,n_vel,wall_mean_s,prop_equiv_mean,gate_pass,err_p50_km,err_p90_km
shipped,1.15,8,45,12,9,0.5492299444869988,122811.5388888889,1.0,0.40007553394885953,18.645105725274636
ratio1.4,1.4,8,45,12,9,0.3903676157868985,95498.52777777778,1.0,0.4000746058439548,18.628219626108727
ratio2.0,2.0,8,45,12,9,0.33127772917376,85925.53888888888,1.0,0.4000765707105937,19.448197551114156
ratio2+w20,2.0,8,20,12,9,0.3855446504635943,98987.0611111111,1.0,0.5561436081260881,59.16349558817526
ratio2+vlean,2.0,6,20,8,4,0.3171935855126422,77786.09444444445,0.8333333333333334,3533.1309534420575,3977.800845992294
minimal,3.0,4,20,6,1,0.24435164344807467,66173.72222222222,1.0,5.59040378175895,2018.4515157465732
