v_tol_ms,di_deg,dv_ms,dv_axis,sep_m,orbits,component,sigma_k,proj_m,floor,crlb,model,ratio
0.1,0.0,0.0,none,5000.0,1.0,pos_range,4.583688444432047,5000.383449656096,0.7653296553803369,22920.199835917905,22920.199848695487,1.0000000005574812
0.1,0.0,0.0,none,5000.0,1.0,pos_inplane,4.583688444432047,3.018384286439622e-13,0.7653296553803369,1.6673552769358477,0.7653296553803369,0.45900814659417266
0.1,0.0,0.0,none,5000.0,1.0,pos_plane,4.583688444432047,4.759970027990409e-13,0.7653296553803369,0.7629286608079429,0.7653296553803369,1.0031470761235413
0.1,0.0,0.0,none,5000.0,1.0,vel_range,4.583688444432047,0.09999210396821492,0.000848374306074888,0.4437493812831915,0.45833343666382814,1.0328655227382264
0.1,0.0,0.0,none,5000.0,1.0,vel_inplane,4.583688444432047,5.541727654028854,0.000848374306074888,25.403110406218858,25.4015530241288,0.9999386932519225
0.1,0.0,0.0,none,5000.0,1.0,vel_plane,4.583688444432047,2.605469861691593e-13,0.000848374306074888,0.0008513034998381094,0.000848374306074888,0.9965591663093382
0.1,0.0,0.0,none,5000.0,3.0,pos_range,0.5876968760828847,5000.383449656096,0.48563031544828106,2938.7097325794457,2938.7097727053556,1.000000013654261
0.1,0.0,0.0,none,5000.0,3.0,pos_inplane,0.5876968760828847,3.018384286439622e-13,0.48563031544828106,0.8130022606817034,0.48563031544828106,0.5973296003397081
0.1,0.0,0.0,none,5000.0,3.0,pos_plane,0.5876968760828847,4.759970027990409e-13,0.48563031544828106,0.48496850474270137,0.48563031544828106,1.0013646467741875
0.1,0.0,0.0,none,5000.0,3.0,vel_range,0.5876968760828847,0.09999210396821492,0.0005383252549812922,0.05670538863891123,0.05876751278442647,1.0363655764471775
0.1,0.0,0.0,none,5000.0,3.0,vel_inplane,0.5876968760828847,5.541727654028854,0.0005383252549812922,3.257073072547626,3.2568560748647415,0.9999333764769623
0.1,0.0,0.0,none,5000.0,3.0,vel_plane,0.5876968760828847,2.605469861691593e-13,0.0005383252549812922,0.0005391940286712295,0.0005383252549812922,0.9983887549866266
0.1,0.0,0.0,none,50000.0,1.0,pos_range,192.24911241446205,50000.14466852172,7.295582604883246,9612483.433117997,9612483.433120767,1.0000000000002882
0.1,0.0,0.0,none,50000.0,1.0,pos_inplane,192.24911241446205,2.468617728994599e-13,7.295582604883246,14.426376153260675,7.295582604883246,0.5057113808331059
0.1,0.0,0.0,none,50000.0,1.0,pos_plane,192.24911241446205,3.5120888826110576e-12,7.295582604883246,7.274708540905428,7.295582604883246,1.0028694021018771
0.1,0.0,0.0,none,50000.0,1.0,vel_range,192.24911241446205,0.09999860928231707,0.008087214164926068,38.92301690590063,19.224645578226628,0.49391458079171197
0.1,0.0,0.0,none,50000.0,1.0,vel_inplane,192.24911241446205,55.425093255960824,0.008087214164926068,10655.413152325002,10655.424983950323,1.0000011103863502
0.1,0.0,0.0,none,50000.0,1.0,vel_plane,192.24911241446205,2.703380870481798e-13,0.008087214164926068,0.008110005428492445,0.008087214164926068,0.997189735103468
0.1,0.0,0.0,none,50000.0,3.0,pos_range,14.317965833159004,50000.14466852172,4.2665654187553415,715900.3630169013,715900.3630296151,1.0000000000177591
0.1,0.0,0.0,none,50000.0,3.0,pos_inplane,14.317965833159004,2.468617728994599e-13,4.2665654187553415,6.698763035793187,4.2665654187553415,0.6369183976143061
0.1,0.0,0.0,none,50000.0,3.0,pos_plane,14.317965833159004,3.5120888826110576e-12,4.2665654187553415,4.262007484100762,4.2665654187553415,1.0010694337519543
0.1,0.0,0.0,none,50000.0,3.0,vel_range,14.317965833159004,0.09999860928231707,0.0047295233511641,2.896795483114206,1.4317844824569936,0.49426495270482496
0.1,0.0,0.0,none,50000.0,3.0,vel_inplane,14.317965833159004,55.425093255960824,0.0047295233511641,793.572804936719,793.5745915525921,1.0000022513572315
0.1,0.0,0.0,none,50000.0,3.0,vel_plane,14.317965833159004,2.703380870481798e-13,0.0047295233511641,0.004734602132295139,0.0047295233511641,0.998927305613201
0.1,0.0,1.0,nor,5000.0,1.0,pos_range,0.0025461094999966872,5000.383449656096,0.7697518102675025,12.731523804795593,12.754772292812088,1.0018260569883817
0.1,0.0,1.0,nor,5000.0,1.0,pos_inplane,0.0025461094999966872,3.018384286439622e-13,0.7697518102675025,0.9480690357503004,0.7697518102675025,0.8119153576810174
