scenario,design,gamma_form,decisions,total,worst_step,best_step,open_leg,drift_leg,close_leg,xfer_leg,terminal
expert_g90,legacy,gamma^tau,41,0.5180882583204539,-0.037145925027204346,0.06611630517251174,-0.05554926570946239,0.5075212188574048,0,0,0.06611630517251174
expert_g90,legacy,gamma^1/decision,41,0.023129137444705752,-0.037145925027204346,0.06611630517251174,-0.05554926570946239,0.012562097981656403,0,0,0.06611630517251174
expert_g90,legacy,gamma_shape=1,41,0.009999546021312977,-0.03738283694202102,0.06611630517251174,-0.05611675915013631,-1.0624556789906592e-12,0,0,0.06611630517251174
expert_g90,S_A,gamma^tau,41,0.13186089042949742,9.992905470611324e-05,0.019943899709588816,0.0011200247698417657,0.11079696595006683,0,0,0.019943899709588816
expert_g90,S_A,gamma^1/decision,41,0.01327696986357277,-0.0008154461444008429,0.019943899709588816,0.0011200247698417657,-0.007786954615857811,0,0,0.019943899709588816
expert_g90,S_A,gamma_shape=1,41,0.009999999999999998,-0.0008691066404110156,0.019943899709588816,0.0010294088046855932,-0.01097330851427441,0,0,0.019943899709588816
expert_g90,S_B,gamma^tau,41,4.333322588671219,0.0005260386599908878,0.2505928643456401,0.12033284178584203,4.208375346415578,0,0,0.00461440046979866
expert_g90,S_B,gamma^1/decision,41,1.073819329665625,0.0005260386599908878,0.11533284178584202,0.12033284178584203,0.9488720874099845,0,0,0.00461440046979866
expert_g90,S_B,gamma_shape=1,41,0.9999999999999999,0.0,0.11088727817672561,0.11088727817672561,0.8844983213534756,0,0,0.00461440046979866
expert_g90,S_C,gamma^tau,41,2.4622595546414656,-0.03744103536046353,0.3759403991031107,-0.053170957505595806,2.139490113043951,0,0,0.3759403991031107
expert_g90,S_C,gamma^1/decision,41,0.22222256427066361,-0.03744103536046353,0.3759403991031107,-0.053170957505595806,-0.1005468773268513,0,0,0.3759403991031107
expert_g90,S_C,gamma_shape=1,41,0.16,-0.038433201367300024,0.3759403991031107,-0.05523932011299729,-0.16070107899011343,0,0,0.3759403991031107
expert_g90,S_R,gamma^tau,41,2.411572178828491,-6.261404043450373e-05,0.1463833816443313,0.0030918456002917982,2.4056451993199426,0,0,0.002835133908256534
expert_g90,S_R,gamma^1/decision,41,0.5418956657988805,-6.261404043450373e-05,0.03343692910190632,0.0030918456002917982,0.5359686862903321,0,0,0.002835133908256534
expert_g90,S_R,gamma_shape=1,41,0.5000000000000001,-0.0013294369945855422,0.03171289408590039,-0.00192442370319712,0.4990892897949407,0,0,0.002835133908256534
expert_g90,S_R3,gamma^tau,41,2.8031682890383767,-0.03813757241789972,0.15712286033787914,-0.05136401624214604,2.7949973379111297,0,0,0.059534967369392705
expert_g90,S_R3,gamma^1/decision,41,0.5523306266575299,-0.03813757241789972,0.059534967369392705,-0.05136401624214604,0.5441596755302832,0,0,0.059534967369392705
expert_g90,S_R3,gamma_shape=1,41,0.5,-0.04084178132452232,0.059534967369392705,-0.05685248758670214,0.49731752021730946,0,0,0.059534967369392705
expert_g150,legacy,gamma^tau,41,0.8593947713253135,-0.046133756548577154,0.11057831322774292,-0.089608601004535,0.8384250591021055,0,0,0.11057831322774292
expert_g150,legacy,gamma^1/decision,41,0.04032091703806309,-0.046133756548577154,0.11057831322774292,-0.089608601004535,0.019351204814855166,0,0,0.11057831322774292
expert_g150,legacy,gamma_shape=1,41,0.01865940689787135,-0.04660368687961361,0.11057831322774292,-0.09191890632987157,0.0,0,0,0.11057831322774292
expert_g150,S_A,gamma^tau,41,0.22246124374960047,-0.045984806831833314,0.052523927895021014,-0.09026266454681528,0.2928183873551722,0,0,0.019905520941243572
expert_g150,S_A,gamma^1/decision,41,0.025445742356506932,-0.045984806831833314,0.041518260747900826,-0.09026266454681528,0.0958028859620786,0,0,0.019905520941243572
expert_g150,S_A,gamma_shape=1,41,0.018660254033633927,-0.046458494607211964,0.041302242287447936,-0.09259165775855045,0.09134639085094082,0,0,0.019905520941243572
expert_g150,S_B,gamma^tau,41,4.273985314076417,0.0005212838689713385,0.24653507899676852,0.14533424807353257,4.125336778004934,0,0,0.0033142879979504293
expert_g150,S_B,gamma^1/decision,41,1.0863572028406354,0.0005212838689713385,0.0616208989497129,0.14533424807353257,0.9377086667691519,0,0,0.0033142879979504293
expert_g150,S_B,gamma_shape=1,41,1.0,0.0,0.05690542608011351,0.12167926953282526,0.8750064424692245,0,0,0.0033142879979504293
expert_g150,S_C,gamma^tau,41,2.456849387661481,-0.04275752148312276,0.4173468195324815,0.12390790161830956,1.9155946665106904,0,0,0.4173468195324815
expert_g150,S_C,gamma^1/decision,41,0.326138238265113,-0.04275752148312276,0.4173468195324815,0.12390790161830956,-0.21511648288567806,0,0,0.4173468195324815
expert_g150,S_C,gamma_shape=1,41,0.2686602539532202,-0.0434257894066985,0.4173468195324815,0.12061281291423931,-0.2692993784935006,0,0,0.4173468195324815
expert_g150,S_R,gamma^tau,41,3.985208723404311,-0.00011474212086065236,0.24587561541726632,0.01729821917335117,3.9647377921756926,0,0,0.003172712055267403
