key,name,n,mean,p50,p99,max,thresh,n_over,verdict
A_pos,A chaser step-local |dpos| (m),617999,0.20197148417968935,0.1868549212098953,0.4776900742147683,0.6778779487033909,10.0,0,PASS
A_vel,A chaser step-local |dvel| (m/s),617999,0.00020447303353015393,0.00019025347116769645,0.0004790485245319943,0.0009455210329308122,0.02,0,PASS
A_pos_burn,A  ...on burn sub-steps (m),40540,0.2011304973964726,0.1852247709236159,0.4790871216586597,0.6568968061307057,10.0,0,PASS
A_pos_coast,A  ...on coast sub-steps (m),577459,0.20203052491538082,0.18696368211416586,0.47758977195764596,0.6778779487033909,10.0,0,PASS
A_pos_quad_e,"A  ...burn @|sin th|>0.7, e in [.02,.12] (m)",12088,0.201841635827527,0.18627903156634204,0.4775941937531042,0.6568968061307057,10.0,0,PASS
G_pos,G target step-local |dpos| (m),617999,0.2017787507058884,0.18665826624475282,0.4777632752223026,0.6674159486118273,10.0,0,PASS
G_vel,G target step-local |dvel| (m/s),617999,0.00020506633562497112,0.00019096181652321386,0.00048066216664201516,0.0009168296628962431,0.02,0,PASS
B_E,B coast dE / sigma_E (z),577459,0.25767677602813494,0.2217418051768479,0.7881465509346339,1.2771477928503399,20.0,0,PASS
B_h,B coast dh / sigma_h (z),577459,0.12887035558014975,0.11092814868547961,0.3942055305227631,0.6372610380127787,20.0,0,PASS
C_E,C burn dE residual / sigma_E (z),40540,0.25640159453353556,0.2197710057197252,0.7894539419402666,1.2445260645848724,20.0,0,PASS
C_h,C burn dh residual / sigma_h (z),40540,0.12822146286756214,0.10992313028179847,0.39497590143247513,0.611570076142476,20.0,0,PASS
D_fuel,D Tsiolkovsky dm residual (kg),40540,2.679495974371213e-06,1.577716619571845e-06,1.3437807284688574e-05,1.6597028785536594e-05,0.001,0,PASS
E_dv,E |dv - table| unclamped (m/s),39901,0.0,0.0,0.0,0.0,0.0001,0,PASS
E_dv_clamped,E clamped dv overshoot (m/s),639,0.0,0.0,0.0,0.0,0.0001,0,PASS
F_tau,F sub-steps per decision - ACTION_TAU,67058,0.0,0.0,0.0,0.0,0.5,0,PASS
F_warp_dv,F dv on warp/coast actions (m/s),19315,0.0,0.0,0.0,0.0,1e-09,0,PASS
J_a,J |a_cart - a_log| (m),618979,0.3253465002070259,0.2824360094964504,0.9558759976550932,1.561139503493905,5.0,0,PASS
J_e,J |e_cart - e_log|,618979,2.548266730174955e-08,2.105284510091343e-08,8.206075942946579e-08,1.6813774629531597e-07,1e-05,0,PASS
J_thw,J |(th+w)_cart - (th+w)_log| (rad),618979,8.530251830288705e-08,6.756256398787741e-08,2.9137695192638083e-07,4.840162564079264e-07,1e-05,0,PASS
I_sign_lvlh,I sign(phys gap) == sign(LVLH dy) [1=bad],65198,0.0,0.0,0.0,0.0,0.0,0,PASS
I_sign_obs13_sameW,"I sign(obs13) wrong, w_sat==w_tgt [1=bad]",1799,0.0,0.0,0.0,0.0,0.0,0,PASS
I_sign_obs13_diffW,"I sign(obs13) wrong, w_sat!=w_tgt [1=bad]",63399,0.3928610861370053,0.0,1.0,1.0,0.0,24907,FAIL
