config,n,dw_mean_deg,dw_med_deg,dw_max_deg,dtheta_sd_deg,gtrue_mean_deg,gmean_mean_deg,chord_miss_mean_km,chord_miss_med_km,frac_in_30km
"headline(e=0.05,soi=0)",3000,89.87301589812594,88.85633909932496,179.98721970938595,51.52655912209843,89.24604385624076,89.2581456147941,8893.538101522761,9800.20312765434,0.0016666666666666668
"phase4(e=0,soi=0)",3000,0.0,0.0,0.0,51.73811281748192,89.859771446671,89.859771446671,0.0,0.0,1.0
"stage1(e=0.05,soi=1)",3000,0.0,0.0,0.0,51.36551464837823,90.56474263988193,90.76866679719299,0.0,0.0,1.0
