condition,obs_source,sigma_rho_m,sigma_beta_rad,episodes,gave_up,successes,success_rate,mean_ep_len,pos_rmse_mean_m,pos_rmse_median_m,pos_rmse_p95_m,vel_rmse_mean_ms,vel_rmse_median_ms,pos_rmse_settled_m,vel_rmse_settled_ms,pos_rmse_settled_median_m,vel_rmse_settled_median_ms,term_pos_err_mean_m,term_vel_err_mean_ms,nees_in_bounds,nis_in_bounds,hyperbolic_est_steps,frac_episodes_diverged,cause_success,cause_collision,cause_escape,cause_safety_cap,cause_stranded,cause_hyperbolic
truth,truth,50.0,1.0e-03,200,0,195,0.9750,886.7,1150.58,1033.75,2589.94,11.8568,10.0874,132.11,0.1452,46.33,0.0533,11.39,0.0112,0.9008,0.9461,0,0.0000,195,0,0,5,0,0
recon,recon,50.0,1.0e-03,200,0,195,0.9750,886.7,1150.58,1033.75,2589.94,11.8568,10.0874,132.11,0.1452,46.33,0.0533,11.39,0.0112,0.9008,0.9461,0,0.0000,195,0,0,5,0,0
ekf_1x,ekf,50.0,1.0e-03,200,0,195,0.9750,881.1,1130.39,1033.86,2389.52,11.8374,10.1311,119.87,0.1352,53.21,0.0575,11.93,0.0121,0.9051,0.9471,0,0.0000,195,0,0,5,0,0
ekf_3x,ekf,150.0,3.0e-03,200,0,195,0.9750,884.9,3207.92,2740.07,7332.77,13.3967,11.8644,391.52,0.4356,147.42,0.1715,32.96,0.0308,0.8903,0.9474,0,0.0000,195,0,0,5,0,0
ekf_10x,ekf,500.0,1.0e-02,200,0,193,0.9650,884.0,10779.39,7834.95,27421.68,19.8941,15.9056,2649.75,2.9591,542.72,0.5732,246.13,0.2701,0.7801,0.9084,0,0.0000,193,0,0,7,0,0
ekf_30x,ekf,1500.0,3.0e-02,200,0,175,0.8750,934.8,3148494.42,22811.07,5784877.48,10706.3028,29.5450,3184615.45,10866.7310,1680.80,1.9354,378625.89,304.5748,0.5417,0.7359,270,0.0550,175,3,0,21,1,0
ekf_100x,ekf,5000.0,1.0e-01,200,0,148,0.7400,1078.0,785140280814206002921472.00,75812.00,13234124.09,31380914100873650176.0000,88.2462,789890114104415399968768.00,31570758023183892480.0000,10020.89,11.2206,1462085103398385499504640.00,33844572621485002752.0000,0.3138,0.4936,1532,0.1700,148,7,0,42,3,0
ekf_300x,ekf,15000.0,3.0e-01,200,0,110,0.5500,1210.0,302863619386520.31,300945.94,175948167.90,79770023385.7775,336.0300,307664341590198.50,81655328533.5407,108111.15,102.7430,796953462383045.00,244816474065.4654,0.1173,0.3138,4210,0.3050,110,10,0,72,8,0
