regime,a_m,v_c,dv_per_deg,di_max_full_budget_deg,di_max_28pct_deg
LEO 300 km,6671000.0,7729.891847355842,134.91035120908407,3.5445765194232055,0.9923355672079665
LEO 800 km,7171000.0,7455.538661189395,130.12204557273705,3.675055821469347,1.0288530641935627
2000 km,8371000.0,6900.49454511403,120.43482120854657,3.970774406415273,1.111611782767185
8000 km,14371000.0,5266.540074205392,91.9172978223245,5.203461938274041,1.4565079104659961
MEO 20200 km,26571000.0,3873.1555420221052,67.59845865635928,7.077497520805827,1.9805382349095626
GEO 35786 km,42157000.0,3074.921541506354,53.666823973339795,8.918112950294375,2.494748760461761
