a_km,e,sep_km,orbits,dv_ms,n_obs,rho0_km,sigma_los_bo_m,sigma_los_rb_m,rel_sigma_bo,bo_over_rb,gain_vs_no_burn,fim_cond_bo
6771.0,0.0,5.0,0.25,0.0,24,4.999999886396503,0.0,10.981680554975211,0.0,0.0,nan,9943080847228174.0
6771.0,0.0,5.0,0.25,1.0,24,4.999999886396503,186.45460857933156,11.607261903244263,0.037290922563142155,16.06361690927444,0.0,36320233224.43025
6771.0,0.0,5.0,0.25,5.0,24,4.999999886396503,39.03932720647894,13.683476291807358,0.007807865618695955,2.853026992114041,0.0,1082222362.133848
6771.0,0.0,5.0,0.25,25.0,24,4.999999886396503,16.78051208572962,10.853383293132552,0.00335610249339892,1.5461088614042997,0.0,171443645.5865239
6771.0,0.0,5.0,0.5,0.0,47,4.999999886396503,inf,7.6882282442065035,inf,inf,nan,1.3951184946284306e+16
6771.0,0.0,5.0,0.5,1.0,47,4.999999886396503,36.09434163922173,7.759101314566479,0.007218868491862087,4.651871418595907,inf,4916789214.167181
6771.0,0.0,5.0,0.5,5.0,47,4.999999886396503,11.42184663151697,6.190007381826541,0.0022843693782058643,1.8452072714890082,inf,313946236.33678985
6771.0,0.0,5.0,0.5,25.0,47,4.999999886396503,7.543896229255079,4.507996153699543,0.0015087792801315363,1.6734477963261096,inf,190138627.06123573
6771.0,0.0,5.0,1.0,0.0,93,4.999999886396503,inf,5.876505732360165,inf,inf,nan,1.8623138638383424e+16
6771.0,0.0,5.0,1.0,1.0,93,4.999999886396503,9.12094560299358,4.714054326160191,0.0018241891620455696,1.9348410035026047,inf,961604426.3950495
6771.0,0.0,5.0,1.0,5.0,93,4.999999886396503,5.214231064553933,3.8452646185486827,0.0010428462366049824,1.3560135860095732,inf,458564246.80892164
6771.0,0.0,5.0,1.0,25.0,93,4.999999886396503,4.53711576232997,3.467007073784528,0.0009074231730832831,1.3086548904491644,inf,668708454.5564319
6771.0,0.0,5.0,2.0,0.0,186,4.999999886396503,inf,4.873865822669177,inf,inf,nan,1.0094072167336826e+16
6771.0,0.0,5.0,2.0,1.0,186,4.999999886396503,5.534717292341273,4.375023059087496,0.0011069434836187848,1.265071570501769,inf,930934266.1827912
6771.0,0.0,5.0,2.0,5.0,186,4.999999886396503,4.50760047983015,3.804540078098371,0.0009015201164491976,1.1847951098686258,inf,1811468822.0614455
6771.0,0.0,5.0,2.0,25.0,186,4.999999886396503,4.2855186617387115,3.5909444471087504,0.000857103751821739,1.1934238261995942,inf,4751328894.358602
6771.0,0.0,5.0,3.0,0.0,278,4.999999886396503,inf,4.527061781825377,inf,inf,nan,2.017781621208217e+17
6771.0,0.0,5.0,3.0,1.0,278,4.999999886396503,5.948402721167409,4.236688449522266,0.0011896805712638566,1.4040217476548598,inf,875296976.6050965
6771.0,0.0,5.0,3.0,5.0,278,4.999999886396503,5.105478476195943,3.498401878289029,0.0010210957184391975,1.459374495503327,inf,2267195323.3888073
6771.0,0.0,5.0,3.0,25.0,278,4.999999886396503,4.815687954190392,3.0171563439089693,0.0009631376127212386,1.5961015622913595,inf,6487345186.450377
6771.0,0.0,10.0,0.25,0.0,24,9.999999091168714,inf,12.600086098820332,inf,inf,nan,2.2339897757762376e+16
6771.0,0.0,10.0,0.25,1.0,24,9.999999091168714,754.827945892823,12.683465084020074,0.07548280144939544,59.51275466858283,inf,150116083387.9977
6771.0,0.0,10.0,0.25,5.0,24,9.999999091168714,148.61511770914967,13.450917423993806,0.014861513121575775,11.048697499551173,inf,5215794566.8267145
6771.0,0.0,10.0,0.25,25.0,24,9.999999091168714,42.056419610820235,15.029260387471762,0.004205642343303957,2.7983026793439576,inf,278563699.3355333
6771.0,0.0,10.0,0.5,0.0,47,9.999999091168714,inf,8.635223292159218,inf,inf,nan,4.259451928163544e+16
6771.0,0.0,10.0,0.5,1.0,47,9.999999091168714,137.16274031765798,8.750387278671244,0.013716275278343806,15.675047966389698,inf,25405837642.887394
6771.0,0.0,10.0,0.5,5.0,47,9.999999091168714,34.879339761899395,8.52683079102094,0.0034879342931843204,4.090539687808581,inf,745867627.3249881
6771.0,0.0,10.0,0.5,25.0,47,9.999999091168714,16.187160339660334,6.7801126038680035,0.001618716181080024,2.387447124465998,inf,239082759.79968745
6771.0,0.0,10.0,1.0,0.0,93,9.999999091168714,inf,7.272446963582266,inf,inf,nan,1.0381236861374006e+16
6771.0,0.0,10.0,1.0,1.0,93,9.999999091168714,27.1191904587996,7.113002151177138,0.0027119192923476696,3.812622277122694,inf,2199847650.4265633
6771.0,0.0,10.0,1.0,5.0,93,9.999999091168714,12.713390775075931,6.7941718165723115,0.0012713391930508763,1.8712200866138664,inf,506038991.2344629
6771.0,0.0,10.0,1.0,25.0,93,9.999999091168714,9.086159668538912,6.28010636678426,0.0009086160494317603,1.446816206266184,inf,666601735.4021212
6771.0,0.0,10.0,2.0,0.0,186,9.999999091168714,inf,6.261419229932333,inf,inf,nan,2.0871446895321784e+16
