rho_km,rho_over_r,arc_min,burn_dir,dv_ms,sigma_drift_m,sigma_drift_rel,sigma_burn_m,sigma_burn_rel,info_gain
2.037626117879137,0.00030121773688955176,90.0,radial,1.0,1579.3830331015597,0.7751093388739346,4.769262703695969,0.002340597552145659,109666.11183060343
2.037626117879137,0.00030121773688955176,90.0,prograde,1.0,1579.3830331015597,0.7751093388739346,6.8329915988854575,0.0033534079382519775,53426.061884014765
2.037626117879137,0.00030121773688955176,180.0,radial,1.0,417.4194654958245,0.2048557690899131,3.905049431844612,0.0019164700518803628,11425.950119019022
2.037626117879137,0.00030121773688955176,180.0,prograde,1.0,417.4194654958245,0.2048557690899131,3.046742153580526,0.0014952410193641058,18770.420096079604
2.037626117879137,0.00030121773688955176,360.0,radial,1.0,150.41286619095686,0.07381769642190987,3.709240256657127,0.001820373337439299,1644.371893336776
2.037626117879137,0.00030121773688955176,360.0,prograde,1.0,150.41286619095686,0.07381769642190987,2.57293886147341,0.001262713919348194,3417.5198119586103
5.011105610535344,0.0007407805964647393,90.0,radial,1.0,3744.945182776634,0.7473291273094035,20.453162804382682,0.00408156690239814,33525.0920889626
5.011105610535344,0.0007407805964647393,90.0,prograde,1.0,3744.945182776634,0.7473291273094035,24.326382227514458,0.004854494021513076,23699.319585211902
5.011105610535344,0.0007407805964647393,180.0,radial,1.0,937.0648358856921,0.18699762262355993,14.252748027265142,0.002844232218395114,4322.5703199247855
5.011105610535344,0.0007407805964647393,180.0,prograde,1.0,937.0648358856921,0.18699762262355993,9.049593079203232,0.001805907474824992,10722.132733948927
5.011105610535344,0.0007407805964647393,360.0,radial,1.0,335.3890206198175,0.06692914631747052,11.834950343881381,0.002361744346197692,803.0910805274806
5.011105610535344,0.0007407805964647393,360.0,prograde,1.0,335.3890206198175,0.06692914631747052,6.964271314502611,0.0013897674197608076,2319.243342272875
9.998283040369412,0.0014780239419908742,90.0,radial,1.0,7444.099113167729,0.7445377454420102,69.78308300242541,0.0069795066533590655,11379.521180777609
9.998283040369412,0.0014780239419908742,90.0,prograde,1.0,7444.099113167729,0.7445377454420102,75.29447075760439,0.007530740073429892,9774.580410382607
9.998283040369412,0.0014780239419908742,180.0,radial,1.0,1805.6202781790698,0.18059303491295808,44.20821041258712,0.004421580208730892,1668.195624242082
9.998283040369412,0.0014780239419908742,180.0,prograde,1.0,1805.6202781790698,0.18059303491295808,23.406333595493994,0.0023410353058607937,5950.946775906495
9.998283040369412,0.0014780239419908742,360.0,radial,1.0,633.9076489418613,0.06340165070166287,33.16208082242499,0.00331677755955984,365.3999111709043
9.998283040369412,0.0014780239419908742,360.0,prograde,1.0,633.9076489418613,0.06340165070166287,15.743191552357569,0.0015745895058973942,1621.3113572428076
19.984579008592014,0.0029542758521138423,90.0,radial,1.0,15188.831472035838,0.7600275925505194,254.9989874241124,0.012759787800107279,3547.9036319618594
19.984579008592014,0.0029542758521138423,90.0,prograde,1.0,15188.831472035838,0.7600275925505194,262.83404867288954,0.013151843156660377,3339.530982152607
19.984579008592014,0.0029542758521138423,180.0,radial,1.0,3644.174655432599,0.18234933314661522,151.0991419460268,0.007560786838745235,581.6669264299962
19.984579008592014,0.0029542758521138423,180.0,prograde,1.0,3644.174655432599,0.18234933314661522,70.00492599991598,0.0035029472459649313,2709.824500041998
19.984579008592014,0.0029542758521138423,360.0,radial,1.0,1266.7937529130809,0.06338856337020886,107.7248271597938,0.005390397621760229,138.28663668413992
19.984579008592014,0.0029542758521138423,360.0,prograde,1.0,1266.7937529130809,0.06338856337020886,40.33075003818086,0.002018093552075396,986.595723342135
29.973525554635174,0.004430919571952284,90.0,radial,1.0,23640.7516001519,0.7887210851142615,555.4591656605149,0.018531659368799795,1811.4163548605795
29.973525554635174,0.004430919571952284,90.0,prograde,1.0,23640.7516001519,0.7887210851142615,573.0887504688161,0.019119831246551255,1701.683518439805
29.973525554635174,0.004430919571952284,180.0,radial,1.0,5680.942354916269,0.18953200365306228,319.8004630529895,0.010669431010711881,315.56046579968
29.973525554635174,0.004430919571952284,180.0,prograde,1.0,5680.942354916269,0.18953200365306228,142.99263772548804,0.004770631251396963,1578.3866899081597
29.973525554635174,0.004430919571952284,360.0,radial,1.0,1983.4729409034849,0.06617416217148189,226.6514301817563,0.007561720751488522,76.58357442197014
29.973525554635174,0.004430919571952284,360.0,prograde,1.0,1983.4729409034849,0.06617416217148189,76.71933659167976,0.002559569992920493,668.4099137876318
49.952962379873945,0.007384435121726671,90.0,radial,1.0,44521.985574779166,0.8912781835881084,1504.7373106243128,0.030123084576673106,875.4425877000984
49.952962379873945,0.007384435121726671,90.0,prograde,1.0,44521.985574779166,0.8912781835881084,1602.9193432328334,0.032088574267992755,771.4818435777293
49.952962379873945,0.007384435121726671,180.0,radial,1.0,10808.750645363561,0.2163785715683282,842.0045588767154,0.016855948451536863,164.7866822834587
49.952962379873945,0.007384435121726671,180.0,prograde,1.0,10808.750645363561,0.2163785715683282,375.32850374427,0.0075136385484014835,829.3310027512911
49.952962379873945,0.007384435121726671,360.0,radial,1.0,3852.9175178018377,0.07713091144628849,603.0819598635845,0.012072996898109216,40.815652964908416
49.952962379873945,0.007384435121726671,360.0,prograde,1.0,3852.9175178018377,0.07713091144628849,192.29725274720874,0.0038495665439190314,401.4516657065131
