gap_deg,e,seed,cap,burn_action,n_burn,decisions,sim_steps,cause,success,a0_km,da_final_km,min_d_km,relv_at_min,dwell_decisions,probe
10,0.0,4,3000,4,1,22,1243,success,1,300.015664100647,-8.616232872009277,nan,nan,0,oneburn_warp60
10,0.0,5,3000,4,1,22,1243,success,1,300.01957416534424,-8.616256713867188,nan,nan,0,oneburn_warp60
10,0.0,6,3000,4,1,22,1243,success,1,300.0234842300415,-8.616256713867188,nan,nan,0,oneburn_warp60
10,0.0,7,3000,4,1,22,1243,success,1,300.02739429473877,-8.616256713867188,nan,nan,0,oneburn_warp60
10,0.0,0,2000,5,1,12,626,success,1,421.28915786743164,-17.675447463989258,nan,nan,0,oneburn_warp60
10,0.0,1,2000,5,1,12,615,success,1,300.00391006469727,-17.204618453979492,nan,nan,0,oneburn_warp60
10,0.0,2,2000,5,1,12,615,success,1,300.00782012939453,-17.204642295837402,nan,nan,0,oneburn_warp60
10,0.0,3,2000,5,1,12,615,success,1,300.0117301940918,-17.204642295837402,nan,nan,0,oneburn_warp60
10,0.0,4,2000,5,1,12,615,success,1,300.015664100647,-17.204689979553223,nan,nan,0,oneburn_warp60
10,0.0,5,2000,5,1,12,615,success,1,300.01957416534424,-17.204689979553223,nan,nan,0,oneburn_warp60
10,0.0,6,2000,5,1,12,615,success,1,300.0234842300415,-17.204713821411133,nan,nan,0,oneburn_warp60
10,0.0,7,2000,5,1,12,615,success,1,300.02739429473877,-17.204713821411133,nan,nan,0,oneburn_warp60
10,0.0,0,3000,5,1,12,626,success,1,421.28915786743164,-17.675447463989258,nan,nan,0,oneburn_warp60
10,0.0,1,3000,5,1,12,615,success,1,300.00391006469727,-17.204618453979492,nan,nan,0,oneburn_warp60
10,0.0,2,3000,5,1,12,615,success,1,300.00782012939453,-17.204642295837402,nan,nan,0,oneburn_warp60
10,0.0,3,3000,5,1,12,615,success,1,300.0117301940918,-17.204642295837402,nan,nan,0,oneburn_warp60
10,0.0,4,3000,5,1,12,615,success,1,300.015664100647,-17.204689979553223,nan,nan,0,oneburn_warp60
10,0.0,5,3000,5,1,12,615,success,1,300.01957416534424,-17.204689979553223,nan,nan,0,oneburn_warp60
10,0.0,6,3000,5,1,12,615,success,1,300.0234842300415,-17.204713821411133,nan,nan,0,oneburn_warp60
10,0.0,7,3000,5,1,12,615,success,1,300.02739429473877,-17.204713821411133,nan,nan,0,oneburn_warp60
10,0.0,0,2000,6,1,35,2000,safety_cap,0,421.28915786743164,-43.9739465713501,nan,nan,0,oneburn_warp60
10,0.0,1,2000,6,1,35,2000,safety_cap,0,300.00391006469727,-42.804503440856934,nan,nan,0,oneburn_warp60
10,0.0,2,2000,6,1,35,2000,safety_cap,0,300.00782012939453,-42.804527282714844,nan,nan,0,oneburn_warp60
10,0.0,3,2000,6,1,35,2000,safety_cap,0,300.0117301940918,-42.804574966430664,nan,nan,0,oneburn_warp60
10,0.0,4,2000,6,1,35,2000,safety_cap,0,300.015664100647,-42.804622650146484,nan,nan,0,oneburn_warp60
10,0.0,5,2000,6,1,35,2000,safety_cap,0,300.01957416534424,-42.804646492004395,nan,nan,0,oneburn_warp60
10,0.0,6,2000,6,1,35,2000,safety_cap,0,300.0234842300415,-42.804694175720215,nan,nan,0,oneburn_warp60
10,0.0,7,2000,6,1,35,2000,safety_cap,0,300.02739429473877,-42.804718017578125,nan,nan,0,oneburn_warp60
10,0.0,0,3000,6,1,51,3000,safety_cap,0,421.28915786743164,-43.9739465713501,nan,nan,0,oneburn_warp60
10,0.0,1,3000,6,1,51,3000,safety_cap,0,300.00391006469727,-42.804503440856934,nan,nan,0,oneburn_warp60
10,0.0,2,3000,6,1,51,3000,safety_cap,0,300.00782012939453,-42.804527282714844,nan,nan,0,oneburn_warp60
10,0.0,3,3000,6,1,51,3000,safety_cap,0,300.0117301940918,-42.804574966430664,nan,nan,0,oneburn_warp60
10,0.0,4,3000,6,1,51,3000,safety_cap,0,300.015664100647,-42.804622650146484,nan,nan,0,oneburn_warp60
10,0.0,5,3000,6,1,51,3000,safety_cap,0,300.01957416534424,-42.804646492004395,nan,nan,0,oneburn_warp60
10,0.0,6,3000,6,1,51,3000,safety_cap,0,300.0234842300415,-42.804694175720215,nan,nan,0,oneburn_warp60
10,0.0,7,3000,6,1,51,3000,safety_cap,0,300.02739429473877,-42.804718017578125,nan,nan,0,oneburn_warp60
20,0.0,0,2000,13,1,35,2000,safety_cap,0,421.28915786743164,-1.7727375030517578,nan,nan,0,oneburn_warp60
20,0.0,1,2000,13,1,35,2000,safety_cap,0,300.00391006469727,-1.725459098815918,nan,nan,0,oneburn_warp60
20,0.0,2,2000,13,1,35,2000,safety_cap,0,300.00782012939453,-1.725459098815918,nan,nan,0,oneburn_warp60
20,0.0,3,2000,13,1,35,2000,safety_cap,0,300.0117301940918,-1.725459098815918,nan,nan,0,oneburn_warp60
20,0.0,4,2000,13,1,35,2000,safety_cap,0,300.015664100647,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,5,2000,13,1,35,2000,safety_cap,0,300.01957416534424,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,6,2000,13,1,35,2000,safety_cap,0,300.0234842300415,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,7,2000,13,1,35,2000,safety_cap,0,300.02739429473877,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,0,3000,13,1,51,3000,safety_cap,0,421.28915786743164,-1.7727375030517578,nan,nan,0,oneburn_warp60
20,0.0,1,3000,13,1,51,3000,safety_cap,0,300.00391006469727,-1.725459098815918,nan,nan,0,oneburn_warp60
20,0.0,2,3000,13,1,51,3000,safety_cap,0,300.00782012939453,-1.725459098815918,nan,nan,0,oneburn_warp60
20,0.0,3,3000,13,1,51,3000,safety_cap,0,300.0117301940918,-1.725459098815918,nan,nan,0,oneburn_warp60
20,0.0,4,3000,13,1,51,3000,safety_cap,0,300.015664100647,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,5,3000,13,1,51,3000,safety_cap,0,300.01957416534424,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,6,3000,13,1,51,3000,safety_cap,0,300.0234842300415,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,7,3000,13,1,51,3000,safety_cap,0,300.02739429473877,-1.7254829406738281,nan,nan,0,oneburn_warp60
20,0.0,0,2000,15,1,35,2000,safety_cap,0,421.28915786743164,-3.544330596923828,nan,nan,0,oneburn_warp60
20,0.0,1,2000,15,1,35,2000,safety_cap,0,300.00391006469727,-3.4498214721679688,nan,nan,0,oneburn_warp60
20,0.0,2,2000,15,1,35,2000,safety_cap,0,300.00782012939453,-3.4498214721679688,nan,nan,0,oneburn_warp60
20,0.0,3,2000,15,1,35,2000,safety_cap,0,300.0117301940918,-3.4498214721679688,nan,nan,0,oneburn_warp60
20,0.0,4,2000,15,1,35,2000,safety_cap,0,300.015664100647,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,5,2000,15,1,35,2000,safety_cap,0,300.01957416534424,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,6,2000,15,1,35,2000,safety_cap,0,300.0234842300415,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,7,2000,15,1,35,2000,safety_cap,0,300.02739429473877,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,0,3000,15,1,51,3000,safety_cap,0,421.28915786743164,-3.544330596923828,nan,nan,0,oneburn_warp60
20,0.0,1,3000,15,1,51,3000,safety_cap,0,300.00391006469727,-3.4498214721679688,nan,nan,0,oneburn_warp60
20,0.0,2,3000,15,1,51,3000,safety_cap,0,300.00782012939453,-3.4498214721679688,nan,nan,0,oneburn_warp60
20,0.0,3,3000,15,1,51,3000,safety_cap,0,300.0117301940918,-3.4498214721679688,nan,nan,0,oneburn_warp60
20,0.0,4,3000,15,1,51,3000,safety_cap,0,300.015664100647,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,5,3000,15,1,51,3000,safety_cap,0,300.01957416534424,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,6,3000,15,1,51,3000,safety_cap,0,300.0234842300415,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,7,3000,15,1,51,3000,safety_cap,0,300.02739429473877,-3.449845314025879,nan,nan,0,oneburn_warp60
20,0.0,0,2000,4,1,35,2000,safety_cap,0,421.28915786743164,-8.852148056030273,nan,nan,0,oneburn_warp60
20,0.0,1,2000,4,1,35,2000,safety_cap,0,300.00391006469727,-8.616209030151367,nan,nan,0,oneburn_warp60
20,0.0,2,2000,4,1,35,2000,safety_cap,0,300.00782012939453,-8.616209030151367,nan,nan,0,oneburn_warp60
20,0.0,3,2000,4,1,35,2000,safety_cap,0,300.0117301940918,-8.616209030151367,nan,nan,0,oneburn_warp60
20,0.0,4,2000,4,1,35,2000,safety_cap,0,300.015664100647,-8.616232872009277,nan,nan,0,oneburn_warp60
20,0.0,5,2000,4,1,35,2000,safety_cap,0,300.01957416534424,-8.616256713867188,nan,nan,0,oneburn_warp60
20,0.0,6,2000,4,1,35,2000,safety_cap,0,300.0234842300415,-8.616256713867188,nan,nan,0,oneburn_warp60
20,0.0,7,2000,4,1,35,2000,safety_cap,0,300.02739429473877,-8.616256713867188,nan,nan,0,oneburn_warp60
20,0.0,0,3000,4,1,45,2623,success,1,421.28915786743164,-8.852148056030273,nan,nan,0,oneburn_warp60
20,0.0,1,3000,4,1,44,2566,success,1,300.00391006469727,-8.616209030151367,nan,nan,0,oneburn_warp60
20,0.0,2,3000,4,1,44,2566,success,1,300.00782012939453,-8.616209030151367,nan,nan,0,oneburn_warp60
20,0.0,3,3000,4,1,44,2566,success,1,300.0117301940918,-8.616209030151367,nan,nan,0,oneburn_warp60
20,0.0,4,3000,4,1,44,2566,success,1,300.015664100647,-8.616232872009277,nan,nan,0,oneburn_warp60
20,0.0,5,3000,4,1,44,2566,success,1,300.01957416534424,-8.616256713867188,nan,nan,0,oneburn_warp60
20,0.0,6,3000,4,1,44,2566,success,1,300.0234842300415,-8.616256713867188,nan,nan,0,oneburn_warp60
20,0.0,7,3000,4,1,44,2566,success,1,300.02739429473877,-8.616256713867188,nan,nan,0,oneburn_warp60
20,0.0,0,2000,5,1,24,1328,success,1,421.28915786743164,-17.675447463989258,nan,nan,0,oneburn_warp60
20,0.0,1,2000,5,1,35,2000,safety_cap,0,300.00391006469727,-17.204618453979492,nan,nan,0,oneburn_warp60
