alt_km,e,v_circ_ms,v_apo_ms,v_peri_ms,apo_over_peri,dv_ratio_apo_vs_peri,save_apo_vs_peri_pct,v_node_best_p50,v_node_best_p90,v_node_single_p50,best_of_two_nodes_save_pct,worst_case_over_apo
400.0,0.0,7672.598648385013,7672.598648385014,7672.598648385014,1.0,1.0,0.0,7672.598648385014,7672.598648385014,7672.598648385014,0.0,1.0
400.0,0.05,7672.598648385013,7298.097046049846,8066.317787739303,0.9047619047619048,0.9047619047619048,9.523809523809524,7415.355950231043,7630.857577380228,7695.6306954430975,3.2009232492688278,1.0539462286666075
400.0,0.15,7672.598648385013,6596.33986233338,8924.45981374516,0.7391304347826088,0.7391304347826088,26.086956521739125,6985.177765131554,7665.470726069141,7850.728969448039,9.473408880057367,1.1896320869579586
400.0,0.3,7672.598648385013,5630.148174948566,10455.989467761621,0.5384615384615385,0.5384615384615385,46.153846153846146,6563.550361919228,8025.559973875508,8396.548671451203,18.37198546784643,1.4914716650288509
400.0,0.5,7672.598648385013,4429.776895029046,13289.330685087138,0.3333333333333333,0.3333333333333333,66.66666666666667,6529.530603560865,9263.510935815719,9905.166395148182,28.739201820832406,2.2360657436470115
800.0,0.0,7455.538661189395,7455.538661189395,7455.538661189395,1.0,1.0,0.0,7455.538661189395,7455.538661189395,7455.538661189395,0.0,1.0
800.0,0.05,7455.538661189395,7091.631815172508,7838.11937466435,0.9047619047619049,0.9047619047619049,9.523809523809511,7205.683124152437,7415.865243535904,7472.779569728559,3.1743605176144274,1.0539462633141594
800.0,0.15,7455.538661189395,6409.727540788656,8671.984319890535,0.7391304347826088,0.7391304347826088,26.086956521739125,6786.65414922251,7446.567527984684,7618.366950655629,9.458729137368016,1.1896300575223973
800.0,0.3,7455.538661189395,5470.869689683212,10160.186566554536,0.5384615384615384,0.5384615384615384,46.15384615384615,6377.959033923968,7800.799320931976,8175.417788915387,18.46608951156138,1.4914716997246749
800.0,0.5,7455.538661189395,4304.4572529913585,12913.371758974077,0.33333333333333326,0.33333333333333326,66.66666666666667,6349.933778156726,9000.461671563291,9638.848236480279,28.686314755082844,2.236061753390513
2000.0,0.0,6900.49454511403,6900.49454511403,6900.49454511403,1.0,1.0,0.0,6900.49454511403,6900.49454511403,6900.49454511403,0.0,1.0
2000.0,0.05,6900.49454511403,6563.679551592346,7254.593188602065,0.9047619047619049,0.9047619047619049,9.523809523809511,6669.538411691274,6863.883981806629,6918.215356805819,3.1797511634978126,1.053945987637029
2000.0,0.15,6900.49454511403,5932.54115374987,8026.379208014529,0.7391304347826089,0.7391304347826089,26.08695652173911,6284.257023816724,6895.939786262375,7058.7398213231345,9.448012569251517,1.1896310569994233
2000.0,0.3,6900.49454511403,5063.578658267745,9403.788936782954,0.5384615384615384,0.5384615384615384,46.15384615384615,5900.687965344712,7219.135597295469,7547.722292027777,18.35987896333634,1.4914630500147668
2000.0,0.5,6900.49454511403,3984.0023831631297,11952.007149489387,0.33333333333333337,0.33333333333333337,66.66666666666666,5867.167137127055,8336.7836588347,8918.182698202294,28.673684111677034,2.236066235512405
8000.0,0.0,5266.540074205392,5266.540074205392,5266.540074205392,1.0,1.0,0.0,5266.540074205392,5266.540074205392,5266.540074205392,0.0,1.0
8000.0,0.05,5266.540074205392,5009.478837597187,5536.792399449522,0.9047619047619048,0.9047619047619048,9.523809523809524,5090.031461612257,5238.151936350683,5278.325450533689,3.1750462476084595,1.0539459066931236
8000.0,0.15,5266.540074205392,4527.786454120017,6125.828732044729,0.7391304347826086,0.7391304347826086,26.086956521739136,4795.182306213723,5260.605014444064,5388.324662422388,9.473619781967724,1.189631294238058
8000.0,0.3,5266.540074205392,3864.5838712444865,7177.084332311189,0.5384615384615384,0.5384615384615384,46.15384615384615,4500.678275066837,5507.102490476611,5760.438401903686,18.425654239994305,1.4914686872329788
8000.0,0.5,5266.540074205392,3040.638329540435,9121.914988621304,0.33333333333333337,0.33333333333333337,66.66666666666666,4478.503684678778,6361.700360505673,6808.751656839697,28.75470472767675,2.236048109950782
20200.0,0.0,3873.1555420221052,3873.1555420221052,3873.1555420221052,1.0,1.0,0.0,3873.1555420221052,3873.1555420221052,3873.1555420221052,0.0,1.0
20200.0,0.05,3873.1555420221052,3684.105778955725,4071.9063872668544,0.9047619047619047,0.9047619047619047,9.523809523809534,3743.101468120207,3852.3393406067757,3883.966940254105,3.1971435582686003,1.0539462549160374
20200.0,0.15,3873.1555420221052,3329.8562150433263,4505.099585058618,0.7391304347826088,0.7391304347826088,26.086956521739125,3526.7440875432,3870.0688603265176,3958.9876734895697,9.432643391757233,1.1896310148407219
20200.0,0.3,3873.1555420221052,2842.119157477065,5278.221292457407,0.5384615384615384,0.5384615384615384,46.15384615384615,3312.1922671748935,4051.8666659645223,4238.134104908662,18.40757047386541,1.4914703588390537
20200.0,0.5,3873.1555420221052,2236.1673947997533,6708.502184399261,0.3333333333333333,0.3333333333333333,66.66666666666667,3294.09538373194,4675.459373166048,5002.033288988914,28.67208960613137,2.236060392973719
