i_t_deg,e,dv_ms,eq_normal_jump_deg,roe_normal_jump_deg,eq_tangential_jump_deg
0.0,0.0,1.0,1.9765499156415384e-05,1.9765499156415384e-05,1.0177774980683254e-13
0.0,0.0,10.0,0.00019765490657973277,0.00019765490657973277,1.0177774980683254e-13
0.0,0.0,25.0,0.0004941361400749748,0.0004941361400749748,1.0177774980683254e-13
0.0,0.02,1.0,1.9771497122767e-05,1.9771497122767e-05,0.00015107277222249957
0.0,0.02,10.0,0.00019861031955805146,0.00019861031955805146,0.001508039680049067
0.0,0.02,25.0,0.0005002556477360775,0.0005002556477360775,0.0037588753260766996
0.0,0.05,1.0,1.9776596086254573e-05,1.9776596086254573e-05,0.0003792344788342384
0.0,0.05,10.0,0.0002000020197560236,0.0002000020197560236,0.003785687210164934
0.0,0.05,25.0,0.0005093211905815397,0.0005093211905815397,0.009436419621808552
0.0,0.15,1.0,1.9834408901477348e-05,1.9834408901477348e-05,0.001184973385707365
0.0,0.15,10.0,0.00020508315544582893,0.00020508315544582893,0.011830143144510977
0.0,0.15,25.0,0.000540786548320778,0.000540786548320778,0.02949356039475689
28.5,0.0,1.0,0.0019384713113646665,43.625878784208574,1.0177774980683254e-13
28.5,0.0,10.0,0.019384704599632558,43.626235643704554,1.0177774980683254e-13
28.5,0.0,25.0,0.04846164863188242,43.626866162689346,1.0177774980683254e-13
28.5,0.02,1.0,0.0019380924228265717,43.62587876677557,0.00015107277222249957
28.5,0.02,10.0,0.019381693119370408,43.626235650207235,0.001508039680049067
28.5,0.02,25.0,0.04845735905299863,43.626865895884066,0.003758875326051255
28.5,0.05,1.0,0.0019371473190183087,43.62587877548286,0.0003792344788342384
28.5,0.05,10.0,0.019373663317490523,43.626235915850216,0.003785687210164934
28.5,0.05,25.0,0.0484432065787294,43.62686581664561,0.009436419621783109
28.5,0.15,1.0,0.0019379565569603555,43.625878785316324,0.0011849733857328096
28.5,0.15,10.0,0.019385921847169585,43.62623596062907,0.011830143144510977
28.5,0.15,25.0,0.048491210658069626,43.62686650942131,0.02949356039475689
51.6,0.0,1.0,0.003674154254890175,136.38683854940493,1.0177774980683254e-13
51.6,0.0,10.0,0.03674152551242599,136.38719639402677,1.0177774980683254e-13
51.6,0.0,25.0,0.09185358792906281,136.38782900256354,1.0177774980683254e-13
51.6,0.02,1.0,0.0036734249801639303,136.3868385317366,0.00015107277222249957
51.6,0.02,10.0,0.03673470416275532,136.38719641751229,0.001508039680049067
51.6,0.02,25.0,0.0918384986455666,136.38782860386885,0.003758875326051255
51.6,0.05,1.0,0.0036716218220390366,136.38683854053681,0.0003792344788342384
51.6,0.05,10.0,0.036718302561940204,136.3871966552174,0.003785687210164934
51.6,0.05,25.0,0.09180428660121022,136.38782858383018,0.009436419621808552
51.6,0.15,1.0,0.0036731044914951193,136.38683854980246,0.0011849733857328096
51.6,0.15,10.0,0.03673642228384003,136.38719664130295,0.011830143144510977
51.6,0.15,25.0,0.09186330496573723,136.38782889895612,0.02949356039475689
97.4,0.0,1.0,0.008639321549586831,46.36645431263956,1.0177774980683254e-13
97.4,0.0,10.0,0.0863931621639203,46.36681303216381,1.0177774980683254e-13
97.4,0.0,25.0,0.21598219836750795,46.36744749509962,1.0177774980683254e-13
97.4,0.02,1.0,0.008637578333060574,46.366454294761176,0.00015107277222249957
97.4,0.02,10.0,0.08637428099280307,46.366813070863586,0.001508039680049067
97.4,0.02,25.0,0.21592895849681062,46.36744697841266,0.003758875326051255
97.4,0.05,1.0,0.008633328509787194,46.366454303644645,0.0003792344788342384
97.4,0.05,10.0,0.0863347226992244,46.36681328359618,0.003785687210164934
97.4,0.05,25.0,0.2158423129963842,46.36744701174426,0.009436419621884887
97.4,0.15,1.0,0.008636704496373614,46.36645431240313,0.001184973385707365
97.4,0.15,10.0,0.08636629675183466,46.36681321727973,0.011830143144510977
97.4,0.15,25.0,0.21591214200652997,46.36744698951284,0.02949356039475689
