geometry,rho0_m,rho_over_r,arc_min,cw_err_1orbit_m,cw_err_end_m,rho_median_m,cw_err_pct_of_rho
TB_5km_di0p02,5000.0,0.0007391825439381191,185.0,91.71170896020736,183.52574460264043,8522.502629105958,2.153425497058403
G1_10km_di0p04,10000.0,0.0014783650878762386,277.0,395.21242372239135,1215.180262617464,37357.459395945465,3.252845033539277
G2_300km_di1p0,300000.0,0.04435095263628715,185.0,233354.34781987336,472638.2551328941,849404.8505247999,55.64346081151729
G3_180deg_di0p75,13500000.0,1.995792868632922,139.0,510000367.4602378,773447167.8389972,13570543.091590878,5699.456260658215
