da_km,measured_rad_s,predicted_rad_s,rel_err
50.0,1.2436703956092668e-05,1.2436703956092421e-05,1.9887393112472806e-14
200.0,4.841438717169082e-05,4.841438717168977e-05,2.1694395322419898e-14
340.0,8.029046834572503e-05,8.029046834572484e-05,2.3631121363992636e-15
