cap,gap_deg,action,n_burn,dv,n_seeds,successes,rate
2000,110,5,1,10,8,0,0.0
2000,110,5,2,20,8,0,0.0
2000,110,5,3,30,8,0,0.0
2000,110,6,1,25,8,0,0.0
2000,110,6,2,50,8,0,0.0
2000,110,6,3,75,8,0,0.0
2000,110,6,4,100,8,0,0.0
2000,110,6,6,150,8,0,0.0
2000,110,13,1,1,8,0,0.0
2000,110,15,1,2,8,0,0.0
2000,110,15,2,4,8,0,0.0
2000,120,4,1,5,8,0,0.0
2000,120,4,2,10,8,0,0.0
2000,120,5,1,10,8,0,0.0
2000,120,5,2,20,8,0,0.0
2000,120,5,3,30,8,0,0.0
2000,120,6,1,25,8,0,0.0
2000,120,6,2,50,8,0,0.0
2000,120,6,3,75,8,0,0.0
2000,120,6,4,100,8,0,0.0
2000,120,6,6,150,8,0,0.0
2000,120,13,1,1,8,0,0.0
2000,120,15,1,2,8,0,0.0
2000,120,15,2,4,8,0,0.0
2000,130,4,1,5,8,0,0.0
2000,130,4,2,10,8,0,0.0
2000,130,5,1,10,8,0,0.0
2000,130,5,2,20,8,0,0.0
2000,130,5,3,30,8,0,0.0
2000,130,6,1,25,8,0,0.0
2000,130,6,2,50,8,0,0.0
2000,130,6,3,75,8,0,0.0
2000,130,6,4,100,8,0,0.0
2000,130,6,6,150,8,0,0.0
2000,130,13,1,1,8,0,0.0
2000,130,15,1,2,8,0,0.0
2000,130,15,2,4,8,0,0.0
2000,140,4,1,5,8,0,0.0
2000,140,4,2,10,8,0,0.0
2000,140,5,1,10,8,0,0.0
2000,140,5,2,20,8,0,0.0
2000,140,5,3,30,8,0,0.0
2000,140,6,1,25,8,0,0.0
2000,140,6,2,50,8,0,0.0
2000,140,6,3,75,8,0,0.0
2000,140,6,4,100,8,0,0.0
2000,140,6,6,150,8,0,0.0
2000,140,13,1,1,8,0,0.0
2000,140,15,1,2,8,0,0.0
2000,140,15,2,4,8,0,0.0
2000,150,4,1,5,8,0,0.0
2000,150,4,2,10,8,0,0.0
2000,150,5,1,10,8,0,0.0
2000,150,5,2,20,8,0,0.0
2000,150,5,3,30,8,0,0.0
