alt_km,i_deg,da_km,horizon_steps,horizon_days,RAAN_rate_deg_per_day,argp_rate_deg_per_day,dRAAN_rate_deg_per_day,dlambda_rate_deg_per_day,dRAAN_available_deg,theta_equiv_deg,dv_equiv_saved_ms,frac_of_budget
400.0,0.0,50.0,3000,2.0833333333333335,-8.083127287998341,8.083127287998341,0.20548796526258162,-61.5661039645416,0.4280999276303784,0.0,0.0,0.0
400.0,0.0,50.0,6000,4.166666666666667,-8.083127287998341,8.083127287998341,0.20548796526258162,-61.5661039645416,0.8561998552607568,0.0,0.0,0.0
400.0,0.0,50.0,12000,8.333333333333334,-8.083127287998341,8.083127287998341,0.20548796526258162,-61.5661039645416,1.7123997105215136,0.0,0.0,0.0
400.0,0.0,100.0,3000,2.0833333333333335,-8.083127287998341,8.083127287998341,0.4043080150639685,-122.01421515830866,0.8423083647166011,0.0,0.0,0.0
400.0,0.0,100.0,6000,4.166666666666667,-8.083127287998341,8.083127287998341,0.4043080150639685,-122.01421515830866,1.6846167294332022,0.0,0.0,0.0
400.0,0.0,100.0,12000,8.333333333333334,-8.083127287998341,8.083127287998341,0.4043080150639685,-122.01421515830866,3.3692334588664044,0.0,0.0,0.0
400.0,0.0,200.0,3000,2.0833333333333335,-8.083127287998341,8.083127287998341,0.7829824539119863,-239.66842054897197,1.6312134456499716,0.0,0.0,0.0
400.0,0.0,200.0,6000,4.166666666666667,-8.083127287998341,8.083127287998341,0.7829824539119863,-239.66842054897197,3.2624268912999432,0.0,0.0,0.0
400.0,0.0,200.0,12000,8.333333333333334,-8.083127287998341,8.083127287998341,0.7829824539119863,-239.66842054897197,6.5248537825998865,0.0,0.0,0.0
400.0,0.0,400.0,3000,2.0833333333333335,-8.083127287998341,8.083127287998341,1.4710908630648483,-462.7435269961364,3.0647726313851007,0.0,0.0,0.0
400.0,0.0,400.0,6000,4.166666666666667,-8.083127287998341,8.083127287998341,1.4710908630648483,-462.7435269961364,6.129545262770201,0.0,0.0,0.0
400.0,0.0,400.0,12000,8.333333333333334,-8.083127287998341,8.083127287998341,1.4710908630648483,-462.7435269961364,12.259090525540403,0.0,0.0,0.0
400.0,0.0,600.0,3000,2.0833333333333335,-8.083127287998341,8.083127287998341,2.078005398764933,-670.7902915710928,4.329177914093611,0.0,0.0,0.0
400.0,0.0,600.0,6000,4.166666666666667,-8.083127287998341,8.083127287998341,2.078005398764933,-670.7902915710928,8.658355828187222,0.0,0.0,0.0
400.0,0.0,600.0,12000,8.333333333333334,-8.083127287998341,8.083127287998341,2.078005398764933,-670.7902915710928,17.316711656374444,0.0,0.0,0.0
400.0,28.5,50.0,3000,2.0833333333333335,-7.103590584517846,5.782664386773784,0.18058634031884413,-61.5661039645416,0.3762215423309253,0.17951740472158212,24.03954436344622,0.05027827264134975
400.0,28.5,50.0,6000,4.166666666666667,-7.103590584517846,5.782664386773784,0.18058634031884413,-61.5661039645416,0.7524430846618506,0.35903480944316424,48.07902972933808,0.10055642189038065
400.0,28.5,50.0,12000,8.333333333333334,-7.103590584517846,5.782664386773784,0.18058634031884413,-61.5661039645416,1.5048861693237012,0.7180696188863285,96.15758747911008,0.2011118566440275
400.0,28.5,100.0,3000,2.0833333333333335,-7.103590584517846,5.782664386773784,0.3553128024246072,-122.01421515830866,0.740235005051265,0.3532096173110266,47.298969734990855,0.09892494050789503
400.0,28.5,100.0,6000,4.166666666666667,-7.103590584517846,5.782664386773784,0.3553128024246072,-122.01421515830866,1.48047001010253,0.7064192346220532,94.59749009269115,0.1978489411513071
400.0,28.5,100.0,12000,8.333333333333334,-7.103590584517846,5.782664386773784,0.3553128024246072,-122.01421515830866,2.96094002020506,1.4128384692441065,189.19138519267426,0.39569036344032693
400.0,28.5,200.0,3000,2.0833333333333335,-7.103590584517846,5.782664386773784,0.6880983794119122,-239.66842054897197,1.433538290441484,0.684025353451737,91.59873344019603,0.19157709580017512
400.0,28.5,200.0,6000,4.166666666666667,-7.103590584517846,5.782664386773784,0.6880983794119122,-239.66842054897197,2.867076580882968,1.368050706903474,183.19420305196078,0.38314736536216365
400.0,28.5,200.0,12000,8.333333333333334,-7.103590584517846,5.782664386773784,0.6880983794119122,-239.66842054897197,5.734153161765936,2.736101413806948,366.36229617424385,0.766240122278213
400.0,28.5,400.0,3000,2.0833333333333335,-7.103590584517846,5.782664386773784,1.292819824742049,-462.7435269961364,2.693374634879269,1.2851673016936676,172.095855495101,0.35993537199423864
400.0,28.5,400.0,6000,4.166666666666667,-7.103590584517846,5.782664386773784,1.292819824742049,-462.7435269961364,5.386749269758538,2.570334603387335,344.1700648763735,0.7198254715325504
