file,success,cause,gap0_deg,da0_km,e_t,e_s,steps,dv,hohmann,shape_lb,burn_records,warp_share,final_dist_km,final_rvel
ep_0000116.npz,1,1,26.1,555.8,0.1353,0.1329,585,160.0,161.1,161.1,7,0.988,29.04,16.98
ep_0000117.npz,1,1,38.47,263.1,0.2907,0.3269,962,160.0,58.7,111.1,7,0.992,29.53,36.18
ep_0000118.npz,1,1,-16.37,188.8,0.1489,0.1402,671,215.0,37.3,178.2,10,0.985,29.85,13.5
ep_0000119.npz,1,1,-0.64,-535.6,0.189,0.1789,456,285.0,182.2,182.2,12,0.972,29.28,16.06
ep_0000120.npz,1,1,38.85,409.4,0.0349,0.0889,760,200.0,77.3,196.2,8,0.989,29.7,47.09
ep_0000121.npz,1,1,68.5,-535.8,0.0944,0.1091,1187,385.0,214.1,214.1,16,0.986,29.33,22.59
ep_0000122.npz,1,1,-29.43,596.2,0.0213,0.0748,1186,395.0,299.6,299.6,17,0.985,29.28,39.82
ep_0000123.npz,1,1,-26.54,533.0,0.1095,0.0461,609,350.0,179.5,259.2,14,0.975,29.44,23.96
ep_0000124.npz,1,1,-89.34,212.7,0.2741,0.2103,926,355.0,56.3,229.0,15,0.984,29.75,14.05
ep_0000125.npz,1,1,122.17,-152.8,0.0902,0.1245,1508,300.0,42.2,175.9,14,0.991,29.92,11.78
ep_0000126.npz,1,1,99.73,-557.5,0.2436,0.1914,1420,355.0,135.2,149.3,16,0.988,29.89,17.58
ep_0000127.npz,1,1,-152.2,-63.8,0.0018,0.0498,1406,280.0,20.7,153.2,12,0.991,29.99,17.16
ep_0000128.npz,1,1,141.89,240.9,0.2505,0.2547,1370,205.0,52.9,52.9,11,0.991,29.91,5.44
ep_0000129.npz,1,1,6.08,327.7,0.1015,0.1421,774,220.0,62.2,193.8,12,0.985,28.97,20.76
ep_0000130.npz,1,1,-91.69,-197.1,0.0042,0.0412,1070,270.0,54.0,122.1,13,0.988,28.82,24.4
ep_0000131.npz,1,1,-110.68,190.5,0.0035,0.0517,1138,285.0,70.1,165.5,12,0.989,29.47,30.44
ep_0000132.npz,1,1,-143.24,286.7,0.1692,0.2482,1179,325.0,111.2,269.7,15,0.987,29.67,28.16
ep_0000133.npz,1,1,-169.91,-133.3,0.0115,0.0246,1170,200.0,54.4,103.7,8,0.993,25.59,48.13
ep_0000134.npz,1,1,67.1,-108.4,0.0335,0.0479,907,195.0,53.2,129.1,9,0.99,29.99,37.84
ep_0000135.npz,1,1,-99.21,67.0,0.0657,0.0249,1182,280.0,12.3,209.0,13,0.989,29.94,13.7
ep_0000136.npz,1,1,70.6,-136.3,0.2405,0.1806,1384,355.0,25.7,208.5,15,0.989,28.96,20.24
ep_0000137.npz,1,1,12.33,551.3,0.0487,0.0862,459,335.0,233.4,233.4,16,0.963,29.8,30.05
ep_0000138.npz,1,1,-17.37,-469.0,0.2341,0.2114,560,290.0,128.3,224.0,15,0.971,29.34,23.5
ep_0000139.npz,1,1,-122.13,304.8,0.2329,0.2971,1871,355.0,58.7,187.0,17,0.991,29.94,15.24
ep_0000140.npz,1,1,-24.94,-598.4,0.2923,0.2332,630,180.0,121.7,174.3,8,0.986,29.83,12.04
ep_0000141.npz,1,1,75.19,-55.5,0.0114,0.0883,818,290.0,16.8,241.0,14,0.982,29.06,23.75
