v_tol_ms,da_m,rho_m,f_oop,di_deg,dv_ms,orbits,a_sig_range_m,b_sig_range_m,ratio_range,a_sig_vel_ms,b_sig_vel_ms,ratio_vel,a_cond,b_cond
0.0,0.0,5000.0,0.0,0.0,0.0,1.0,2231443.7805228746,inf,inf,2473.572894887197,inf,inf,7493877075903701.0,112949065379054.92
0.0,0.0,5000.0,0.0,0.0,1.0,1.0,19.082261033108228,19.08223857297934,0.9999988229838775,0.015969707385670964,0.015969692134908474,0.9999990450192905,1902242771.5861282,6515.403111145693
0.0,0.0,5000.0,0.5,0.020846958513051204,0.0,1.0,2165.7725915216015,2166.3880682961344,1.0002841834719594,2.0796014172659882,2.080193196152714,1.0002845636100324,422726704967980.25,1618806823.6185322
0.0,0.0,5000.0,0.5,0.020846958513051204,1.0,1.0,15.876338155542467,15.876373318198535,1.0000022147837697,0.011256351417409036,0.01125637734621183,1.0000023034819927,3137540899.8529496,10390.159164569928
0.0,0.0,5000.0,0.9,0.03752452717810045,0.0,1.0,1882.9963250939793,1883.1886766853538,1.0001021518676436,0.9102122238186229,0.9103055955417002,1.000102582365556,1817614242138988.5,4568351052.314185
0.0,0.0,5000.0,0.9,0.03752452717810045,1.0,1.0,11.281799068016927,11.281803011149657,1.00000034951276,0.003335290639565345,0.0033352924237351695,1.0000005349368368,6514899980.848499,16991.937456710562
1.0,601.4087963297178,5000.0,0.0,0.0,0.0,1.0,2353.116959573325,2355.0451842931748,1.000819434287788,2.596133297193701,2.598261229318061,1.0008196544170749,29327567492914.535,117311204.75031598
1.0,601.4087963297178,5000.0,0.0,0.0,1.0,1.0,24.259234174781625,24.259202735324614,0.9999987040210427,0.01999581647782268,0.019995796504556178,0.9999990011277347,1483341898.9374053,4942.854525610968
1.0,601.4087963297178,5000.0,0.5,0.020846958513051204,0.0,1.0,1546.8480472966762,1546.5685061141498,0.9998192833594645,1.4791354492206994,1.4788691056195804,0.9998199329200992,28598820968254.684,110151751.96209565
1.0,601.4087963297178,5000.0,0.5,0.020846958513051204,1.0,1.0,20.229474804920915,20.229543765190265,1.000003408900627,0.01416175882791258,0.014161810181251993,1.00000362619785,1807221176.2315688,5767.305569403093
1.0,601.4087963297178,5000.0,0.9,0.03752452717810045,0.0,1.0,1369.1435951775397,1369.304730019368,1.000117690242569,0.6638216614399053,0.6639002571779277,1.0001183988751616,90168764527175.16,247370784.5833863
1.0,601.4087963297178,5000.0,0.9,0.03752452717810045,1.0,1.0,14.433465147294898,14.433475872973098,1.0000007431117954,0.0043672351393276325,0.00436723978388148,1.0000010634998344,3006916088.9496274,7643.064582149823
50.0,30070.43981648589,5000.0,0.0,0.0,0.0,1.0,416.16294104318064,416.1728955345406,1.000023919696778,0.2581645602612731,0.2581708560548835,1.0000243867462058,2136829336.0587893,5142.238060741106
50.0,30070.43981648589,5000.0,0.0,0.0,1.0,1.0,423.25560539420843,423.26552246747775,1.0000234304593794,0.2478068207631627,0.24781271710236058,1.0000237940956578,2108371007.1783123,5007.324180170813
50.0,30070.43981648589,5000.0,0.5,0.020846958513051204,0.0,1.0,418.3887809885223,418.3773153300583,0.9999725956837636,0.2550138897598326,0.2550073323435453,0.9999742860426407,2182128917.907164,5189.689640029831
50.0,30070.43981648589,5000.0,0.5,0.020846958513051204,1.0,1.0,424.5461471025905,424.53498599667415,0.9999737105000421,0.24491282164624834,0.24490670379144858,0.9999750202755469,2143111048.7136488,5039.581951899357
50.0,30070.43981648589,5000.0,0.9,0.03752452717810045,0.0,1.0,426.28910560669414,426.2925012898782,1.0000079656813636,0.2475598586589927,0.24756182561820927,1.0000079453883486,2337857109.975699,5371.503544292374
50.0,30070.43981648589,5000.0,0.9,0.03752452717810045,1.0,1.0,428.954992494165,428.9585789443656,1.0000083609009416,0.23847282457113278,0.2384747361098573,1.000008015750759,2257650586.010608,5161.06038709398
