alt_km,i_deg,dlam_deg,da_km,dOm_per_rad_deg,di_per_rad_deg,dOm_deg,di_gain_deg,dv_saved_ms,frac_budget,drift_hours,drift_steps,fits_6000,fits_12000
300.0,0.0,180.0,100.0,-0.1984616235182011,0.0,0.6234855784642839,0.0,0.0,0.0,33.49381187145166,2009.6287122871,True,True
300.0,0.0,180.0,200.0,-0.1984616235182011,0.0,0.6234855784642839,0.0,0.0,0.0,16.74690593572583,1004.81435614355,True,True
300.0,0.0,180.0,400.0,-0.1984616235182011,0.0,0.6234855784642839,0.0,0.0,0.0,8.373452967862915,502.407178071775,True,True
300.0,0.0,360.0,100.0,-0.1984616235182011,0.0,1.2469711569285677,0.0,0.0,0.0,66.98762374290332,4019.2574245742,True,True
300.0,0.0,360.0,200.0,-0.1984616235182011,0.0,1.2469711569285677,0.0,0.0,0.0,33.49381187145166,2009.6287122871,True,True
300.0,0.0,360.0,400.0,-0.1984616235182011,0.0,1.2469711569285677,0.0,0.0,0.0,16.74690593572583,1004.81435614355,True,True
300.0,15.0,180.0,100.0,-0.1916992076834884,0.049615405879550274,0.6022408225574312,0.15587072513606115,21.028834691939778,0.04398142776694677,33.49381187145166,2009.6287122871,True,True
300.0,15.0,180.0,200.0,-0.1916992076834884,0.049615405879550274,0.6022408225574312,0.15587072513606115,21.028834691939778,0.04398142776694677,16.74690593572583,1004.81435614355,True,True
300.0,15.0,180.0,400.0,-0.1916992076834884,0.049615405879550274,0.6022408225574312,0.15587072513606115,21.028834691939778,0.04398142776694677,8.373452967862915,502.407178071775,True,True
300.0,15.0,360.0,100.0,-0.1916992076834884,0.049615405879550274,1.2044816451148623,0.3117374334008758,42.05708855348805,0.08796164073762532,66.98762374290332,4019.2574245742,True,True
300.0,15.0,360.0,200.0,-0.1916992076834884,0.049615405879550274,1.2044816451148623,0.3117374334008758,42.05708855348805,0.08796164073762532,33.49381187145166,2009.6287122871,True,True
300.0,15.0,360.0,400.0,-0.1916992076834884,0.049615405879550274,1.2044816451148623,0.3117374334008758,42.05708855348805,0.08796164073762532,16.74690593572583,1004.81435614355,True,True
300.0,28.5,180.0,100.0,-0.1744114709544715,0.08322196125569031,0.5479297958523572,0.2614487326512678,35.27255743469904,0.07377191649922071,33.49381187145166,2009.6287122871,True,True
300.0,28.5,180.0,200.0,-0.1744114709544715,0.08322196125569031,0.5479297958523572,0.2614487326512678,35.27255743469904,0.07377191649922071,16.74690593572583,1004.81435614355,True,True
300.0,28.5,180.0,400.0,-0.1744114709544715,0.08322196125569031,0.5479297958523572,0.2614487326512678,35.27255743469904,0.07377191649922071,8.373452967862915,502.407178071775,True,True
300.0,28.5,360.0,100.0,-0.1744114709544715,0.08322196125569031,1.0958595917047145,0.5228928485987285,70.54430841335457,0.1475421463101991,66.98762374290332,4019.2574245742,True,True
300.0,28.5,360.0,200.0,-0.1744114709544715,0.08322196125569031,1.0958595917047145,0.5228928485987285,70.54430841335457,0.1475421463101991,33.49381187145166,2009.6287122871,True,True
300.0,28.5,360.0,400.0,-0.1744114709544715,0.08322196125569031,1.0958595917047145,0.5228928485987285,70.54430841335457,0.1475421463101991,16.74690593572583,1004.81435614355,True,True
300.0,45.0,180.0,100.0,-0.1403335597950116,0.09923081175910055,0.4408708805041124,0.3117424046989182,42.0577592390837,0.08796304346442932,33.49381187145166,2009.6287122871,True,True
300.0,45.0,180.0,200.0,-0.1403335597950116,0.09923081175910055,0.4408708805041124,0.3117424046989182,42.0577592390837,0.08796304346442932,16.74690593572583,1004.81435614355,True,True
300.0,45.0,180.0,400.0,-0.1403335597950116,0.09923081175910055,0.4408708805041124,0.3117424046989182,42.0577592390837,0.08796304346442932,8.373452967862915,502.407178071775,True,True
300.0,45.0,360.0,100.0,-0.1403335597950116,0.09923081175910055,0.8817417610082248,0.6234825021745881,84.11489594403498,0.1759247849099699,66.98762374290332,4019.2574245742,True,True
300.0,45.0,360.0,200.0,-0.1403335597950116,0.09923081175910055,0.8817417610082248,0.6234825021745881,84.11489594403498,0.1759247849099699,33.49381187145166,2009.6287122871,True,True
300.0,45.0,360.0,400.0,-0.1403335597950116,0.09923081175910055,0.8817417610082248,0.6234825021745881,84.11489594403498,0.1759247849099699,16.74690593572583,1004.81435614355,True,True
300.0,51.6,180.0,100.0,-0.12327399691876031,0.0966090248436382,0.38727668309862817,0.3035059798014402,40.94657016406037,0.0856390115932153,33.49381187145166,2009.6287122871,True,True
300.0,51.6,180.0,200.0,-0.12327399691876031,0.0966090248436382,0.38727668309862817,0.3035059798014402,40.94657016406037,0.0856390115932153,16.74690593572583,1004.81435614355,True,True
300.0,51.6,180.0,400.0,-0.12327399691876031,0.0966090248436382,0.38727668309862817,0.3035059798014402,40.94657016406037,0.0856390115932153,8.373452967862915,502.407178071775,True,True
300.0,51.6,360.0,100.0,-0.12327399691876031,0.0966090248436382,0.7745533661972563,0.6070106220822021,81.89267264191567,0.1712770450291838,66.98762374290332,4019.2574245742,True,True
300.0,51.6,360.0,200.0,-0.12327399691876031,0.0966090248436382,0.7745533661972563,0.6070106220822021,81.89267264191567,0.1712770450291838,33.49381187145166,2009.6287122871,True,True
300.0,51.6,360.0,400.0,-0.12327399691876031,0.0966090248436382,0.7745533661972563,0.6070106220822021,81.89267264191567,0.1712770450291838,16.74690593572583,1004.81435614355,True,True
