family,rho_epoch_m,rho_mean_m,rho_over_r,f_oop,di_deg,dv_ms,arc_min,n_obs,zsep_max_m,zsep_epoch_m,el_max_deg,bo_sig_range_m,bo_sig_range_frac,bo_sig_vel_ms,bo_sig_plane_rad,bo_sig_plane_deg,bo_sig_i_deg,bo_sig_raan_deg,bo_sig_a_m,bo_sig_e,bo_sig_u_deg,bo_sig_scale_rho_m,bo_corr_range_plane,rb_corr_range_plane,bo_cond,rb_sig_range_m,rb_sig_vel_ms,rb_sig_plane_deg,secs
TB_5km,5011.105610535506,8773.217540384929,0.0007408243586276434,0.0,0.0,0.0,185.0,186,0.0,0.0,0.0,896.0215280890442,0.17880715309715692,1.014395879769199,1.719797672587465e-07,9.853714825568353e-06,0.0,91224.4585099015,70.50123409148684,1.2201650424314893e-07,107.58844510684096,554.7119739448734,0.0,0.0,7067562715710.289,4.408081855719407,0.00517769619552561,9.853714825568353e-06,0.01
TB_5km,5011.105610535506,19069.94870645166,0.0007408243586276434,0.0,0.0,1.0,185.0,186,0.0,0.0,0.0,8.813925944801946,0.001758878505029164,0.008605250503622857,2.137965809720932e-07,1.2249641764027904e-05,0.0,761.1828916219247,1.8008173563974406,1.5553086841948967e-07,128.2317406714909,5.378883514983154,0.0,0.0,570821883.1972345,4.228008310167805,0.00492439170027305,1.2249641764027904e-05,0.01
TB_5km,5011.116752007058,8769.371120197451,0.0007408260057439002,0.04727049745141481,0.002002002002002816,0.0,185.0,186,236.80225334933365,236.35248725707402,2.703394595582458,888.1699369413934,0.177239920938913,1.00438739584694,6.173261507492977e-06,0.0003537018302099158,0.0003536315509903073,0.20178135150172408,69.89621590234188,1.218677243325695e-07,0.20134539821359707,543.2641600697,0.9998047892573908,0.13106078619459238,7113420192497.579,4.391829011614408,0.005159770514768058,9.901345537842372e-06,0.01
TB_5km,5011.116752007058,19065.628458435036,0.0007408260057439002,0.04727049745141481,0.002002002002002816,1.0,185.0,186,236.80225334933365,236.35248725707402,2.703394595582458,8.791891112023055,0.0017544774043633524,0.008576887614608564,2.2037596649727583e-07,1.2626612786410333e-05,8.950062044883402e-06,0.25489930719314446,1.7998917446935012,1.5536395338160902e-07,0.25489774073137295,5.371723252944062,0.3354536124545849,0.1219665562150136,572850171.7276349,4.218057196009456,0.00491472476847176,1.2293950258680002e-05,0.01
TB_5km,5011.175244475186,8749.105208257213,0.000740834653066179,0.11817624350254212,0.005005005005017728,0.0,185.0,186,592.00563274216,590.8812175127106,6.7716539918271375,852.7465288691128,0.17016896980588828,0.9586634473480485,1.4816369979780743e-05,0.0008489154675457695,0.0008488855072901407,0.08164537731859334,67.16833579326423,1.2113289068726424e-07,0.08067647829182102,493.17864730720163,0.9999622424145099,0.3103924062714304,7363198901610.509,4.30958308698457,0.0050687049601365105,1.014400904452876e-05,0.01
TB_5km,5011.175244475186,19042.865750441422,0.000740834653066179,0.11817624350254212,0.005005005005017728,1.0,185.0,186,592.00563274216,590.8812175127106,6.7716539918271375,8.67965286886231,0.0017320593364663537,0.008431174227776238,2.5152858293210673e-07,1.441152622891603e-05,1.1335710392566557e-05,0.10187397953200318,1.7950668360618272,1.5450318732953518e-07,0.10187019262358032,5.334411396979298,0.6571562712367651,0.29226215741608336,583515494.681437,4.16697229860749,0.00486471512033396,1.2521053965259112e-05,0.02
TB_5km,5011.3841426116705,8675.708028511577,0.000740865535837369,0.23635248610512072,0.010010010010111803,0.0,185.0,186,1184.011260975939,1181.7624305256036,13.639702963626265,774.5996976701203,0.1545680146695838,0.8521574043081401,2.69332902565185e-05,0.0015431638600993324,0.001543146586857895,0.041793185094323684,61.16411439729737,1.1887027852480099e-07,0.0403522700053634,388.03673709700814,0.9999856403804741,0.5335380990531757,8538099391175.972,4.052506180447548,0.004779318127306746,1.0928923592875634e-05,0.01
TB_5km,5011.3841426116705,18960.421736790773,0.000740865535837369,0.23635248610512072,0.010010010010111803,1.0,185.0,186,1184.011260975939,1181.7624305256036,13.639702963626265,8.319614587897762,0.0016601430565173188,0.007948697954144733,3.348625807315388e-07,1.9186212592775976e-05,1.7015483889804855e-05,0.050740562741296354,1.7782067103869228,1.5160758616545984e-07,0.05073378558636886,5.204799185173019,0.8539392188499326,0.5159019385955388,621788679.1591629,3.9988531303187056,0.004695174225421435,1.3265452497619123e-05,0.01
TB_5km,5012.219679923525,8364.12990529428,0.0007409890587565152,0.47270496501053305,0.020020020020834372,0.0,185.0,186,2368.0224858848374,2363.524825052665,28.13512129780513,681.2652570147765,0.1359208694989145,0.6797995467413195,4.743082682416152e-05,0.002717586195840349,0.0027175758856711044,0.021422490938722404,54.05372879995498,1.1107025215967585e-07,0.019715771545281847,250.20545360151291,0.9999945695087179,0.7715956158043833,15421377867556.166,3.3875888428705268,0.003961305118217559,1.3421454344646377e-05,0.01
TB_5km,5012.219679923525,18610.37501843868,0.0007409890587565152,0.47270496501053305,0.020020020020834372,1.0,185.0,186,2368.0224858848374,2363.524825052665,28.13512129780513,7.275853723616348,0.0014516230708641565,0.006393087449771147,5.162624897249901e-07,2.9579661782157963e-05,2.828817911541932e-05,0.024741215996292247,1.7128652887359035,1.415342991390762e-07,0.024731763678869072,4.73436946393638,0.9462703756014142,0.7660145165114484,777889124.7412992,3.483522474292312,0.004111735694214374,1.5539830836057317e-05,0.01
