op,batch,ms,us_per_env,ticks_per_s,note
propagate f&g (12 Newton iters),1024,0.29858054864841205,0.2915825670394649,3349.1799935619097,
stm central-diff (8N propagate),1024,1.6401770835121474,1.6017354331173315,609.6902645772113,
predict (stm + prop + FPF'+Q),1024,2.384843749071782,2.328948973702912,419.3146827288855,
update (2x2 solve + Joseph),1024,1.6858902837460241,1.6463772302207267,593.158409916222,
FULL sensor tick (predict+update),1024,3.850982633108894,3.760725227645404,259.67398331077413,
obs decode + re-encode (no C getter),1024,0.2631444503397991,0.25697700228496007,3800.194147012021,
propagate f&g (4 Newton iters),1024,0.09513541590422392,0.09290567959396867,10511.33261462518,
tick w/ 4-iter Newton,1024,3.738418050731222,3.650798877667209,267.4928235498979,
tick w/ SHARED STM (upper bound only),1024,2.6330743004412698,2.5713616215246775,379.7841936448252,not physically valid; floor on achievable cost
