seed,pre,action,dv_pro,dv_rad,dv_mag,e_before,e_after,theta_before_deg,da_m,jump_rad,jump_deg,eoc_before_deg,eoc_after_deg,dlam_before,dlam_after,phi_before,phi_after,u_before_deg,config
0,0,1,5,0,5.0,0.0,0.0013058127369731665,4.849046777495243,8881.044387817383,2.3495951850804886e-09,1.3462188766937153e-07,0.0,0.010114765162723405,0.7342602647440124,0.7341277753237132,-0.23372230129994662,-0.24193779187347658,4.84904677749524,e0_sameorbit
0,0,2,10,0,10.0,0.0,0.0026124774012714624,4.849046777495243,17791.175842285156,-4.910587492190643e-10,-2.8135593823225495e-08,0.0,0.020229500727052277,0.7342602647440124,0.7339952694866527,-0.23372230129994662,-0.25016951129189985,4.84904677749524,e0_sameorbit
0,0,3,25,0,25.0,0.0,0.006537583656609058,4.849046777495243,44697.38006591797,-5.867395458380997e-11,-3.361769964994582e-09,0.0,0.05057341198141876,0.7342602647440124,0.7335977645641352,-0.23372230129994662,-0.27496278705565164,4.84904677749524,e0_sameorbit
0,0,4,-5,0,5.0,0.0,0.0013049606932327151,4.849046777495243,-8852.148056030273,1.2882264144309374e-09,7.38099366041636e-08,0.0,-0.010114779910980908,0.7342602647440124,0.7343927808553277,-0.23372230129994662,-0.24200601064972752,4.84904677749524,e0_sameorbit
0,0,5,-10,0,10.0,0.0,0.0026090694591403008,4.849046777495243,-17675.447463989258,-2.144774136070282e-09,-1.228865060056445e-07,0.0,-0.020229561546916564,0.7342602647440124,0.7345252800636954,-0.23372230129994662,-0.25027361256465486,4.84904677749524,e0_sameorbit
0,0,6,-25,0,25.0,0.0,0.006516283378005028,4.849046777495243,-43973.9465713501,-4.361226046967204e-09,-2.4987984599374454e-07,0.0,-0.050573788242131684,0.7342602647440124,0.7349227830633076,-0.23372230129994662,-0.27498069549761883,4.84904677749524,e0_sameorbit
0,0,7,0,10,10.0,0.0,0.0013053867733106017,4.849046777495243,11.587142944335938,-0.0026107745312358155,-0.14958636190005814,0.0,0.1492538397228857,0.7342602647440124,0.731649328284377,-0.23372230129994662,-0.23872455289781006,4.84904677749524,e0_sameorbit
0,0,8,0,-10,10.0,0.0,0.0013053867733106017,4.849046777495243,11.587142944335938,0.002610773800035826,0.14958632000538477,0.0,-0.14923395861458683,0.7342602647440124,0.7368708766156482,-0.23372230129994662,-0.24038662335284014,4.84904677749524,e0_sameorbit
0,0,12,1,0,1.0,0.0,0.0002610943920444697,4.849046777495243,1773.8819122314453,3.406849469200779e-09,1.9519809602158936e-07,0.0,0.0020229547304876144,0.7342602647440124,0.7342337788903546,-0.23372230129994662,-0.23536410502586452,4.84904677749524,e0_sameorbit
0,0,13,-1,0,1.0,0.0,0.0002610603114590049,4.849046777495243,-1772.7375030517578,3.786349012102619e-10,2.169418181570087e-08,0.0,-0.002022955240648585,0.7342602647440124,0.7342867770399479,-0.23372230129994662,-0.2353803347852349,4.84904677749524,e0_sameorbit
0,0,14,2,0,2.0,0.0,0.0005222228355705738,4.849046777495243,3548.9559173583984,-1.3222174022331501e-08,-7.575747674671105e-07,0.0,0.004045907513636098,0.7342602647440124,0.73420726127021,-0.23372230129994662,-0.2370065608943803,4.84904677749524,e0_sameorbit
0,0,15,-2,0,2.0,0.0,0.0005220865132287145,4.849046777495243,-3544.330596923828,-1.2563839746349004e-08,-7.198549919445127e-07,0.0,-0.00404590999734397,0.7342602647440124,0.7343132649604573,-0.23372230129994662,-0.23703772042602494,4.84904677749524,e0_sameorbit
0,7,1,5,0,5.0,0.0,0.0013058127369731665,31.989466822257615,8881.044387817383,2.3495951850804886e-09,1.3462188766937153e-07,0.0,0.010114765162723405,0.7342602704511596,0.7341277610834691,-0.23372230311658798,-0.2419377873406661,31.989466822257626,e0_sameorbit
0,7,2,10,0,10.0,0.0,0.0026124774012714624,31.989466822257615,17791.175842285156,-4.910587492190643e-10,-2.8135593823225495e-08,0.0,0.020229500727052277,0.7342602704511596,0.7339952552464086,-0.23372230311658798,-0.2501695067590894,31.989466822257626,e0_sameorbit
0,7,3,25,0,25.0,0.0,0.006537583656609058,31.989466822257615,44697.38006591797,-5.867395458380997e-11,-3.361769964994582e-09,0.0,0.05057341198141876,0.7342602704511596,0.7335977503238906,-0.23372230311658798,-0.274962782522841,31.989466822257626,e0_sameorbit
0,7,4,-5,0,5.0,0.0,0.0013049606932327151,31.989466822257615,-8852.148056030273,1.2882264144309374e-09,7.38099366041636e-08,0.0,-0.010114779910980908,0.7342602704511596,0.7343927666150831,-0.23372230311658798,-0.24200600611691692,31.989466822257626,e0_sameorbit
0,7,5,-10,0,10.0,0.0,0.0026090694591403008,31.989466822257615,-17675.447463989258,-2.144774136070282e-09,-1.228865060056445e-07,0.0,-0.020229561546916564,0.7342602704511596,0.7345252658234509,-0.23372230311658798,-0.25027360803184423,31.989466822257626,e0_sameorbit
0,7,6,-25,0,25.0,0.0,0.006516283378005028,31.989466822257615,-43973.9465713501,-4.3612269351456234e-09,-2.498798968826194e-07,0.0,-0.050573788242131684,0.7342602704511596,0.7349227688230622,-0.23372230311658798,-0.2749806909648079,31.989466822257626,e0_sameorbit
0,7,7,0,10,10.0,0.0,0.0013053867733106017,31.989466822257615,11.587142944335938,-0.0026107745312358155,-0.14958636190005814,0.0,0.1492538397228857,0.7342602704511596,0.7316493140441329,-0.23372230311658798,-0.23872454836499957,31.989466822257626,e0_sameorbit
0,7,8,0,-10,10.0,0.0,0.0013053867733106017,31.989466822257615,11.587142944335938,0.002610773800035826,0.14958632000538477,0.0,-0.14923395861458683,0.7342602704511596,0.7368708623754046,-0.23372230311658798,-0.24038661882002982,31.989466822257626,e0_sameorbit
0,7,12,1,0,1.0,0.0,0.0002610943920444697,31.989466822257615,1773.8819122314453,3.406849469200779e-09,1.9519809602158936e-07,0.0,0.0020229547304876144,0.7342602704511596,0.7342337646501105,-0.23372230311658798,-0.23536410049305403,31.989466822257626,e0_sameorbit
