gap_deg,da_km,drift_rate_deg_per_hr,drift_rate_deg_per_hr_linearized,drift_time_hr,drift_orbits,sim_steps_drift,sim_steps_total,warpset,agent_decisions,dv_open_close_ms,dv_frac_budget,alongtrack_km_per_simstep,FLAG_over_simstep_cap,FLAG_over_dv_budget,FLAG_decisions_over_2000
30.0,50.0,2.5652543318559,2.5889475373140765,11.694746843403912,7.592820354633109,702,795,coast-only (tau=1),799,56.6577953654188,0.11849875519986586,5.052535349202107,0,0,0
30.0,50.0,2.5652543318559,2.5889475373140765,11.694746843403912,7.592820354633109,702,795,legacy D10 (warp-5min),167,56.6577953654188,0.11849875519986586,5.052535349202107,0,0,0
30.0,50.0,2.5652543318559,2.5889475373140765,11.694746843403912,7.592820354633109,702,795,D16 (warp 5/30min),37,56.6577953654188,0.11849875519986586,5.052535349202107,0,0,0
30.0,50.0,2.5652543318559,2.5889475373140765,11.694746843403912,7.592820354633109,702,795,D16 (warp 5/30/60min),25,56.6577953654188,0.11849875519986586,5.052535349202107,0,0,0
30.0,100.0,5.083925631596194,5.177895074628153,5.900951778985983,3.831195953118398,354,449,coast-only (tau=1),454,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
30.0,100.0,5.083925631596194,5.177895074628153,5.900951778985983,3.831195953118398,354,449,legacy D10 (warp-5min),102,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
30.0,100.0,5.083925631596194,5.177895074628153,5.900951778985983,3.831195953118398,354,449,D16 (warp 5/30min),32,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
30.0,100.0,5.083925631596194,5.177895074628153,5.900951778985983,3.831195953118398,354,449,D16 (warp 5/30/60min),26,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
30.0,200.0,9.986184189540499,10.355790149256306,3.004150477358701,1.9504462301152958,180,277,coast-only (tau=1),287,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
30.0,200.0,9.986184189540499,10.355790149256306,3.004150477358701,1.9504462301152958,180,277,legacy D10 (warp-5min),67,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
30.0,200.0,9.986184189540499,10.355790149256306,3.004150477358701,1.9504462301152958,180,277,D16 (warp 5/30min),22,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
30.0,200.0,9.986184189540499,10.355790149256306,3.004150477358701,1.9504462301152958,180,277,D16 (warp 5/30/60min),18,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
30.0,340.0,16.561097896819557,17.60484325373572,1.8114741055761339,1.1761004872428629,109,208,coast-only (tau=1),224,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
30.0,340.0,16.561097896819557,17.60484325373572,1.8114741055761339,1.1761004872428629,109,208,legacy D10 (warp-5min),64,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
30.0,340.0,16.561097896819557,17.60484325373572,1.8114741055761339,1.1761004872428629,109,208,D16 (warp 5/30min),34,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
30.0,340.0,16.561097896819557,17.60484325373572,1.8114741055761339,1.1761004872428629,109,208,D16 (warp 5/30/60min),32,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
90.0,50.0,2.5652543318559,2.5889475373140765,35.08424053021174,22.77846106389933,2105,2198,coast-only (tau=1),2202,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,1
90.0,50.0,2.5652543318559,2.5889475373140765,35.08424053021174,22.77846106389933,2105,2198,legacy D10 (warp-5min),446,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,0
90.0,50.0,2.5652543318559,2.5889475373140765,35.08424053021174,22.77846106389933,2105,2198,D16 (warp 5/30min),81,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,0
90.0,50.0,2.5652543318559,2.5889475373140765,35.08424053021174,22.77846106389933,2105,2198,D16 (warp 5/30/60min),45,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,0
90.0,100.0,5.083925631596194,5.177895074628153,17.70285533695795,11.493587859355195,1062,1157,coast-only (tau=1),1162,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
90.0,100.0,5.083925631596194,5.177895074628153,17.70285533695795,11.493587859355195,1062,1157,legacy D10 (warp-5min),242,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
90.0,100.0,5.083925631596194,5.177895074628153,17.70285533695795,11.493587859355195,1062,1157,D16 (warp 5/30min),52,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
90.0,100.0,5.083925631596194,5.177895074628153,17.70285533695795,11.493587859355195,1062,1157,D16 (warp 5/30/60min),34,113.3155907308376,0.23699751039973171,10.013320569181419,0,0,0
90.0,200.0,9.986184189540499,10.355790149256306,9.012451432076103,5.851338690345888,541,637,coast-only (tau=1),648,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
90.0,200.0,9.986184189540499,10.355790149256306,9.012451432076103,5.851338690345888,541,637,legacy D10 (warp-5min),140,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
90.0,200.0,9.986184189540499,10.355790149256306,9.012451432076103,5.851338690345888,541,637,D16 (warp 5/30min),35,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
90.0,200.0,9.986184189540499,10.355790149256306,9.012451432076103,5.851338690345888,541,637,D16 (warp 5/30/60min),25,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
90.0,340.0,16.561097896819557,17.60484325373572,5.434422316728401,3.5283014617285886,326,426,coast-only (tau=1),441,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
90.0,340.0,16.561097896819557,17.60484325373572,5.434422316728401,3.5283014617285886,326,426,legacy D10 (warp-5min),105,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
90.0,340.0,16.561097896819557,17.60484325373572,5.434422316728401,3.5283014617285886,326,426,D16 (warp 5/30min),40,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
90.0,340.0,16.561097896819557,17.60484325373572,5.434422316728401,3.5283014617285886,326,426,D16 (warp 5/30/60min),34,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
180.0,50.0,2.5652543318559,2.5889475373140765,70.16848106042347,45.55692212779866,4210,4304,coast-only (tau=1),4307,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,1
180.0,50.0,2.5652543318559,2.5889475373140765,70.16848106042347,45.55692212779866,4210,4304,legacy D10 (warp-5min),867,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,0
180.0,50.0,2.5652543318559,2.5889475373140765,70.16848106042347,45.55692212779866,4210,4304,D16 (warp 5/30min),152,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,0
180.0,50.0,2.5652543318559,2.5889475373140765,70.16848106042347,45.55692212779866,4210,4304,D16 (warp 5/30/60min),81,56.6577953654188,0.11849875519986586,5.052535349202107,1,0,0
180.0,100.0,5.083925631596194,5.177895074628153,35.4057106739159,22.98717571871039,2124,2219,coast-only (tau=1),2224,113.3155907308376,0.23699751039973171,10.013320569181419,1,0,1
180.0,100.0,5.083925631596194,5.177895074628153,35.4057106739159,22.98717571871039,2124,2219,legacy D10 (warp-5min),456,113.3155907308376,0.23699751039973171,10.013320569181419,1,0,0
180.0,100.0,5.083925631596194,5.177895074628153,35.4057106739159,22.98717571871039,2124,2219,D16 (warp 5/30min),91,113.3155907308376,0.23699751039973171,10.013320569181419,1,0,0
180.0,100.0,5.083925631596194,5.177895074628153,35.4057106739159,22.98717571871039,2124,2219,D16 (warp 5/30/60min),55,113.3155907308376,0.23699751039973171,10.013320569181419,1,0,0
180.0,200.0,9.986184189540499,10.355790149256306,18.024902864152207,11.702677380691776,1081,1178,coast-only (tau=1),1188,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
180.0,200.0,9.986184189540499,10.355790149256306,18.024902864152207,11.702677380691776,1081,1178,legacy D10 (warp-5min),248,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
180.0,200.0,9.986184189540499,10.355790149256306,18.024902864152207,11.702677380691776,1081,1178,D16 (warp 5/30min),53,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
180.0,200.0,9.986184189540499,10.355790149256306,18.024902864152207,11.702677380691776,1081,1178,D16 (warp 5/30/60min),34,226.6311814616752,0.47399502079946343,19.668828932370683,0,0,0
180.0,340.0,16.561097896819557,17.60484325373572,10.868844633456803,7.056602923457177,652,752,coast-only (tau=1),767,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
180.0,340.0,16.561097896819557,17.60484325373572,10.868844633456803,7.056602923457177,652,752,legacy D10 (warp-5min),171,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
180.0,340.0,16.561097896819557,17.60484325373572,10.868844633456803,7.056602923457177,652,752,D16 (warp 5/30min),51,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
180.0,340.0,16.561097896819557,17.60484325373572,10.868844633456803,7.056602923457177,652,752,D16 (warp 5/30/60min),40,385.27300848484776,0.8057915353590877,32.61880567013417,0,0,0
