geom,rho0_km,rho_over_r,arc_min,n_obs,sigma_beta_mrad,dv_ms,burn_dir,crlb_los_m,crlb_rel,fim_cond,crlb_los_rb_m,crlb_rel_rb,D_k0.5,D_k0.8,D_k1.25,D_k2,beta_floor_mrad
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,15.0,16,1.0,0.0,none,2409547.8968358194,480.8415715226572,12551670118938.97,13.943444188088252,0.0027825085463721953,0.001043384164742998,0.0004168121235008397,0.0005200015851278362,0.002073264827922256,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,1.0,0.0,none,223998.21827738802,44.70035870057386,457509689526.86096,8.724834739875488,0.0017410997528234896,0.011216058357580803,0.00447971945480527,0.0055871023274011,0.022264996065754772,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,1.0,0.1,radial,1043.1397711476657,0.2081655930289255,9493809.425199967,8.726701497170307,0.0017414722768610779,4.762001097733252,1.1978840160115722,0.9631930845686419,2.4216521684758563,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,1.0,1.0,radial,113.69446568570108,0.02268849920996874,79892.01068977633,8.71458047203279,0.0017390534443559248,41.55931945315896,10.856111510290729,8.922002422739311,22.72583474835587,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,1.0,1.0,prograde,122.7596513348209,0.024497518287527432,93421.83092275773,9.237118724440531,0.0018433294850183205,39.152762906599136,10.098856302978904,8.231542398750783,20.814580641644337,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,30.0,31,1.0,10.0,prograde,19.306009096875712,0.0038526446252273704,1314.4599578565496,9.633945817348033,0.0019225190139863816,206.9718633771273,60.876928756663645,54.88924759488769,150.6510314027635,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,1.0,0.0,none,3744.945182776634,0.7473291273094035,409035742.728308,4.8988376378572465,0.0009775961671128891,0.6717946771874229,0.26813903879920653,0.3340907740520378,1.3291672641608292,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,1.0,0.1,radial,277.21066211264827,0.05531926158767056,2110805.3673155326,4.843854735339948,0.0009666239572273697,17.572601464862398,4.469287019710557,3.6648769023761356,9.534694490029853,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,1.0,1.0,radial,31.004073603456614,0.006187072477234102,19963.649977577123,4.47286862442622,0.0008925911709029771,159.53696445494188,40.254601258193965,32.43544187559785,81.6040081980135,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,1.0,1.0,prograde,75.27612231564365,0.015021859079837233,39284.89138576674,3.7844096854160876,0.0007552045355938515,65.15568725348196,16.601039495191433,13.2943914196386,32.7088075700703,3.4088287748090806e-09
A1_leo_5km_box,5.011105610535344,0.0007407805964647393,90.0,91,1.0,10.0,prograde,18.035464738659932,0.003599098909578395,1276.507453643421,2.2481403077894804,0.0004486315960020863,221.63419336956483,65.21038998324632,58.68765777749086,160.55048745461,3.4088287748090806e-09
