band,horizon_steps,n,dv_mean,dv_p95,dv_frac_budget_p95,feasible_frac,feasible_frac_time_only,feasible_frac_dv_only,total_simsteps_p10,total_simsteps_p25,total_simsteps_p50,total_simsteps_p75,total_simsteps_p90,total_simsteps_p95,total_simsteps_p99,dec_p50[coast-only (tau=1)],dec_p90[coast-only (tau=1)],dec_p50[legacy D10 (warp-5min)],dec_p90[legacy D10 (warp-5min)],dec_p50[D16 (warp 5/30min)],dec_p90[D16 (warp 5/30min)],dec_p50[D16 (warp 5/30/60min)],dec_p90[D16 (warp 5/30/60min)],simsteps_for_90pct,simsteps_for_99pct
LEO 300-800,2000,200000,91.24001109692577,213.02425550798645,0.44553638104460636,0.61632,0.61632,1.0,312.47931360992766,710.4629088951422,1441.246904694042,3251.5506996058944,8587.262076875704,17499.253017599585,85686.71617207695,1441,8587,289,1719,49,289,25,146,8587.262076875704,85686.71617207695
LEO 300-800,4000,200000,91.24001109692577,213.02425550798645,0.44553638104460636,0.793515,0.793515,1.0,312.47931360992766,710.4629088951422,1441.246904694042,3251.5506996058944,8587.262076875704,17499.253017599585,85686.71617207695,1441,8587,289,1719,49,289,25,146,8587.262076875704,85686.71617207695
LEO 300-800,6000,200000,91.24001109692577,213.02425550798645,0.44553638104460636,0.858935,0.858935,1.0,312.47931360992766,710.4629088951422,1441.246904694042,3251.5506996058944,8587.262076875704,17499.253017599585,85686.71617207695,1441,8587,289,1719,49,289,25,146,8587.262076875704,85686.71617207695
LEO 300-2000,2000,200000,274.7798360770061,642.1741021308515,1.3430955305144696,0.667185,0.844395,0.82279,148.58892456158978,291.4030122589721,554.1905246737947,1211.893294968026,3145.6812518985,6408.203236972481,31193.646591622142,554,3146,114,630,24,110,15,58,3145.6812518985,31193.646591622142
LEO 300-2000,8000,200000,274.7798360770061,642.1741021308515,1.3430955305144696,0.782815,0.960025,0.82279,148.58892456158978,291.4030122589721,554.1905246737947,1211.893294968026,3145.6812518985,6408.203236972481,31193.646591622142,554,3146,114,630,24,110,15,58,3145.6812518985,31193.646591622142
LEO 300-8000,2000,200000,781.4879816394235,1854.4004921100236,3.878445120213374,0.28663,0.912275,0.374355,128.25228828373997,193.2463601271424,323.4841314995243,682.4495376506238,1746.6198890276557,3527.8917901414325,17098.24716806758,323,1747,67,351,17,61,12,32,1746.6198890276557,17098.24716806758
LEO 300-8000,8000,200000,781.4879816394235,1854.4004921100236,3.878445120213374,0.352345,0.97799,0.374355,128.25228828373997,193.2463601271424,323.4841314995243,682.4495376506238,1746.6198890276557,3527.8917901414325,17098.24716806758,323,1747,67,351,17,61,12,32,1746.6198890276557,17098.24716806758
