regime,da_km,dRAAN_deg,Odot_deg_per_day,dOdot_deg_per_day,drift_days,drift_hours,dv_drift_ms,dv_direct_ms
LEO 500 km i=51.6,50,0.25,-4.758998579767097,0.12120866707309588,2.062558776009272,49.50141062422253,55.425417015448154,26.044876314369166
LEO 500 km i=51.6,50,1.0,-4.758998579767097,0.12120866707309588,8.250235104037088,198.00564249689012,55.425417015448154,104.17874389996808
LEO 500 km i=51.6,50,5.0,-4.758998579767097,0.12120866707309588,41.25117552018544,990.0282124844506,55.425417015448154,520.7962714219985
LEO 500 km i=51.6,100,0.25,-4.758998579767097,0.24241733414619177,1.031279388004636,24.750705312111265,110.85083403089631,26.044876314369166
LEO 500 km i=51.6,100,1.0,-4.758998579767097,0.24241733414619177,4.125117552018544,99.00282124844506,110.85083403089631,104.17874389996808
LEO 500 km i=51.6,100,5.0,-4.758998579767097,0.24241733414619177,20.62558776009272,495.0141062422253,110.85083403089631,520.7962714219985
LEO 500 km i=51.6,200,0.25,-4.758998579767097,0.48483466829238353,0.515639694002318,12.375352656055632,221.70166806179262,26.044876314369166
LEO 500 km i=51.6,200,1.0,-4.758998579767097,0.48483466829238353,2.062558776009272,49.50141062422253,221.70166806179262,104.17874389996808
LEO 500 km i=51.6,200,5.0,-4.758998579767097,0.48483466829238353,10.31279388004636,247.50705312111265,221.70166806179262,520.7962714219985
LEO 500 km i=51.6,340,0.25,-4.758998579767097,0.8242189360970521,0.30331746706018703,7.279619209444489,376.89283570504745,26.044876314369166
LEO 500 km i=51.6,340,1.0,-4.758998579767097,0.8242189360970521,1.2132698682407481,29.118476837777955,376.89283570504745,104.17874389996808
LEO 500 km i=51.6,340,5.0,-4.758998579767097,0.8242189360970521,6.066349341203741,145.59238418888978,376.89283570504745,520.7962714219985
LEO 500 km i=51.6,600,0.25,-4.758998579767097,1.4545040048771507,0.17187989800077266,4.125117552018544,665.1050041853778,26.044876314369166
LEO 500 km i=51.6,600,1.0,-4.758998579767097,1.4545040048771507,0.6875195920030907,16.500470208074177,665.1050041853778,104.17874389996808
LEO 500 km i=51.6,600,5.0,-4.758998579767097,1.4545040048771507,3.437597960015453,82.50235104037088,665.1050041853778,520.7962714219985
LEO 500 km i=97.4,50,0.25,0.986782985714359,-0.02513273504584672,9.94718639033731,238.73247336809544,55.425417015448154,32.95669366919286
LEO 500 km i=97.4,50,1.0,0.986782985714359,-0.02513273504584672,39.78874556134924,954.9298934723818,55.425417015448154,131.8252320801501
LEO 500 km i=97.4,50,5.0,0.986782985714359,-0.02513273504584672,198.94372780674618,4774.649467361908,55.425417015448154,658.9287264705046
LEO 500 km i=97.4,100,0.25,0.986782985714359,-0.05026547009169344,4.973593195168655,119.36623668404772,110.85083403089631,32.95669366919286
LEO 500 km i=97.4,100,1.0,0.986782985714359,-0.05026547009169344,19.89437278067462,477.4649467361909,110.85083403089631,131.8252320801501
LEO 500 km i=97.4,100,5.0,0.986782985714359,-0.05026547009169344,99.47186390337309,2387.324733680954,110.85083403089631,658.9287264705046
LEO 500 km i=97.4,200,0.25,0.986782985714359,-0.10053094018338687,2.4867965975843274,59.68311834202386,221.70166806179262,32.95669366919286
LEO 500 km i=97.4,200,1.0,0.986782985714359,-0.10053094018338687,9.94718639033731,238.73247336809544,221.70166806179262,131.8252320801501
LEO 500 km i=97.4,200,5.0,0.986782985714359,-0.10053094018338687,49.735931951686545,1193.662366840477,221.70166806179262,658.9287264705046
LEO 500 km i=97.4,340,0.25,0.986782985714359,-0.1709025983117577,1.4628215279907806,35.10771667177873,376.89283570504745,32.95669366919286
LEO 500 km i=97.4,340,1.0,0.986782985714359,-0.1709025983117577,5.851286111963122,140.43086668711493,376.89283570504745,131.8252320801501
LEO 500 km i=97.4,340,5.0,0.986782985714359,-0.1709025983117577,29.256430559815612,702.1543334355747,376.89283570504745,658.9287264705046
LEO 500 km i=97.4,600,0.25,0.986782985714359,-0.3015928205501607,0.8289321991947756,19.894372780674615,665.1050041853778,32.95669366919286
LEO 500 km i=97.4,600,1.0,0.986782985714359,-0.3015928205501607,3.3157287967791023,79.57749112269846,665.1050041853778,131.8252320801501
LEO 500 km i=97.4,600,5.0,0.986782985714359,-0.3015928205501607,16.57864398389551,397.88745561349225,665.1050041853778,658.9287264705046
LEO 500 km i=5,50,0.25,-7.6324657415115205,0.19439404813921057,1.286047604816422,30.86514251559413,55.425417015448154,2.8964917481438412
LEO 500 km i=5,50,1.0,-7.6324657415115205,0.19439404813921057,5.144190419265688,123.46057006237652,55.425417015448154,11.585965945352628
LEO 500 km i=5,50,5.0,-7.6324657415115205,0.19439404813921057,25.72095209632844,617.3028503118826,55.425417015448154,57.92969568234956
LEO 500 km i=5,100,0.25,-7.6324657415115205,0.38878809627842115,0.643023802408211,15.432571257797065,110.85083403089631,2.8964917481438412
LEO 500 km i=5,100,1.0,-7.6324657415115205,0.38878809627842115,2.572095209632844,61.73028503118826,110.85083403089631,11.585965945352628
LEO 500 km i=5,100,5.0,-7.6324657415115205,0.38878809627842115,12.86047604816422,308.6514251559413,110.85083403089631,57.92969568234956
LEO 500 km i=5,200,0.25,-7.6324657415115205,0.7775761925568423,0.3215119012041055,7.716285628898532,221.70166806179262,2.8964917481438412
LEO 500 km i=5,200,1.0,-7.6324657415115205,0.7775761925568423,1.286047604816422,30.86514251559413,221.70166806179262,11.585965945352628
LEO 500 km i=5,200,5.0,-7.6324657415115205,0.7775761925568423,6.43023802408211,154.32571257797065,221.70166806179262,57.92969568234956
LEO 500 km i=5,340,0.25,-7.6324657415115205,1.3218795273466322,0.18912464776712085,4.5389915464109,376.89283570504745,2.8964917481438412
LEO 500 km i=5,340,1.0,-7.6324657415115205,1.3218795273466322,0.7564985910684834,18.1559661856436,376.89283570504745,11.585965945352628
LEO 500 km i=5,340,5.0,-7.6324657415115205,1.3218795273466322,3.782492955342417,90.77983092821802,376.89283570504745,57.92969568234956
LEO 500 km i=5,600,0.25,-7.6324657415115205,2.3327285776705273,0.10717063373470181,2.5720952096328435,665.1050041853778,2.8964917481438412
