geom,burn_dir,dv_ms,arc_min,rho0_km,rho_over_r,crlb_los_m,crlb_rel,fim_cond,D_k2
A1_leo_5km_box,radial,0.0,90.0,5.011105610535344,0.0007407805964647393,3744.945182776634,0.7473291273094035,409035742.728308,1.3291672641608292
A1_leo_5km_box,radial,0.03,90.0,5.011105610535344,0.0007407805964647393,809.7438791417443,0.16158986500690378,18767088.449009005,3.6496737221356574
A1_leo_5km_box,radial,0.1,90.0,5.011105610535344,0.0007407805964647393,277.21066211264827,0.05531926158767056,2110805.3673155326,9.534694490029853
A1_leo_5km_box,radial,0.3,90.0,5.011105610535344,0.0007407805964647393,97.11424414413698,0.01937980391791466,234784.50382614316,26.2731981377936
A1_leo_5km_box,radial,1.0,90.0,5.011105610535344,0.0007407805964647393,31.004073603456614,0.006187072477234102,19963.649977577123,81.6040081980135
A1_leo_5km_box,radial,3.0,90.0,5.011105610535344,0.0007407805964647393,12.309225403633578,0.0024563891405031805,3111.9389989952138,208.56759457110041
A1_leo_5km_box,radial,10.0,90.0,5.011105610535344,0.0007407805964647393,6.4548242275568875,0.0012881038096635344,810.0530746720744,425.6809484385737
A1_leo_5km_box,radial,25.0,90.0,5.011105610535344,0.0007407805964647393,5.6025754683190305,0.0011180318084975463,287.4087979627119,548.6549052614874
A1_leo_5km_box,prograde,0.0,90.0,5.011105610535344,0.0007407805964647393,3744.945182776634,0.7473291273094035,409035742.728308,1.3291672641608292
A1_leo_5km_box,prograde,0.03,90.0,5.011105610535344,0.0007407805964647393,2380.8574764242885,0.4751162041803262,149954800.6917448,1.2017213984775381
A1_leo_5km_box,prograde,0.1,90.0,5.011105610535344,0.0007407805964647393,642.9066430171424,0.1282963667070788,8954167.288708452,3.553553291454236
A1_leo_5km_box,prograde,0.3,90.0,5.011105610535344,0.0007407805964647393,215.6033585405706,0.04302510769026426,661656.3268301088,11.012499873725904
A1_leo_5km_box,prograde,1.0,90.0,5.011105610535344,0.0007407805964647393,75.27612231564365,0.015021859079837233,39284.89138576674,32.7088075700703
A1_leo_5km_box,prograde,3.0,90.0,5.011105610535344,0.0007407805964647393,34.205553162416685,0.006825949365446013,4321.800480853751,76.20545420440486
A1_leo_5km_box,prograde,10.0,90.0,5.011105610535344,0.0007407805964647393,18.035464738659932,0.003599098909578395,1276.507453643421,160.55048745461
A1_leo_5km_box,prograde,25.0,90.0,5.011105610535344,0.0007407805964647393,13.90927779353708,0.0027756904113723385,1131.0597258324012,227.94750924084804
A2_leo_10km_drift,radial,0.0,90.0,10.189288204268129,0.0015059039835889074,1589.8242578873926,0.156028981221813,7812745.23577265,6.340504588134594
A2_leo_10km_drift,radial,0.03,90.0,10.189288204268129,0.0015059039835889074,1253.0569583361628,0.12297786981933413,4822199.324916907,7.16615612101717
A2_leo_10km_drift,radial,0.1,90.0,10.189288204268129,0.0015059039835889074,800.8763501717489,0.07859983289473299,1941050.0488897536,9.308555245657319
A2_leo_10km_drift,radial,0.3,90.0,10.189288204268129,0.0015059039835889074,379.6935606227396,0.03726399263725724,419316.06092559104,16.069912685787884
A2_leo_10km_drift,radial,1.0,90.0,10.189288204268129,0.0015059039835889074,132.97884843155177,0.013050847690798369,45923.65922215401,40.64803874104687
A2_leo_10km_drift,radial,3.0,90.0,10.189288204268129,0.0015059039835889074,48.4453924158973,0.004754541381566213,5184.690377212127,107.34206154518007
A2_leo_10km_drift,radial,10.0,90.0,10.189288204268129,0.0015059039835889074,18.457797968408173,0.001811490419976196,802.8989502369367,284.2523497659733
A2_leo_10km_drift,radial,25.0,90.0,10.189288204268129,0.0015059039835889074,12.052596252013837,0.0011828693045472204,357.83549424814686,466.88492659922673
A2_leo_10km_drift,prograde,0.0,90.0,10.189288204268129,0.0015059039835889074,1589.8242578873926,0.156028981221813,7812745.23577265,6.340504588134594
A2_leo_10km_drift,prograde,0.03,90.0,10.189288204268129,0.0015059039835889074,1699.1174273258039,0.16675526231695664,8661287.656635566,6.174745860706235
A2_leo_10km_drift,prograde,0.1,90.0,10.189288204268129,0.0015059039835889074,1839.9593935788582,0.18057781433723005,9501615.95659355,5.901787970117999
A2_leo_10km_drift,prograde,0.3,90.0,10.189288204268129,0.0015059039835889074,1286.448637578924,0.12625500543208223,3918487.020952767,6.03865447215773
A2_leo_10km_drift,prograde,1.0,90.0,10.189288204268129,0.0015059039835889074,412.90143806004045,0.040523089521315406,262744.8272164756,12.122978354482527
A2_leo_10km_drift,prograde,3.0,90.0,10.189288204268129,0.0015059039835889074,156.10712938922595,0.01532070997106895,20428.62183628647,32.200739885386035
A2_leo_10km_drift,prograde,10.0,90.0,10.189288204268129,0.0015059039835889074,67.04971819708064,0.006580412375517515,2172.431257928961,82.85744226351504
A2_leo_10km_drift,prograde,25.0,90.0,10.189288204268129,0.0015059039835889074,42.278901671276486,0.004149347905731682,1132.598090012476,144.14479263336955
A3_leo_100km,radial,0.0,90.0,101.61433918643861,0.015038272507132407,1724.9365521372733,0.016975326178841916,103095.58651408993,52.724931653721775
A3_leo_100km,radial,0.03,90.0,101.61433918643861,0.015038272507132407,1720.7183432916654,0.016933814233978814,102533.66125162895,52.78901432156013
A3_leo_100km,radial,0.1,90.0,101.61433918643861,0.015038272507132407,1710.9142911402594,0.016837331274684873,101234.51935759661,52.93889338525198
A3_leo_100km,radial,0.3,90.0,101.61433918643861,0.015038272507132407,1683.208281487497,0.016564672810588304,97614.9805968917,53.36979594576562
A3_leo_100km,radial,1.0,90.0,101.61433918643861,0.015038272507132407,1590.0646373145441,0.015648034027925393,85997.44868166998,54.90753178025553
A3_leo_100km,radial,3.0,90.0,101.61433918643861,0.015038272507132407,1359.1417565361512,0.013375491760493007,60710.612696547236,59.51629792972888
A3_leo_100km,radial,10.0,90.0,101.61433918643861,0.015038272507132407,871.5544099346158,0.00857708092098613,22690.990812432447,77.08718381960556
A3_leo_100km,radial,25.0,90.0,101.61433918643861,0.015038272507132407,491.79480494717063,0.004839816987293908,6479.888072121864,115.86792262030357
A3_leo_100km,prograde,0.0,90.0,101.61433918643861,0.015038272507132407,1724.9365521372733,0.016975326178841916,103095.58651408993,52.724931653721775
A3_leo_100km,prograde,0.03,90.0,101.61433918643861,0.015038272507132407,1723.556358372345,0.016961743511513874,102621.15031607391,52.78697448651164
A3_leo_100km,prograde,0.1,90.0,101.61433918643861,0.015038272507132407,1720.322671120367,0.01692992037239918,101523.64185236508,52.932112435629925
A3_leo_100km,prograde,0.3,90.0,101.61433918643861,0.015038272507132407,1710.9854865832517,0.01683803191834956,98459.93992683741,53.349627055185785
A3_leo_100km,prograde,1.0,90.0,101.61433918643861,0.015038272507132407,1677.3073558889048,0.01650660103011089,88530.01718081396,54.8428990251612
A3_leo_100km,prograde,3.0,90.0,101.61433918643861,0.015038272507132407,1575.848453588652,0.015508130704834264,65900.36245279969,59.3570192093533
A3_leo_100km,prograde,10.0,90.0,101.61433918643861,0.015038272507132407,1237.7039912107246,0.012180406831557763,26304.259597109758,77.22103550626565
A3_leo_100km,prograde,25.0,90.0,101.61433918643861,0.015038272507132407,794.2718078638278,0.007816532727792721,6463.687440973933,120.02818371132724
A4_leo_300km_drift,radial,0.0,90.0,301.49051405473836,0.04467117422622499,2266.652169228914,0.007518154182513957,24384.565389878488,91.80004528174442
A4_leo_300km_drift,radial,0.03,90.0,301.49051405473836,0.04467117422622499,2266.0435206201996,0.007516135383976887,24368.531612199535,91.80729274634466
A4_leo_300km_drift,radial,0.1,90.0,301.49051405473836,0.04467117422622499,2264.623673879688,0.0075114259597186695,24331.161496551886,91.82421735962551
A4_leo_300km_drift,radial,0.3,90.0,301.49051405473836,0.04467117422622499,2260.569592635887,0.007497979164364224,24224.714247916167,91.87268016036262
A4_leo_300km_drift,radial,1.0,90.0,301.49051405473836,0.04467117422622499,2246.4125514307275,0.007451022326436681,23855.93623031335,92.04353887978512
A4_leo_300km_drift,radial,3.0,90.0,301.49051405473836,0.04467117422622499,2206.279900793405,0.007317908185969774,22834.72747646454,92.542157422588
A4_leo_300km_drift,radial,10.0,90.0,301.49051405473836,0.04467117422622499,2070.727548089141,0.006868300830563384,19630.85955488557,94.40291208577123
A4_leo_300km_drift,radial,25.0,90.0,301.49051405473836,0.04467117422622499,1814.1347400508346,0.0060172199637480535,14469.41622241253,98.92100590268863
A4_leo_300km_drift,prograde,0.0,90.0,301.49051405473836,0.04467117422622499,2266.652169228914,0.007518154182513957,24384.565389878488,91.80004528174442
A4_leo_300km_drift,prograde,0.03,90.0,301.49051405473836,0.04467117422622499,2265.4579768056647,0.0075141932206674675,24337.008915682043,91.85015334284037
A4_leo_300km_drift,prograde,0.1,90.0,301.49051405473836,0.04467117422622499,2262.6748518035847,0.007504962001533407,24226.495533690344,91.96712090936782
A4_leo_300km_drift,prograde,0.3,90.0,301.49051405473836,0.04467117422622499,2254.7486980675308,0.007478672107269553,23914.194814253577,92.30168885406668
A4_leo_300km_drift,prograde,1.0,90.0,301.49051405473836,0.04467117422622499,2227.3054556049246,0.0073876468803278405,22860.197800306276,93.477004236851
A4_leo_300km_drift,prograde,3.0,90.0,301.49051405473836,0.04467117422622499,2151.428941175123,0.007135975564340679,20154.734138682383,96.87097166039318
A4_leo_300km_drift,prograde,10.0,90.0,301.49051405473836,0.04467117422622499,1914.0198866526862,0.006348524405995668,13375.992595996966,109.12545711998577
A4_leo_300km_drift,prograde,25.0,90.0,301.49051405473836,0.04467117422622499,1528.853285357887,0.005070983046187349,6374.980345077621,136.86545705045904
A5_leo_180deg,radial,0.0,90.0,13572.600000000002,1.9565461826547998,2390.9425822792864,0.0001761595112417139,6765.865426937509,9539.392014169456
A5_leo_180deg,radial,0.03,90.0,13572.600000000002,1.9565461826547998,2390.9425077463466,0.00017615950575028706,6765.869187712987,9539.392014169456
A5_leo_180deg,radial,0.1,90.0,13572.600000000002,1.9565461826547998,2390.9423352873873,0.00017615949304388158,6765.877950949917,9539.392014169456
A5_leo_180deg,radial,0.3,90.0,13572.600000000002,1.9565461826547998,2390.9418471067493,0.00017615945707578128,6765.903000280378,9539.392014169456
