alt_km,a_km,period_min,phase_gap_deg,n_revs,da_km,a_ph_km,phasing_peri_alt_km,dv_total_ms,dv_frac_of_budget,t_total_hr,drift_deg_per_hr,decisions_if_60s,decisions_if_warp5min,decisions_if_warp1hr,feasible_dv,feasible_60s_horizon,feasible_warp5_horizon,reentry_risk
300.0,6671.0,90.37454859633189,15.0,1,-186.61682593986671,6484.383174060134,-73.23365187973343,224.08588648400473,0.46879892569875464,1.4434823734136346,10.029025301180248,86.60894240481807,17.321788480963615,1.4434823734136346,True,True,True,True
300.0,6671.0,90.37454859633189,15.0,2,-92.97750432884507,6578.0224956711545,114.04499134230986,109.64751360827904,0.22938810378301056,2.949724850019166,4.996729199836744,176.98349100114996,35.39669820022999,2.949724850019166,True,True,True,True
300.0,6671.0,90.37454859633189,15.0,3,-61.9123910270771,6609.087608972923,176.1752179458458,72.58220694605734,0.15184562122606138,4.455967326624697,3.3272505463531985,267.3580395974819,53.47160791949637,4.455967326624697,True,True,True,True
300.0,6671.0,90.37454859633189,15.0,5,-37.112776452044024,6633.887223547956,225.77444709591194,43.30494228117095,0.09059611355893504,7.468452279835761,1.9944877540384867,448.10713679014566,89.62142735802912,7.468452279835761,True,True,True,False
300.0,6671.0,90.37454859633189,15.0,8,-23.183348069815896,6647.816651930184,253.63330386036822,26.980480008251106,0.05644451884571361,11.987179709652356,1.2459025770440018,719.2307825791413,143.84615651582826,11.987179709652356,True,True,True,False
300.0,6671.0,90.37454859633189,15.0,10,-18.543447885448114,6652.456552114552,262.9131042291038,21.56179040722418,0.04510834813226816,14.999664662863422,0.9965484466775907,899.9798797718053,179.99597595436106,14.999664662863422,True,True,True,False
300.0,6671.0,90.37454859633189,15.0,15,-12.35943008331582,6658.640569916684,275.28113983336834,14.354496354715593,0.030030327101915468,22.530877045891078,0.6642114739090239,1351.8526227534646,270.37052455069295,22.530877045891078,True,True,True,False
300.0,6671.0,90.37454859633189,15.0,20,-9.268497870554215,6661.731502129446,281.46300425889154,10.758377650139664,0.022507066213681304,30.06208942891874,0.49810085012203514,1803.7253657351243,360.74507314702487,30.06208942891874,True,True,True,False
300.0,6671.0,90.37454859633189,15.0,30,-6.178282561999746,6664.821717438001,287.6434348760005,7.167262822971679,0.01499427368822527,45.124514194974054,0.33202875367788187,2707.4708516984433,541.4941703396886,45.124514194974054,True,False,True,False
300.0,6671.0,90.37454859633189,15.0,50,-3.706626039507799,6667.293373960492,292.5867479209844,4.297966219392038,0.008991561128435225,75.24936372708468,0.19919879220438422,4514.961823625081,902.9923647250162,75.24936372708468,True,False,True,False
