regime,r_box_m,v_box_ms,di_pos_deg,di_vel_deg
LEO 500 km,30000.0,50.0,0.25016429147568797,0.37612699387293114
LEO 500 km,10000.0,10.0,0.08338786165056336,0.07522526910202725
LEO 500 km,5000.0,1.0,0.04169391978593629,0.007522526375306011
MEO 20200 km,30000.0,50.0,0.06468984044947781,0.7396575834727204
MEO 20200 km,10000.0,10.0,0.02156327607754297,0.1479305305597418
MEO 20200 km,5000.0,1.0,0.010781637847883328,0.014793048988244352
