alt_km,i_t_deg,di_deg,da_km,j2_mode,cap_steps,dPhi_total,max_Phi_gain,dvpl0,dvplT,d_dvpl_ms,dlam0_deg,dlamT_deg,di_rel_T_deg
500.0,0.0,0.0,0.0,0,6000,-1.6397526357767466e-14,1.1308638867425838e-15,0.0,0.0,0.0,2.0355549961366507e-13,-3.1551102440118085e-12,0.0
500.0,0.0,0.0,0.0,1,6000,-8.272646158763527e-13,5.604889681134762e-16,0.0,0.0,0.0,2.0355549961366507e-13,-1.169426345280506e-10,0.0
500.0,0.0,0.0,200.0,0,6000,-0.6489943514604202,0.0,0.0,0.0,0.0,0.0,116.81898326287563,0.0
500.0,0.0,0.0,200.0,1,6000,-0.6150912015067089,0.0,0.0,0.0,0.0,0.0,110.7007512983128,0.0
500.0,0.0,0.05,0.0,0,6000,-1.8093165854438098e-14,5.655198531684391e-16,6.646702976475654,6.646702976475654,0.0,1.526666247102488e-13,-3.40955461852889e-12,0.05
500.0,0.0,0.05,0.0,1,6000,2.42654850711628e-06,2.42654850711628e-06,6.646702976475654,6.646702976475654,0.0,1.526666247102488e-13,-8.534084086541921e-05,0.05000000000000001
500.0,0.0,0.05,200.0,0,6000,-0.6489943514604148,0.0,6.646702976475654,6.646702976475654,0.0,1.526666247102488e-13,116.81898326287481,0.05
500.0,0.0,0.05,200.0,1,6000,-0.6150907753631465,0.0,6.646702976475654,6.646702976475654,0.0,1.526666247102488e-13,110.70067411166221,0.05000000000000001
500.0,0.0,0.25,0.0,0,6000,-1.6403545188836688e-14,5.620504062164855e-16,33.233489573614854,33.233489573614854,0.0,1.0177774980683254e-13,-3.053332494204976e-12,0.25000000000000006
500.0,0.0,0.25,0.0,1,6000,2.641846911927148e-06,2.641846911927148e-06,33.233489573614854,33.23348957361485,-7.105427357601002e-15,1.0177774980683254e-13,-0.0021335026746694113,0.25000000000000006
500.0,0.0,0.25,200.0,0,6000,-0.6489943514604184,0.0,33.233489573614854,33.233489573614854,0.0,-1.2722218725854067e-13,116.81898326287542,0.25000000000000006
500.0,0.0,0.25,200.0,1,6000,-0.615080547985764,0.0,33.233489573614854,33.233489573614854,0.0,-1.2722218725854067e-13,110.69882164126356,0.25000000000000006
500.0,0.0,1.0,0.0,0,6000,-1.5987211554602254e-14,2.1094237467877974e-15,132.93237650275333,132.93237650275333,0.0,3.81666561775622e-13,-3.256887993818641e-12,1.0
500.0,0.0,1.0,0.0,1,6000,-0.00013218850527985104,0.0,132.93237650275333,132.93237650275333,0.0,3.81666561775622e-13,-0.03413244781629857,1.0
500.0,0.0,1.0,200.0,0,6000,-0.6489943514604168,0.0,132.93237650275333,132.93237650275333,0.0,2.5444437451708134e-13,116.81898326287528,1.0
500.0,0.0,1.0,200.0,1,6000,-0.6149207674414708,0.0,132.93237650275333,132.93237650275333,0.0,2.5444437451708134e-13,110.66988004045322,1.0
500.0,28.5,0.0,0.0,0,6000,-1.4983946499339233e-14,1.9790118017995214e-15,0.0,0.0,0.0,-3.562221243239139e-13,-3.053332494204976e-12,0.0
500.0,28.5,0.0,0.0,1,6000,-7.209548986005227e-14,1.9773613732911663e-15,0.0,0.0,0.0,-3.562221243239139e-13,-1.3332885224695063e-11,0.0
500.0,28.5,0.0,200.0,0,6000,-0.6489943514604264,0.0,0.0,0.0,0.0,-1.526666247102488e-13,116.8189832628769,0.0
500.0,28.5,0.0,200.0,1,6000,-0.8256850646219436,0.0,0.0,170.52859673198316,170.52859673198316,-1.526666247102488e-13,112.79035302483418,1.282832660556026
500.0,28.5,0.05,0.0,0,6000,-3.251218738675732e-14,2.544839339257976e-15,6.646702976475396,6.646702976475396,0.0,-4.579998741307465e-13,-6.310220488023617e-12,0.04999999999999969
500.0,28.5,0.05,0.0,1,6000,4.821017921273051e-05,4.821017921273051e-05,6.646702976475396,6.266403097266331,-0.3802998792090646,-4.579998741307465e-13,-0.06606294108256615,0.04713918387313468
500.0,28.5,0.05,200.0,0,6000,-0.6489943514604256,0.0,6.646702976475396,6.646702976475396,0.0,-5.088887490341627e-13,116.8189832628771,0.04999999999999969
500.0,28.5,0.05,200.0,1,6000,-0.8139419172669361,0.0,6.646702976475396,167.39973766072137,160.75303468424596,-5.088887490341627e-13,112.73014583189092,1.2592942876345323
500.0,28.5,0.25,0.0,0,6000,-3.562428130265971e-14,0.0,33.23348957361451,33.23348957361451,0.0,0.0,-6.41199823783045e-12,0.24999999999999742
500.0,28.5,0.25,0.0,1,6000,0.00024164873647132545,0.00024164873647132545,33.23348957361451,31.325890346246762,-1.9075992273677507,0.0,-0.3313769523544302,0.2356500022811947
500.0,28.5,0.25,200.0,0,6000,-0.6489943514604266,0.0,33.23348957361451,33.23348957361451,0.0,-1.0177774980683254e-13,116.8189832628769,0.24999999999999742
500.0,28.5,0.25,200.0,1,6000,-0.7692383107196659,0.0,33.23348957361451,156.83261817315156,123.59912859953704,-1.0177774980683254e-13,112.48835545845748,1.179798349075577
500.0,28.5,1.0,0.0,0,6000,-3.3362201889985954e-14,1.1379786002407855e-15,132.93237650275336,132.93237650275336,0.0,-3.053332494204976e-13,-6.310220488023617e-12,1.0000000000000013
500.0,28.5,1.0,0.0,1,6000,0.0009754811379526773,0.0009754811379526773,132.93237650275336,125.2116319663337,-7.720744536419659,-3.053332494204976e-13,-1.3412386679667385,0.9419184100243392
500.0,28.5,1.0,200.0,0,6000,-0.6489943514604009,0.0,132.93237650275336,132.93237650275336,0.0,-5.597776239375789e-13,116.81898326287272,1.0000000000000013
500.0,28.5,1.0,200.0,1,6000,-0.6424096989072214,0.010582469564536678,132.93237650275336,152.23023840630086,19.2978619035475,-5.597776239375789e-13,111.5681219376694,1.1451750442026292
500.0,51.6,0.0,0.0,0,6000,-3.336048465890622e-14,0.0,0.0,0.0,0.0,0.0,-6.00488723860312e-12,0.0
500.0,51.6,0.0,0.0,1,6000,-2.763517233369885e-13,0.0,0.0,8.456081175570601e-13,8.456081175570601e-13,0.0,-4.956576415592744e-11,5.733826494216872e-15
500.0,51.6,0.0,200.0,0,6000,-0.648994351460403,0.0,0.0,0.0,0.0,-1.0177774980683254e-13,116.81898326287262,0.0
500.0,51.6,0.0,200.0,1,6000,-0.8773910621983804,0.0,0.0,197.96887359190148,197.96887359190148,-1.0177774980683254e-13,116.33731942980998,1.4892679955983688
500.0,51.6,0.05,0.0,0,6000,-3.307770723992576e-14,2.8275992658421956e-16,6.646702976475801,6.646702976475801,0.0,1.526666247102488e-13,-6.106664988409952e-12,0.04999999999999948
500.0,51.6,0.05,0.0,1,6000,0.0002687181137247885,0.00027698822445303053,6.646702976475801,5.986837372217251,-0.6598656042585498,1.526666247102488e-13,-0.08442140992550558,0.04503614316420701
500.0,51.6,0.05,200.0,0,6000,-0.6489943514604093,0.0,6.646702976475801,6.646702976475801,0.0,0.0,116.81898326287364,0.04999999999999948
500.0,51.6,0.05,200.0,1,6000,-0.8679322359198685,0.0,6.646702976475801,196.87796189733055,190.23125892085474,0.0,116.26038654292684,1.4810608943239996
500.0,51.6,0.25,0.0,0,6000,-3.2508717939805365e-14,1.9845236565174673e-15,33.23348957361451,33.23348957361451,0.0,-4.579998741307465e-13,-6.310220488023617e-12,0.24999999999999797
500.0,51.6,0.25,0.0,1,6000,0.001343377752415574,0.0013861830343688264,33.23348957361451,29.935620681968253,-3.29786889164626,-4.579998741307465e-13,-0.4219358462633813,0.225191640923508
500.0,51.6,0.25,200.0,0,6000,-0.6489943514604105,0.0,33.23348957361451,33.23348957361451,0.0,1.526666247102488e-13,116.81898326287406,0.24999999999999797
500.0,51.6,0.25,200.0,1,6000,-0.8322588898160007,0.0,33.23348957361451,194.36564368650934,161.13215411289482,1.526666247102488e-13,115.95280908614494,1.462160355769089
500.0,51.6,1.0,0.0,0,6000,-3.2529534621517087e-14,2.7755575615628914e-16,132.93237650275336,132.93237650275336,0.0,5.088887490341627e-14,-5.903109488796287e-12,1.0000000000000004
500.0,51.6,1.0,0.0,1,6000,0.005370294449852736,0.005563961753526331,132.93237650275336,119.76422553871464,-13.168150964038716,5.088887490341627e-14,-1.6849197304139576,0.9009388264974159
500.0,51.6,1.0,200.0,0,6000,-0.6489943514604041,0.0,132.93237650275336,132.93237650275336,0.0,1.0177774980683254e-13,116.81898326287283,1.0000000000000004
500.0,51.6,1.0,200.0,1,6000,-0.7292408328655583,0.001912130696708092,132.93237650275336,211.28003023553143,78.34765373277807,1.0177774980683254e-13,114.80182060293308,1.5894105610139513
500.0,97.4,0.0,0.0,0,6000,-3.1098756885421056e-14,1.6962958301138756e-15,0.0,0.0,0.0,-3.053332494204976e-13,-5.903109488796287e-12,0.0
500.0,97.4,0.0,0.0,1,6000,-1.9224243994659413e-14,1.6953781060799864e-15,0.0,0.0,0.0,-3.053332494204976e-13,-3.7657767428528035e-12,0.0
500.0,97.4,0.0,200.0,0,6000,-0.6489943514604071,0.0,0.0,0.0,0.0,-1.526666247102488e-13,116.81898326287345,0.0
500.0,97.4,0.0,200.0,1,6000,-0.7257919418875431,0.0,0.0,51.944970454867,51.944970454867,-1.526666247102488e-13,119.72586278866174,0.39075816732965657
500.0,97.4,0.05,0.0,0,6000,-1.8093165854438098e-14,1.6965595595053173e-15,6.646702976475497,6.646702976475497,0.0,3.053332494204976e-13,-3.5622212432391387e-12,0.04999999999999909
500.0,97.4,0.05,0.0,1,6000,-0.0016418824183043893,0.0,6.646702976475497,7.9090588770983326,1.2623559006228353,3.053332494204976e-13,0.024917780814343676,0.05949610663715007
500.0,97.4,0.05,200.0,0,6000,-0.6489943514604233,0.0,6.646702976475497,6.646702976475497,0.0,3.562221243239139e-13,116.81898326287654,0.04999999999999909
500.0,97.4,0.05,200.0,1,6000,-0.7140192217550426,0.0,6.646702976475497,48.39665126060164,41.74994828412614,3.562221243239139e-13,119.74856926804223,0.36406569778968884
500.0,97.4,0.25,0.0,0,6000,-3.477773624638303e-14,1.97758476261356e-15,33.233489573614385,33.233489573614385,0.0,-3.562221243239139e-13,-6.615553737444115e-12,0.24999999999999672
500.0,97.4,0.25,0.0,1,6000,-0.008213875235768789,0.0,33.233489573614385,39.54104326264251,6.307553689028126,-3.562221243239139e-13,0.12621809257520844,0.2974488746627544
500.0,97.4,0.25,200.0,0,6000,-0.6489943514604032,0.0,33.233489573614385,33.233489573614385,0.0,-4.579998741307465e-13,116.81898326287303,0.24999999999999672
500.0,97.4,0.25,200.0,1,6000,-0.6806554949144563,0.0,33.233489573614385,45.95754316414186,12.724053590527475,-4.579998741307465e-13,119.84086878235584,0.3457173548015336
500.0,97.4,1.0,0.0,0,6000,-3.505529200253932e-14,1.4155343563970746e-15,132.93237650275265,132.93237650275265,0.0,-3.562221243239139e-13,-6.666442612347531e-12,0.999999999999995
500.0,97.4,1.0,0.0,1,6000,-0.03291805473942988,0.0,132.93237650275265,158.09581464074347,25.163438137990823,-3.562221243239139e-13,0.5292304278216275,1.1893012855374077
500.0,97.4,1.0,200.0,0,6000,-0.6489943514604046,0.0,132.93237650275265,132.93237650275265,0.0,-3.053332494204976e-13,116.81898326287313,0.999999999999995
500.0,97.4,1.0,200.0,1,6000,-0.6703623325097274,0.0,132.93237650275265,135.08562127931796,2.153244776565316,-3.053332494204976e-13,120.20791877546337,1.0161984674454703
8000.0,0.0,0.0,0.0,0,6000,-1.6962958301138757e-14,4.240739575284687e-16,0.0,0.0,0.0,-7.63333123551244e-14,-3.1296658065601004e-12,0.0
8000.0,0.0,0.0,0.0,1,6000,-5.721978526253389e-13,0.0,0.0,0.0,0.0,-7.63333123551244e-14,-8.859753120684772e-11,0.0
