sep_km,arc_min,da_m,rho0_km,rho_over_r,drift_km_per_orbit,crlb_rel_drift,crlb_m_drift,crlb_rel_burn,crlb_m_burn,info_gain
5.0,90.0,0.0,4.999999886396102,0.0007384433446161722,0.0,159.05426617770166,795271.3128193239,0.0036526132765861163,18.26306596797948,1896196138.8252475
5.0,90.0,1.0,5.000000355617782,0.0007384433048551879,0.00942477796076938,170.40522383271605,852026.179762708,0.003653505775754136,18.2675301780223,2175435501.7750735
5.0,90.0,10.0,5.000013578594249,0.0007384442762001902,0.09424777960769379,31.190651189274295,155953.67947156832,0.003661589088463424,18.307995161549655,72562071.65816349
5.0,90.0,100.0,5.001036701087659,0.0007385855623292611,0.9424777960769379,2.9647424932103985,14826.786017819331,0.003747094371347056,18.739356473545616,626014.9345982949
5.0,90.0,400.0,5.016121584513089,0.0007407805748461306,3.7699111843077517,0.7476373854407319,3750.240026498187,0.004078656506445777,20.45903693779741,33600.65601817215
5.0,90.0,1000.0,5.099381440979071,0.0007530096634641275,9.42477796076938,0.3107386770729378,1584.5750428601277,0.004856857602588732,24.766969520119087,4093.3594557345355
5.0,90.0,3000.0,5.831901534995426,0.0008609243482426079,28.274333882308138,0.11487889231100977,669.9623884071522,0.007650888593291665,44.619228931296654,225.453365363099
5.0,90.0,10000.0,11.181990924264886,0.001649017980277966,94.2477796076938,0.040345811186112475,451.14649451521444,0.014138668710400445,158.0984652008857,8.142914346913491
5.0,360.0,0.0,4.999999886396102,0.0007384433446161722,0.0,1.6681656468394397,8340.82804468708,0.0017739007053060893,8.869503325008413,884340.9462453686
5.0,360.0,1.0,5.000000355617782,0.0007384433048551879,0.00942477796076938,1.604641387720847,8023.207509243247,0.001776065955013633,8.8803304066688,816277.452023747
5.0,360.0,10.0,5.000013578594249,0.0007384442762001902,0.09424777960769379,1.138058322688681,5690.307066675599,0.0017949250943948894,8.97464984453401,402009.5587175729
5.0,360.0,100.0,5.001036701087659,0.0007385855623292611,0.9424777960769379,0.2335850860380021,1168.167588102767,0.0019439747206109136,9.721888923761806,14438.065069275193
5.0,360.0,400.0,5.016121584513089,0.0007407805748461306,3.7699111843077517,0.06691234029035024,335.6404344007107,0.0023661839305567645,11.869066286993807,799.6785341566233
5.0,360.0,1000.0,5.099381440979071,0.0007530096634641275,9.42477796076938,0.029746756993860885,151.69006054380858,0.0033278008678976506,16.969725985031324,79.90327680653651
5.0,360.0,3000.0,5.831901534995426,0.0008609243482426079,28.274333882308138,0.010806800673890633,63.02419743845239,0.005724019576413689,33.38191855403086,3.564446179663102
5.0,360.0,10000.0,11.181990924264886,0.001649017980277966,94.2477796076938,0.0034086742920539834,38.11576499752268,0.0033516447465017384,37.478061136742525,1.0343203053472558
10.0,90.0,0.0,9.999999091168986,0.0014768865885643164,0.0,116.342567309931,1163425.5673635765,0.00654119607323341,65.41195478749223,316346439.93214935
10.0,90.0,1.0,9.999999879612247,0.0014768864868890505,0.00942477796076938,189.62041844150738,1896204.1615870977,0.006542225354387571,65.4222527562719,840077207.0406224
10.0,90.0,10.0,10.000011475594768,0.0014768862364100432,0.09424777960769379,39.15268237577226,391527.2730580396,0.0065515062215786846,65.51513739821736,35714183.59498561
10.0,90.0,100.0,10.000572919079893,0.0014769495235751788,0.9424777960769379,3.020530795237342,30207.038472097418,0.006645933594254444,66.4631435247043,206563.95518723558
10.0,90.0,400.0,10.008291031399752,0.001478023899252703,3.7699111843077517,0.7448685112510499,7454.860840725969,0.006977587602375766,69.83372742166348,11395.900141816606
10.0,90.0,1000.0,10.050609468481166,0.0014841419770350217,9.42477796076938,0.30221638416092333,3037.458852177918,0.007684073908164343,77.22962597790563,1546.8668896466847
10.0,90.0,3000.0,10.44242732399945,0.0015415452205490771,28.274333882308138,0.1073066423752535,1120.5418143859843,0.010020327377467834,104.63654040188985,114.68045055495278
10.0,90.0,10000.0,14.147355599857796,0.0020863229022058394,94.2477796076938,0.037041886669910484,524.044742808856,0.014586730148502048,206.36365845002499,6.448672179838323
10.0,360.0,0.0,9.999999091168986,0.0014768865885643164,0.0,11.8432119507651,118432.10874417267,0.002704247058131152,27.042468123607925,19179897.038391348
10.0,360.0,1.0,9.999999879612247,0.0014768864868890505,0.00942477796076938,9.601863424687629,96018.63309092952,0.002705896898466353,27.058968658906686,12591821.512175385
10.0,360.0,10.0,10.000011475594768,0.0014768862364100432,0.09424777960769379,2.2359845696431364,22359.87135568419,0.0027206622784067516,27.206654005285323,675442.4225720924
10.0,360.0,100.0,10.000572919079893,0.0014769495235751788,0.9424777960769379,0.23891165736746378,2389.253450721553,0.0028626715281952157,28.62835536109013,6965.168784172108
10.0,360.0,400.0,10.008291031399752,0.001478023899252703,3.7699111843077517,0.06339371812972336,634.4627806047943,0.003323300464270746,33.26055823120754,363.8758496542524
10.0,360.0,1000.0,10.050609468481166,0.0014841419770350217,9.42477796076938,0.02788377250387613,280.24890794443223,0.004264321268010972,42.859027712916685,42.756606491126526
10.0,360.0,3000.0,10.44242732399945,0.0015415452205490771,28.274333882308138,0.010441463727437551,109.03422612994302,0.006200127508559586,64.74438090766324,2.836099910257675
10.0,360.0,10000.0,14.147355599857796,0.0020863229022058394,94.2477796076938,0.0033896574355768423,47.954689102807656,0.0033422367727642117,47.28381212321642,1.0285779107758097
