sweep,geom,arc_min,rho0_km,dv_ms,burn_frac,ang_from_los_deg,crlb_los_m,crlb_rel,crlb_rel_drift,info_gain,fim_cond
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,0,7.3076173741899,0.001458284447014322,0.06692914631747052,2106.425401448256,1934.5808498091792
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,15,7.33139612726683,0.0014630296579368253,0.06692914631747052,2092.783541073498,1909.332090661253
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,30,7.499176896005752,0.001496511444548183,0.06692914631747052,2000.1864750105956,1926.3579064534567
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,45,7.863419797919359,0.0015691985779320461,0.06692914631747052,1819.1761743174025,2033.6815039245328
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,60,8.506750343226345,0.0016975795372066718,0.06692914631747052,1554.4269171343317,2392.9340451559037
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,75,9.230747041960353,0.00184205797270639,0.06692914631747052,1320.1521370524365,3525.916919990572
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,90,8.430734800508706,0.0016824101217870837,0.06692914631747052,1582.5842023142195,7630.816212304171
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,105,6.73000755198492,0.0013430185023112979,0.06692914631747052,2483.5138112971918,536783.009410863
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,120,6.003414607402806,0.0011980219684017898,0.06692914631747052,3121.052020951513,1544918.4849460083
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,135,4.966039420898601,0.0009910067372074546,0.06692914631747052,4561.181532337124,7158425.7299250085
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,150,5.623083250207677,0.001122124275007438,0.06692914631747052,3557.5306955756755,311016.70461513224
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,165,5.641223875931407,0.0011257443595024824,0.06692914631747052,3534.687401455644,190095.3466683999
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,180,5.683725078036909,0.001134225761693677,0.06692914631747052,3482.0223693732205,192174.5794453118
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,195,5.744007865396671,0.0011462555994270953,0.06692914631747052,3409.3189373206396,287052.5496312035
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,210,1.7840177391731564,0.0003560127999342978,0.06692914631747052,35342.66919973966,1131117.4360774045
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,225,6.205896865217219,0.0012384286717426086,0.06692914631747052,2920.710923804545,1888799.8396077224
direction,A1_leo_5km_box,360.0,5.011105610535344,1.0,0.25,240,6.30393005751523,0.0012579918579767814,0.06692914631747052,2830.5765908326416,7259421.287591193
