policy,n,mean_return,median_return,mean_decisions,safety_cap_frac,implied_total_shaping
coast,120,-8.22138968466946,-8.420246630354086,2000.0,0.0,1.77861031533054
warp5,120,-8.242610669877225,-8.439095051609911,400.0,0.0,1.757389330122775
warp60,120,-8.474721388619704,-8.645254660397768,34.0,0.0,1.5252786113802965
