alt_km,di_deg,dv_plane_standalone_ms,inplane_impulse_ms,dv_marginal_ms,save_vs_standalone_pct,marginal_frac_budget
400.0,0.1,13.391209160173542,0.0,13.391209160173542,0.0,0.028007471979224555
400.0,0.1,13.391209160173542,10.0,6.713003403682887,49.870072796354634,0.014040125314766644
400.0,0.1,13.391209160173542,25.0,3.3606149928296816,74.90432004583722,0.007028665531158014
400.0,0.1,13.391209160173542,50.0,1.7621916341601178,86.84068321924948,0.003685591960026097
400.0,0.1,13.391209160173542,100.0,0.8926383973157641,93.33414640426544,0.00186693707800149
400.0,0.1,13.391209160173542,150.0,0.596561988551116,95.54512231557598,0.0012476986191737843
400.0,0.1,13.391209160173542,200.0,0.4478098727235249,96.65594146602277,0.0009365862568725422
400.0,0.1,13.391209160173542,300.0,0.2987254098350718,97.76924244657829,0.0006247787966990218
400.0,0.25,33.47800059233634,0.0,33.47800059233634,0.0,0.07001863329107855
400.0,0.25,33.47800059233634,10.0,24.939612528768443,25.504474318942684,0.05216074894488077
400.0,0.25,33.47800059233634,25.0,16.78249063495943,49.87009278325536,0.03510027590325035
400.0,0.25,33.47800059233634,50.0,10.17288860990864,69.61321336424918,0.02127641270342883
400.0,0.25,33.47800059233634,100.0,5.455092450106321,83.70544132389112,0.011409227285824294
400.0,0.25,33.47800059233634,150.0,3.6905219057456122,88.97627743458959,0.0077186598781005915
400.0,0.25,33.47800059233634,200.0,2.7825843697147263,91.68831973092293,0.005819724927932008
400.0,0.25,33.47800059233634,300.0,1.862181340525808,94.43759690669194,0.0038947186240749815
400.0,0.5,66.95584184126464,0.0,66.95584184126464,0.0,0.1400369333182985
400.0,0.5,66.95584184126464,10.0,57.69848415343172,13.826064213754153,0.12067533699473847
400.0,0.5,66.95584184126464,25.0,46.470866488887935,30.594754376983868,0.0971929775325044
400.0,0.5,66.95584184126464,50.0,33.56485359690667,49.8701641650919,0.07020028478070277
400.0,0.5,66.95584184126464,100.0,20.345688567029455,69.61327345377282,0.042552639991153884
400.0,0.5,66.95584184126464,150.0,14.26528774111847,78.69448378389767,0.0298355915366625
400.0,0.5,66.95584184126464,200.0,10.910134314765543,83.70547809609995,0.02281834877310006
400.0,0.5,66.95584184126464,300.0,7.3810091021767334,88.9763030391355,0.015437247162297123
400.0,0.75,100.43336440413525,0.0,100.43336440413525,0.0,0.21005456681938747
400.0,0.75,100.43336440413525,10.0,90.92997912183387,9.462378701225793,0.19017840822771764
400.0,0.75,100.43336440413525,25.0,78.49811923669832,21.840595799590446,0.1641773979217844
400.0,0.75,100.43336440413525,50.0,62.191179178818786,38.07717231440459,0.13007172745729317
400.0,0.75,100.43336440413525,100.0,41.72812242294688,58.45193211387751,0.08727361402001961
400.0,0.75,100.43336440413525,150.0,30.51831121948217,69.61337360294024,0.0638284964493695
400.0,0.75,100.43336440413525,200.0,23.800939867404992,76.30175986972611,0.04977923564946506
400.0,0.75,100.43336440413525,300.0,16.36507500913217,83.70553938302763,0.03422725866453701
400.0,1.0,133.91040893981537,0.0,133.91040893981537,0.0,0.2800712005352455
400.0,1.0,133.91040893981537,10.0,124.28327379993601,7.1892358600787905,0.25993622135261246
400.0,1.0,133.91040893981537,25.0,111.22407137664248,16.941429529476693,0.23262313546420751
400.0,1.0,133.91040893981537,50.0,92.94053876500041,30.594985482591152,0.19438345739056836
400.0,1.0,133.91040893981537,100.0,67.12868581553732,49.87044969319181,0.14039843336719754
400.0,1.0,133.91040893981537,150.0,51.07709372881979,61.85726402211507,0.10682681857025132
400.0,1.0,133.91040893981537,200.0,40.69066791720152,69.61351381169368,0.0851037966680661
400.0,1.0,133.91040893981537,300.0,28.530055888998675,78.69466898437955,0.05967009635345623
400.0,1.5,200.86242657720763,0.0,200.86242657720763,0.0,0.4201001356002483
400.0,1.5,200.86242657720763,10.0,191.1111991175134,4.8546797058363955,0.3997056195730719
400.0,1.5,200.86242657720763,25.0,177.41223878630493,11.67475081851055,0.37105449158069437
400.0,1.5,200.86242657720763,50.0,156.99206364130032,21.84100017284437,0.32834606425767865
400.0,1.5,200.86242657720763,100.0,124.37850701545398,38.07776340507104,0.26013539990200313
400.0,1.5,200.86242657720763,150.0,100.6904753086645,49.87092557603797,0.2105923096302139
400.0,1.5,200.86242657720763,200.0,83.45319615499864,58.45256000483453,0.17454085175812192
400.0,1.5,200.86242657720763,300.0,61.034228862699536,69.61391440761115,0.1276519867772331
400.0,2.0,267.81062008353473,0.0,267.81062008353473,0.0,0.5601210725642304
