da_m,v_tol_implied_ms,di_deg,dv_ms,dv_axis,orbits,n_obs,rho0_km,rho_mean_km,rho_max_km,oop_amp_m,sigma_range_m,sigma_inplane_m,sigma_plane_m,sigma_vrange_ms,sigma_vinplane_ms,sigma_vplane_ms,range_frac_of_box,vrange_frac_of_box,plane_frac_of_planebox,vplane_frac_of_planebox,gain_vs_drift,fim_cond
0.0,0.0,0.0,0.0,none,1.0,95,4.999999889678393,4.9999998892155455,4.99999989032772,4.875800056896019e-09,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,187106704146860.66
0.0,0.0,0.0,0.0,none,3.0,284,4.999999889678393,4.999999891100585,4.9999998991775705,7.595190972460377e-09,300531.7966907974,0.8281677825612381,0.4191503565056161,0.1814005076008404,333.14163865634,0.00046560484715660495,60.10635933815948,0.1814005076008404,8.383006347213875e-05,0.0004656046224727882,1.0,21282837307229.29
0.0,0.0,0.0,1.0,pro,1.0,95,4.999999889678393,10.206787985733861,22.015969430376586,3.75254508347767e-09,19.08222390992075,2.501886387208377,0.9746379083036554,0.0013390456321327611,0.015878843640131608,0.0010486205375663772,0.0038164447819841497,0.0013390456321327611,0.00019492756345622538,0.0010486200315405784,inf,6515.378986980101
0.0,0.0,0.0,1.0,pro,3.0,284,4.999999889678393,21.01741718484932,43.532653989704635,5.6215404121217335e-09,5.569582436779384,1.225885771399323,0.7393352245412945,0.001119311632776555,0.005895642547636144,0.0007797135381893839,0.0011139164873558767,0.001119311632776555,0.00014786703109878957,0.0007797131619282372,2911625958.2423816,3673.789899070963
0.0,0.0,0.0,1.0,rad,1.0,95,4.999999889678393,6.731023110222335,8.608797296592257,5.794725819062812e-09,17.02823293088088,1.8154103541942581,0.9175344243067247,0.002102141178715454,0.01997925100491469,0.0010140369642385216,0.0034056465861761758,0.002102141178715454,0.00018350686772343092,0.0010140364749014865,inf,12612.681520068852
0.0,0.0,0.0,1.0,rad,3.0,284,4.999999889678393,6.4077101585462755,8.609801147864534,5.9545569529624e-09,10.458832596725424,0.9095321513311372,0.5055567658004223,0.000901238390028776,0.01084366123671397,0.0005647020480987865,0.002091766519345085,0.000901238390028776,0.00010111134371718167,0.0005647017755942964,825685070.3297087,54127.61721815207
0.0,0.0,0.0,1.0,nor,1.0,95,4.999999889678393,5.034322792978224,5.081779391786452,902.0693830120027,12.474088182176008,0.8849594981759442,1.7631517995219583,0.0008501096313770357,0.013717160754909153,0.001238944298350988,0.0024948176364352017,0.0008501096313770357,0.00035263032697184645,0.0012389437004819252,inf,17708.889286554608
0.0,0.0,0.0,1.0,nor,3.0,284,4.999999889678393,5.034319878329149,5.082901180256834,902.098326727239,7.466478672449205,0.47371225932824246,0.6772957888688513,0.0004739597712955563,0.008243909304995549,0.0009408267556802702,0.001493295734489841,0.0004739597712955563,0.00013545914512308742,0.0009408263016717957,1620127514.5712714,59004.57762292888
0.0,0.0,0.0,1.0,perp_los,1.0,95,4.999999889678393,3.353312714419655,4.999999889730311,5.921898966940757e-09,11.18342277882671,1.7561739258640592,0.4153154855403074,0.0020112582270882685,0.011404709924034757,0.00036375019643286073,0.002236684555765342,0.0020112582270882685,8.306308935070557e-05,0.0003637500209003615,inf,150523.07948795072
0.0,0.0,0.0,1.0,perp_los,3.0,284,4.999999889678393,3.6695501196903364,4.99999989032772,5.381297952700994e-09,2.7734742520293634,0.6396410502931736,0.22609457158468682,0.0007022247875898968,0.003807481411009884,0.00027420092391450686,0.0005546948504058727,0.0007022247875898968,4.521891009389219e-05,0.0002742007915952011,11741743223.502155,94934.98352481062
