alt_lo_km,alt_hi_km,e_max,same_orbit,n,v_circ_ms,dv_a_mean,dv_e_mean,dv_total_mean,dv_total_p50,dv_total_p90,dv_total_p99,budget_ms,frac_within_budget,frac_within_75pct_budget,de_mean,de_p90
300,800,0.0,0,200000,7589.489923222088,91.41524726591655,0.0,91.41524726591655,80.29534349543906,187.40504429601555,247.41593229321185,478.12987798780637,1.0,1.0,0.0,0.0
300,800,0.0,1,200000,7590.159735080182,0.0,0.0,0.0,0.0,0.0,0.0,478.12987798780637,1.0,1.0,0.0,0.0
300,800,0.025,0,200000,7589.489923222088,91.41524726591655,68.82818323893949,160.24343050485604,151.86669322799838,264.2357993461515,342.3262285851175,478.12987798780637,1.0,0.994855,0.018137689390243766,0.0311082502469818
300,800,0.025,1,200000,7590.159735080182,0.0,68.88770328932212,68.88770328932212,66.25400446606392,118.02166630292007,159.86724045171414,478.12987798780637,1.0,1.0,0.01815197833987275,0.03109583209824263
300,800,0.05,0,200000,7589.489923222088,91.41524726591655,137.65636647787898,229.07161374379552,222.22729925277827,359.23528849773817,472.8386040741968,478.12987798780637,0.99138,0.898955,0.03627537878048753,0.0622165004939636
300,800,0.05,1,200000,7590.159735080182,0.0,137.77540657864424,137.77540657864424,132.50800893212784,236.04333260584013,319.7344809034283,478.12987798780637,1.0,0.9992,0.0363039566797455,0.06219166419648526
300,2000,0.0,0,200000,7285.438552552329,275.3327817547731,0.0,275.3327817547731,241.23615643155037,565.2288706415196,746.1133424885354,478.12987798780637,0.82262,0.679775,0.0,0.0
300,2000,0.0,1,200000,7291.453433336984,0.0,0.0,0.0,0.0,0.0,0.0,478.12987798780637,1.0,1.0,0.0,0.0
300,2000,0.025,0,200000,7285.438552552329,275.3327817547731,66.07128473037963,341.40406648515267,308.4331512630355,634.0310844020513,818.8220036782909,478.12987798780637,0.747425,0.58151,0.018137689390243766,0.0311082502469818
300,2000,0.025,1,200000,7291.453433336984,0.0,66.17561892984236,66.17561892984236,63.59456612987924,113.47653609136002,154.19852471661608,478.12987798780637,1.0,1.0,0.01815197833987275,0.03109583209824263
300,2000,0.05,0,200000,7285.438552552329,275.3327817547731,132.14256946075926,407.47535121553227,377.007782596535,707.7497037328463,910.171911979622,478.12987798780637,0.655105,0.46837,0.03627537878048753,0.0622165004939636
300,2000,0.05,1,200000,7291.453433336984,0.0,132.35123785968472,132.35123785968472,127.18913225975848,226.95307218272004,308.39704943323216,478.12987798780637,1.0,0.999765,0.0363039566797455,0.06219166419648526
300,2000,0.084,0,200000,7285.438552552329,275.3327817547731,221.99951669407557,497.3322984488486,472.70722667840175,815.5633557835962,1058.366408091014,478.12987798780637,0.50869,0.30761,0.06094263635121906,0.10452372082985888
300,2000,0.084,1,200000,7291.453433336984,0.0,222.35007960427032,222.35007960427032,213.67774219639426,381.2811612669696,518.1070430478301,478.12987798780637,0.97598,0.870665,0.06099064722197244,0.10448199585009524
300,2000,0.15,0,200000,7285.438552552329,275.3327817547731,396.4277083822778,671.7604901370509,650.8087805168295,1055.3530995672747,1388.7660918747604,478.12987798780637,0.26806,0.138375,0.10882613634146256,0.1866495014818908
300,2000,0.15,1,200000,7291.453433336984,0.0,397.05371357905403,397.05371357905403,381.56739677927544,680.8592165481599,925.1911482996962,478.12987798780637,0.67134,0.458005,0.1089118700392365,0.18657499258945578
300,8000,0.0,0,200000,6207.635366628093,783.3310040486839,0.0,783.3310040486839,677.5803983171236,1629.8434711429754,2151.867301165751,478.12987798780637,0.374515,0.290345,0.0,0.0
300,8000,0.0,1,200000,6264.157249957739,0.0,0.0,0.0,0.0,0.0,0.0,478.12987798780637,1.0,1.0,0.0,0.0
300,8000,0.025,0,200000,6207.635366628093,783.3310040486839,56.29767141521144,839.6286754638957,734.0590123794661,1688.07542360771,2208.976750060898,478.12987798780637,0.335435,0.24977,0.018137689390243766,0.0311082502469818
300,8000,0.025,1,200000,6264.157249957739,0.0,56.848863216562734,56.848863216562734,54.045399233721405,98.12925296048903,138.25055380187848,478.12987798780637,1.0,1.0,0.01815197833987275,0.03109583209824263
300,8000,0.05,0,200000,6207.635366628093,783.3310040486839,112.59534283042288,895.9263468791069,791.0246414661834,1748.0653154606994,2269.931446108323,478.12987798780637,0.29536,0.20693,0.03627537878048753,0.0622165004939636
300,8000,0.05,1,200000,6264.157249957739,0.0,113.69772643312547,113.69772643312547,108.09079846744281,196.25850592097805,276.50110760375696,478.12987798780637,1.0,0.999955,0.0363039566797455,0.06219166419648526
300,8000,0.084,0,200000,6207.635366628093,783.3310040486839,189.16017595511042,972.4911800037944,869.0296360747391,1830.1886056432097,2364.276692830414,478.12987798780637,0.23932,0.148055,0.06094263635121906,0.10452372082985888
300,8000,0.084,1,200000,6264.157249957739,0.0,191.01218040765076,191.01218040765076,181.59254142530392,329.7142899472431,464.52186077431173,478.12987798780637,0.992665,0.93331,0.06099064722197244,0.10448199585009524
300,8000,0.15,0,200000,6207.635366628093,783.3310040486839,337.78602849126867,1121.1170325399526,1025.7761488206238,1995.0274597318564,2565.2591800825176,478.12987798780637,0.141405,0.073655,0.10882613634146256,0.1866495014818908
300,8000,0.15,1,200000,6264.157249957739,0.0,341.0931792993764,341.0931792993764,324.27239540232847,588.775517762934,829.5033228112708,478.12987798780637,0.78483,0.572135,0.1089118700392365,0.18657499258945578
300,8000,0.3,0,200000,6207.635366628093,783.3310040486839,675.5720569825373,1458.9030610312213,1384.472425484965,2404.6976678211113,3128.2582062190654,478.12987798780637,0.05154,0.0248,0.2176522726829251,0.3732990029637816
300,8000,0.3,1,200000,6264.157249957739,0.0,682.1863585987528,682.1863585987528,648.5447908046569,1177.551035525868,1659.0066456225416,478.12987798780637,0.320215,0.204795,0.217823740078473,0.37314998517891157
300,8000,0.5,0,200000,6207.635366628093,783.3310040486839,1125.9534283042287,1909.2844323529127,1843.5396555581624,3035.4006665059096,4004.0373461710756,478.12987798780637,0.022495,0.01042,0.36275378780487516,0.622165004939636
300,8000,0.5,1,200000,6264.157249957739,0.0,1136.9772643312544,1136.9772643312544,1080.907984674428,1962.5850592097804,2765.01107603757,478.12987798780637,0.142085,0.088325,0.36303956679745497,0.6219166419648526
300,20200,0.0,0,200000,5018.650001935657,1106.8885525455985,0.0,1106.8885525455985,924.7675683883822,2381.351739499226,3154.3607111784913,478.12987798780637,0.29339,0.228665,0.0,0.0
300,20200,0.0,1,200000,5159.850418530792,0.0,0.0,0.0,0.0,0.0,0.0,478.12987798780637,1.0,1.0,0.0,0.0
300,20200,0.025,0,200000,5018.650001935657,1106.8885525455985,45.514761442744316,1152.4033139883427,970.6794159701549,2428.7950129143137,3202.750453000288,478.12987798780637,0.26995,0.203365,0.018137689390243766,0.0311082502469818
300,20200,0.025,1,200000,5159.850418530792,0.0,46.82389834980575,46.82389834980575,43.47157945331766,82.28976424911667,123.83487611532958,478.12987798780637,1.0,1.0,0.01815197833987275,0.03109583209824263
300,20200,0.05,0,200000,5018.650001935657,1106.8885525455985,91.02952288548863,1197.9180754310873,1017.493494853917,2477.2476683369396,3252.179814562508,478.12987798780637,0.245685,0.17761,0.03627537878048753,0.0622165004939636
300,20200,0.05,1,200000,5159.850418530792,0.0,93.6477966996115,93.6477966996115,86.94315890663532,164.57952849823334,247.66975223065916,478.12987798780637,1.0,0.999975,0.0363039566797455,0.06219166419648526
300,20200,0.084,0,200000,5018.650001935657,1106.8885525455985,152.9295984476208,1259.8181509932197,1081.062505586937,2543.6817776870494,3320.0239257928824,478.12987798780637,0.211825,0.14119,0.06094263635121906,0.10452372082985888
300,20200,0.084,1,200000,5159.850418530792,0.0,157.32829845534735,157.32829845534735,146.06450696314732,276.4936078770321,416.0851837475074,478.12987798780637,0.99719,0.972135,0.06099064722197244,0.10448199585009524
