sep_km,n_orbits,steps,rel_pos_err_m,rel_vel_err_ms,abs_pos_err_m,rel_range_mean_m
5.0,1,94,82.94314278785001,0.09356193499405381,29743.494703315067,5099.914732461094
5.0,3,283,248.52702150403996,0.2817013503894412,89130.38459044383,5099.82910540536
30.0,1,94,498.38662291729526,0.5621765138678497,29743.494703315067,30599.295469090626
30.0,3,283,1493.366663250614,1.6926504675022191,89130.38459044383,30598.77541192385
200.0,1,94,3353.8598091106383,3.782369015561541,29743.494703315067,203979.85361314265
200.0,3,283,10050.611324743277,11.389177732794632,89130.38459044383,203976.10206427486
2000.0,1,94,34917.638860622115,39.26617758094039,29743.494703315067,2031025.1853403652
2000.0,3,283,104764.14378596228,118.3532296081626,89130.38459044383,2030959.041112618
