rho_km,arc_min,burn,sigma_range_m,sigma_pos_m,sigma_vel_ms,frac_of_tb5_pos,frac_of_tb5_vel,frac_of_t3_pos,frac_of_t3_vel
2.6872948332673356,60.0,drift,9710.812931966317,9710.813024074449,10.925261758219314,1.9421625863932634,10.925261758219314,0.3236937643988772,0.21850523516438627
2.6872948332673356,60.0,1 m/s radial,14.087324193336958,14.154748151286904,0.017717995362846763,0.0028174648386673916,0.017717995362846763,0.00046957747311123193,0.00035435990725693527
2.6872948332673356,60.0,1 m/s prograde,21.460794364738295,21.533517729310645,0.016042177607559244,0.0042921588729476585,0.016042177607559244,0.0007153598121579432,0.00032084355215118487
2.6872948332673356,120.0,drift,895.1744132771737,895.1748582962225,1.0072357048529532,0.17903488265543474,1.0072357048529532,0.029839147109239125,0.020144714097059063
2.6872948332673356,120.0,1 m/s radial,5.700204524435069,5.78482439544125,0.006595807901213738,0.0011400409048870138,0.006595807901213738,0.00019000681748116896,0.00013191615802427475
2.6872948332673356,120.0,1 m/s prograde,6.416724796205399,6.557288125071298,0.004730955977424031,0.0012833449592410799,0.004730955977424031,0.00021389082654017997,9.461911954848062e-05
2.6872948332673356,180.0,drift,533.5093507611591,533.5099761114134,0.6004505443122747,0.10670187015223183,0.6004505443122747,0.01778364502537197,0.012009010886245494
2.6872948332673356,180.0,1 m/s radial,5.685764220586866,5.744989142210655,0.005839890343947873,0.0011371528441173732,0.005839890343947873,0.0001895254740195622,0.00011679780687895746
2.6872948332673356,180.0,1 m/s prograde,4.195375227239053,4.346728418273113,0.0037791855468279198,0.0008390750454478106,0.0037791855468279198,0.00013984584090796843,7.55837109365584e-05
2.6872948332673356,300.0,drift,246.2120816710242,246.21327083564054,0.2771023033484365,0.04924241633420484,0.2771023033484365,0.00820706938903414,0.00554204606696873
2.6872948332673356,300.0,1 m/s radial,5.417369021951563,5.490282013548032,0.0058076074917979,0.0010834738043903126,0.0058076074917979,0.00018057896739838544,0.00011615214983595801
2.6872948332673356,300.0,1 m/s prograde,3.4366300203960307,3.545339251510363,0.003939661978418942,0.0006873260040792062,0.003939661978418942,0.00011455433401320102,7.879323956837884e-05
2.6872948332673356,600.0,drift,93.3230515697897,93.32587770567517,0.10504408613412236,0.01866461031395794,0.10504408613412236,0.0031107683856596564,0.002100881722682447
