e,u_deg,axis,lever_a_over_v,lever_e_over_v,lever_i_over_v
0.0,0.0,tangential,2.0006518735961154,2.0001303339405188,0.0
0.0,0.0,radial,0.00013033393706591838,0.9999999999999998,0.0
0.0,0.0,normal,0.00013033393706591838,0.00013033394025202918,0.9999999943376886
0.0,90.0,tangential,2.0006518735961154,2.0001303339405188,0.0
0.0,90.0,radial,0.00013033393706591838,0.9999999999999998,0.0
0.0,90.0,normal,0.00013033393706591838,0.00013033394025202918,0.9999999943376886
0.05,0.0,tangential,2.1033367087054646,1.9976222527852172,0.0
0.05,0.0,radial,0.00013033393812125207,0.9987492177719947,0.0
0.05,0.0,normal,0.00013033393812125207,0.0001238172404709816,0.951189726338355
0.05,90.0,tangential,1.9956637987000756,1.997628931752072,0.0
0.05,90.0,radial,0.09975831549982964,0.9987492177717492,0.0
0.05,90.0,normal,0.00013033393917658573,0.04993783961724528,1.003751314374212
