mutation,Om_relerr,om_relerr,Mdot_corr_relerr
correct,0.002696041814161867,0.005462094931917616,1.098458842755472
Ω̇ sign flipped,2.002696041814162,0.005462094931917616,1.098458842755472
Ω̇ factor 0.75 not 1.5,0.4986519790929191,0.005462094931917616,1.098458842755472
Ω̇ uses sin i not cos i,0.2650875566265221,0.005462094931917616,1.098458842755472
Ω̇ uses R_ENV not R_EQ,0.00045330610336447047,0.005462094931917616,1.098458842755472
Ω̇ uses a not p,0.001894045412077379,0.005462094931917616,1.098458842755472
ω̇ (2−2.5sin²i) [Ṁ form],0.002696041814161867,0.5027310474659588,1.098458842755472
ω̇ sign flipped,0.002696041814161867,1.9945379050680825,1.098458842755472
ω̇ factor 2×,0.002696041814161867,0.9890758101361647,1.098458842755472
Ṁ correction omitted,0.002696041814161867,0.005462094931917616,1.0
Ṁ correction sign flipped,0.002696041814161867,0.005462094931917616,0.901541157244528
Ṁ missing √(1−e²),0.002696041814161867,0.005462094931917616,1.0984785404335817
