op,batch,ms,us_per_env,ticks_per_s,note
propagate3 f&g (6 Newton iters),1024,0.24168757954612374,0.23602302690051147,4137.572985247923,
stm_fd3 (12N+1 propagate),1024,2.2898545721545815,2.2361861056197085,436.70895617579544,
MSC6 predict (13 prop + FPF^T + Q),1024,6.400229001883417,6.250223634651775,156.2444093337483,
MSC6 update (2x2 solve + Joseph),1024,0.5167084746062756,0.504598119732691,1935.3272670087047,
FULL 3D sensor tick (predict+update),1024,6.978916993830353,6.815348626787454,143.28870810242344,
nav_math propagate_cartesian (2D),1024,0.14689599629491568,0.1434531213817536,6807.537477007545,
"nav_math stm_fd (2D, 8N+1)",1024,0.7143545080907643,0.697611824307387,1399.8651771270718,
"BatchedBearingMPC predict (2D, 9 prop)",1024,1.776708464603871,1.7350668599647179,562.8385410000039,
BatchedBearingMPC update (2D),1024,0.29391649877652526,0.28702783083645045,3402.3268654963604,
FULL 2D sensor tick (predict+update),1024,2.040811988990754,1.992980457998783,490.0010414455335,
FULL 2D range+bearing EKF tick,1024,1.488792011514306,1.4538984487444395,671.6854955332965,
ratio_3d_over_2d_mpc,1024,3.419676595138805,nan,nan,dimensionless
ratio_3d_over_2d_rbekf,1024,4.687637319286685,nan,nan,dimensionless
