gamma,gap_deg,da_km,warpset,N_decisions,S_simsteps,terminal_value_per_decision,frac_per_decision,terminal_value_semiMDP,frac_semiMDP,visible_10pct,visible_1pct
0.995,180.0,100.0,legacy D10 (warp-5min),456,2219,1.0170090558064007,0.10170090558064006,0.0001477121347884466,1.477121347884466e-05,1,1
0.995,180.0,100.0,D16 (warp 5/30min),91,2219,6.3372428176440865,0.6337242817644086,0.0001477121347884466,1.477121347884466e-05,1,1
0.995,180.0,100.0,D16 (warp 5/30/60min),55,2219,7.590483508202912,0.7590483508202912,0.0001477121347884466,1.477121347884466e-05,1,1
0.995,180.0,200.0,coast-only (tau=1),1188,1178,0.025931039452239714,0.0025931039452239714,0.0272639714598991,0.00272639714598991,0,0
0.995,180.0,200.0,legacy D10 (warp-5min),248,1178,2.8848552366256603,0.288485523662566,0.0272639714598991,0.00272639714598991,1,1
0.995,180.0,200.0,D16 (warp 5/30min),53,1178,7.666961448653228,0.7666961448653228,0.0272639714598991,0.00272639714598991,1,1
0.995,180.0,200.0,D16 (warp 5/30/60min),34,1178,8.433051360508335,0.8433051360508335,0.0272639714598991,0.00272639714598991,1,1
0.995,180.0,340.0,coast-only (tau=1),767,752,0.21394538952450054,0.021394538952450054,0.23065173234186054,0.023065173234186054,0,1
0.995,180.0,340.0,legacy D10 (warp-5min),171,752,4.243720840628099,0.42437208406280996,0.23065173234186054,0.023065173234186054,1,1
0.995,180.0,340.0,D16 (warp 5/30min),51,752,7.7442099428329865,0.7744209942832987,0.23065173234186054,0.023065173234186054,1,1
0.995,180.0,340.0,D16 (warp 5/30/60min),40,752,8.183201210226743,0.8183201210226743,0.23065173234186054,0.023065173234186054,1,1
0.997,30.0,50.0,coast-only (tau=1),799,795,0.906632933977113,0.0906632933977113,0.9175946183133782,0.09175946183133782,0,1
0.997,30.0,50.0,legacy D10 (warp-5min),167,795,6.054683389900476,0.6054683389900476,0.9175946183133782,0.09175946183133782,1,1
0.997,30.0,50.0,D16 (warp 5/30min),37,795,8.94789455394531,0.8947894553945311,0.9175946183133782,0.09175946183133782,1,1
0.997,30.0,50.0,D16 (warp 5/30/60min),25,795,9.276389118674716,0.9276389118674716,0.9175946183133782,0.09175946183133782,1,1
0.997,30.0,100.0,coast-only (tau=1),454,449,2.5562414543924405,0.25562414543924405,2.5949325990253937,0.25949325990253935,1,1
0.997,30.0,100.0,legacy D10 (warp-5min),102,449,7.360480183408797,0.7360480183408797,2.5949325990253937,0.25949325990253935,1,1
0.997,30.0,100.0,D16 (warp 5/30min),32,449,9.083329444789532,0.9083329444789532,2.5949325990253937,0.25949325990253935,1,1
