action,dv,e_init,dtheta_jump_med_deg,dtheta_jump_max_deg,phi_phase_jump_med,phi_phase_jump_max,omega_jump_med_deg,phys_disp_med_km
3,25.0,0.0,86.51126244733199,175.98934443183774,0.6685318703495348,0.999849156284227,86.51126260307669,0.9904254218023271
3,25.0,0.02,14.192727869027195,19.51239298544098,0.24609884656931258,0.33585681560883174,14.204756594691396,0.9892947303550318
3,25.0,0.05,5.170816396646266,7.6511170694399535,0.08974450746302731,0.13333120704490864,5.158248120087558,0.9885745212519541
6,-25.0,0.0,93.48873733944585,172.0453092851396,0.6682179415968221,0.9998564000539792,93.48873739692331,0.9905374787412584
6,-25.0,0.02,14.338769109444812,19.432615498783054,0.24715220800544457,0.32911103470258163,14.350867259973263,0.9891183310765773
6,-25.0,0.05,5.604773539286621,7.630227997808439,0.09678949018595684,0.13145247795667847,5.604716594560555,0.9884795998279006
2,10.0,0.0,86.51126244739396,175.9820876367277,0.6684377050493717,0.9998513480710399,86.51126260307669,0.39619755682442337
2,10.0,0.02,5.044261138914932,7.6344907175383545,0.08800255146090508,0.13312648427005902,5.039347675474479,0.3958128876462579
2,10.0,0.05,2.178717196431612,3.060369538068019,0.03770991150141689,0.05323606432574368,2.173688908998935,0.3953219346702099
5,-10.0,0.0,93.48873733950941,172.05256628987652,0.6683121346365302,0.9998542456306897,93.48873739692331,0.3961925769317895
5,-10.0,0.02,5.496731769217622,7.652470294772513,0.09558134528267082,0.13262097198813472,5.496724065703694,0.39575197842810306
5,-10.0,0.05,2.220100404534142,3.0563166879994985,0.03850149809455272,0.05279038362399602,2.220080101497696,0.3954533743625507
12,1.0,0.0,86.5112628734573,175.97773355964048,0.668381195288358,0.9998526555720084,86.51126260307669,0.03963472021650523
12,1.0,0.02,0.5469651108310594,0.7643551586678453,0.009533050693085854,0.013331820373574832,0.546474076282162,0.03954486845619976
12,1.0,0.05,0.22451237998391135,0.3054633103895987,0.0038851595041333176,0.005301478934682136,0.22402624605996402,0.03958439126983285
13,-1.0,0.0,93.48873797858752,172.0569207928746,0.6683686436806611,0.9998529453151545,93.48873739692331,0.03959999298863113
13,-1.0,0.02,0.557064763411922,0.7638428826471588,0.00970369029781215,0.013315319948081994,0.5565717193939839,0.03959821106959134
13,-1.0,0.05,0.22448504937576852,0.3055368887426885,0.003899242123532376,0.005295468527843239,0.2239980370983013,0.0395921814898029
7,10.0,0.0,88.04007740295668,179.01721110009024,0.743581304138383,0.9975358964968227,88.04007747015068,0.45090124689228833
7,10.0,0.02,2.6961881610201743,3.8206939503429287,0.047028407179840026,0.06667133468610886,2.6962005362504984,0.4521150538660586
7,10.0,0.05,1.046039113064798,1.5257406194049397,0.018182142885144192,0.026541619099848646,1.045760896831717,0.45329110650438814
8,-10.0,0.0,91.95992259704708,175.096847825255,0.743574117369672,0.9975366508193815,91.95992252984935,0.45091747009474786
8,-10.0,0.02,2.5626637975285536,3.815203254741851,0.044584275336749746,0.0664117804146005,2.562676068550001,0.452069723861292
8,-10.0,0.05,1.0396577542570458,1.5256208054722065,0.018144762625764865,0.026480303276804174,1.0394547820813385,0.45334477270487694
