alt_km,i_deg,e,period_min,RAAN_dot_deg_day,argp_dot_deg_day,Mdot_minus_n_deg_day,Mdot_rel_corr,v_circ,dv_per_deg_plane
300.0,0.0,0.0,90.37454859633189,-8.515221979132132,17.030443958264264,8.51522197913194,0.0014844894725339756,7729.891847355842,134.91035120908407
300.0,0.0,0.3,90.37454859633189,-10.282842626653945,20.56568525330789,9.80920668356606,0.001710074510253481,7729.891847355842,134.91035120908407
300.0,28.5,0.0,90.37454859633189,-7.483322793376606,12.183569336415692,5.607097206022496,0.0009775055534915836,7729.891847355842,134.91035120908407
300.0,28.5,0.3,90.37454859633189,-9.0367380671134,14.712678826730698,6.459159317691654,0.001126048625864534,7729.891847355842,134.91035120908407
300.0,45.0,0.0,90.37454859633189,-6.021171204753066,6.386416484349103,2.128805494782985,0.0003711223681334939,7729.891847355842,134.91035120908407
300.0,45.0,0.3,90.37454859633189,-7.271067751181095,7.712131969990461,2.452301670891247,0.00042751862756332346,7729.891847355842,134.91035120908407
300.0,51.6,0.0,90.37454859633189,-5.289211230915005,3.9558435491988453,0.6704617336923608,0.00011688402109097454,7729.891847355842,134.91035120908407
300.0,51.6,0.3,90.37454859633189,-6.387164872497287,4.777011893731245,0.7723460099262724,0.0001346458757856191,7729.891847355842,134.91035120908407
300.0,63.4,0.0,90.37454859633189,-3.8127680261208474,0.010392844225678682,-1.6968086892910257,-0.0002958108012133681,7729.891847355842,134.91035120908407
300.0,63.4,0.3,90.37454859633189,-4.604236234900189,0.012550228505831037,-1.9546580437385461,-0.0003407626125830638,7729.891847355842,134.91035120908407
300.0,90.0,0.0,90.37454859633189,-5.214069670386678e-16,-4.257610989566066,-4.25761098956597,-0.0007422447362669878,7729.891847355842,134.91035120908407
300.0,90.0,0.3,90.37454859633189,-6.296425154433858e-16,-5.141421313326973,-4.904603341783567,-0.000855037255126834,7729.891847355842,134.91035120908407
300.0,97.4,0.0,90.37454859633189,1.096723094792699,-3.9044782263805247,-4.045731331655133,-0.0007053069885037988,7729.891847355842,134.91035120908407
300.0,97.4,0.3,90.37454859633189,1.3243848506130889,-4.714983970994474,-4.660526163103437,-0.000812486397013634,7729.891847355842,134.91035120908407
400.0,0.0,0.0,92.41425159967987,-8.083127287998341,16.166254575996682,8.083127287998309,0.0014409648127031518,7672.598648385013,133.91040893981537
400.0,0.0,0.3,92.41425159967987,-9.761052153119602,19.522104306239203,9.311450295936579,0.0016599357839633423,7672.598648385013,133.91040893981537
400.0,28.5,0.0,92.41425159967987,-7.103590584517846,11.565328773547568,5.322571806528676,0.000948845466986697,7672.598648385013,133.91040893981537
400.0,28.5,0.3,92.41425159967987,-8.578179669747428,13.966101646597714,6.131397051810557,0.0010930333136642675,7672.598648385013,133.91040893981537
400.0,45.0,0.0,92.41425159967987,-5.715634118537656,6.0623454659987575,2.020781821999846,0.00036024120317583577,7672.598648385013,133.91040893981537
400.0,45.0,0.3,92.41425159967987,-6.902106168986421,7.3207891148397035,2.327862573983608,0.0004149839459907399,7672.598648385013,133.91040893981537
400.0,51.6,0.0,92.41425159967987,-5.020816572647208,3.755109029211747,0.6364399599276422,0.00011345702659113291,7672.598648385013,133.91040893981537
400.0,51.6,0.3,92.41425159967987,-6.0630558780910615,4.534608174389261,0.7331542411823225,0.00013069811054397288,7672.598648385013,133.91040893981537
400.0,63.4,0.0,92.41425159967987,-3.619293701358806,0.0098654718533904,-1.6107061744878624,-0.00028713774240408794,7672.598648385013,133.91040893981537
400.0,63.4,0.3,92.41425159967987,-4.3705998084274915,0.011913382264690736,-1.8554712737693286,-0.000330771583970095,7672.598648385013,133.91040893981537
400.0,90.0,0.0,92.41425159967987,-4.949487980173897e-16,-4.0415636439991705,-4.041563643999692,-0.0007204824063516715,7672.598648385013,133.91040893981537
