alt_km,box_pos_km,box_vel_ms,di_free_at_node_deg,di_pos_bound_at_antinode_deg,binding,frac_no_plane_burn_needed_dimax0.05,frac_no_plane_burn_needed_dimax0.25,frac_no_plane_burn_needed_dimax0.75,frac_no_plane_burn_needed_dimax1.0,frac_no_plane_burn_needed_dimax2.0
550,30,50,0.37749,0.24836,velocity_at_node,1.0,1.0,0.2533,0.1425,0.0356
550,10,10,0.0755,0.08279,velocity_at_node,1.0,0.0912,0.0101,0.0057,0.0014
550,5,2,0.0151,0.04139,velocity_at_node,0.0912,0.0036,0.0004,0.0002,0.0001
550,5,1,0.00755,0.04139,velocity_at_node,0.0228,0.0009,0.0001,0.0001,0.0
2000,30,50,0.41516,0.20534,velocity_at_node,1.0,1.0,0.3064,0.1724,0.0431
8000,30,50,0.54396,0.11961,velocity_at_node,1.0,1.0,0.526,0.2959,0.074
20200,30,50,0.73966,0.06469,velocity_at_node,1.0,1.0,0.9726,0.5471,0.1368
