e_max,n,frac_crossing_exists,relvel_p10,relvel_p50,relvel_p90,frac_relvel_under_50,frac_relvel_under_1,dv_e_full_match_p50
0.01,4000,1.0,19.361464637348615,53.604403440823575,95.30615737263187,0.45575,0.00075,18.91684698055846
0.025,4000,1.0,48.40377739221766,134.01494979598408,238.30538237879017,0.10625,0.00025,47.29211745139614
0.05,4000,1.0,96.81302101689096,268.0697524368184,476.9253042161628,0.0345,0.00025,94.58423490279228
0.084,4000,1.0,162.6799950957769,450.54418796471117,802.3950222459301,0.0145,0.0,158.90151463669105
