sampler,di_max_deg,i_t_deg,p50_deg,p90_deg,max_deg,ratio_max_over_knob,ratio_p90_over_knob,frac_over_knob,inc_s_max_deg,dv_p90_ms,dv_max_ms,dv_max_frac_budget
S_A_ivec_disc,0.75,89.0,1.192151,6.775506,8.326546,11.1021,9.034,0.98177,90.0,896.91,1101.91,2.3046
S_C_rotation,0.75,89.0,0.530931,0.711714,0.749992,1.0,0.949,0.0,89.7492,94.27,99.34,0.2078
S_A_ivec_disc,0.75,90.0,0.725348,7.709141,9.272543,12.3634,10.2789,0.49635,90.0,1020.33,1226.84,2.5659
S_C_rotation,0.75,90.0,0.530931,0.711714,0.749992,1.0,0.949,0.0,90.7492,94.27,99.34,0.2078
S_A_ivec_disc,0.75,98.0,16.001131,19.117477,20.258091,27.0108,25.49,1.0,90.0,2520.44,2669.29,5.5828
S_C_rotation,0.75,98.0,0.530931,0.711714,0.749992,1.0,0.949,0.0,98.7492,94.27,99.34,0.2078
S_A_ivec_disc,1.0,0.0,0.707925,0.948995,1.00004,1.0,0.949,7e-05,1.0,125.7,132.46,0.277
S_C_rotation,1.0,0.0,0.707907,0.948952,0.99999,1.0,0.949,0.0,1.0,125.69,132.45,0.277
S_A_ivec_disc,1.0,5.0,0.709235,0.950779,1.004512,1.0045,0.9508,0.0038,6.0043,125.93,133.05,0.2783
S_C_rotation,1.0,5.0,0.707907,0.948952,0.99999,1.0,0.949,0.0,5.9972,125.69,132.45,0.277
S_A_ivec_disc,1.0,28.5,0.756439,1.015823,1.143955,1.144,1.0158,0.1247,29.6437,134.55,151.52,0.3169
S_C_rotation,1.0,28.5,0.707907,0.948952,0.99999,1.0,0.949,0.0,29.499,125.69,132.45,0.277
S_A_ivec_disc,1.0,51.6,0.897818,1.353974,1.639262,1.6393,1.354,0.3803,53.2391,179.33,217.12,0.4541
S_C_rotation,1.0,51.6,0.707907,0.948952,0.99999,1.0,0.949,0.0,52.599,125.69,132.45,0.277
S_A_ivec_disc,1.0,80.0,2.407975,5.466862,10.011533,10.0115,5.4669,0.82657,90.0,723.83,1324.37,2.7699
S_C_rotation,1.0,80.0,0.707907,0.948952,0.99999,1.0,0.949,0.0,80.999,125.69,132.45,0.277
S_A_ivec_disc,1.0,89.0,1.333632,7.962395,9.757774,9.7578,7.9624,0.982,90.0,1053.79,1290.89,2.6999
S_C_rotation,1.0,89.0,0.707907,0.948952,0.99999,1.0,0.949,0.0,89.999,125.69,132.45,0.277
S_A_ivec_disc,1.0,90.0,0.961176,8.903993,10.710919,10.7109,8.904,0.49488,90.0,1178.17,1416.63,2.9629
S_C_rotation,1.0,90.0,0.707907,0.948952,0.99999,1.0,0.949,0.0,90.999,125.69,132.45,0.277
S_A_ivec_disc,1.0,98.0,15.998357,19.97882,21.382777,21.3828,19.9788,1.0,90.0,2632.87,2815.81,5.8892
S_C_rotation,1.0,98.0,0.707907,0.948952,0.99999,1.0,0.949,0.0,98.999,125.69,132.45,0.277
S_A_ivec_disc,2.0,0.0,1.415959,1.898251,2.000386,1.0002,0.9491,0.0005,2.0004,251.42,264.94,0.5541
S_C_rotation,2.0,0.0,1.415815,1.897904,1.999979,1.0,0.949,0.0,2.0,251.37,264.89,0.554
S_A_ivec_disc,2.0,5.0,1.418834,1.901778,2.01088,1.0054,0.9509,0.0041,7.0105,251.88,266.33,0.557
S_C_rotation,2.0,5.0,1.415815,1.897904,1.999979,1.0,0.949,0.0,6.9949,251.37,264.89,0.554
S_A_ivec_disc,2.0,28.5,1.512506,2.032601,2.301058,1.1505,1.0163,0.12525,30.8006,269.21,304.76,0.6374
S_C_rotation,2.0,28.5,1.415815,1.897904,1.999979,1.0,0.949,0.0,30.4979,251.37,264.89,0.554
S_A_ivec_disc,2.0,51.6,1.79633,2.711976,3.343876,1.6719,1.356,0.3809,54.9436,359.18,442.84,0.9262
S_C_rotation,2.0,51.6,1.415815,1.897904,1.999979,1.0,0.949,0.0,53.5979,251.37,264.89,0.554
S_A_ivec_disc,2.0,80.0,4.8196,10.030076,10.160262,5.0801,5.015,0.8262,90.0,1326.82,1343.99,2.8109
S_C_rotation,2.0,80.0,1.415815,1.897904,1.999979,1.0,0.949,0.0,81.9979,251.37,264.89,0.554
S_A_ivec_disc,2.0,89.0,2.040991,11.648973,14.203066,7.1015,5.8245,0.50735,90.0,1540.29,1876.43,3.9245
S_C_rotation,2.0,89.0,1.415815,1.897904,1.999979,1.0,0.949,0.0,90.9979,251.37,264.89,0.554
S_A_ivec_disc,2.0,90.0,1.867436,12.604884,15.169749,7.5849,6.3024,0.48905,90.0,1666.19,2003.42,4.1901
S_C_rotation,2.0,90.0,1.415815,1.897904,1.999979,1.0,0.949,0.0,91.9979,251.37,264.89,0.554
S_A_ivec_disc,2.0,98.0,15.968806,22.93852,25.171958,12.586,11.4693,1.0,90.0,3018.03,3307.35,6.9173
S_C_rotation,2.0,98.0,1.415815,1.897904,1.999979,1.0,0.949,0.0,99.9979,251.37,264.89,0.554
