level,corr,explained_var,unexpl_rms,truth_rms
ekf1x,0.9999999783596595,0.9999999567149804,6.966604029639196e-06,0.03348515531838206
ekf100x,0.999799564800465,0.9995991215465891,0.0006704380817854883,0.03348515531838206
bo_settled_3km,0.996865481608504,0.9936891929048096,0.002660080443234071,0.03348515531838206
unacquired,0.031353335494311435,-10.193899806472611,0.11203224153198305,0.03348515531838206
