v_tol_ms,da_m,di_deg,dv_ms,dv_axis,burn_frac,orbits,sigma_drift_m,sigma_range_m,gain
0.0,0.0,0.0416939,1.0,nor,0.75,1.0,1718.0870364048967,12.603491135772863,18582.690827785475
0.0,0.0,0.0416939,1.0,perp_los,0.75,1.0,1718.0870364048967,12.53262524845492,18793.4371003622
0.0,0.0,0.0416939,1.0,pro,0.95,1.0,1718.0870364048967,294.5456287074153,34.0239834287183
0.0,0.0,0.0416939,1.0,rad,0.95,1.0,1718.0870364048967,82.3982560063189,434.76470731420847
0.0,0.0,0.0416939,1.0,nor,0.95,1.0,1718.0870364048967,81.68141604432327,442.42922363756145
0.0,0.0,0.0416939,1.0,perp_los,0.95,1.0,1718.0870364048967,82.68796071827983,431.72356955479495
1.0,601.4087963297178,0.0,1.0,pro,0.0,1.0,2354.0562577687306,2354.0562577687306,1.0
1.0,601.4087963297178,0.0,1.0,rad,0.0,1.0,2354.0562577687306,2354.0562577687306,1.0
1.0,601.4087963297178,0.0,1.0,nor,0.0,1.0,2354.0562577687306,2354.0562577687306,1.0
1.0,601.4087963297178,0.0,1.0,perp_los,0.0,1.0,2354.0562577687306,2354.0562577687306,1.0
1.0,601.4087963297178,0.0,1.0,pro,0.05,1.0,2354.0562577687306,448.15023107632425,27.592206117902993
1.0,601.4087963297178,0.0,1.0,rad,0.05,1.0,2354.0562577687306,67.60047682874762,1212.6463290182373
1.0,601.4087963297178,0.0,1.0,nor,0.05,1.0,2354.0562577687306,64.21494516371835,1343.8829466593334
1.0,601.4087963297178,0.0,1.0,perp_los,0.05,1.0,2354.0562577687306,67.39780702644119,1219.9503147525313
1.0,601.4087963297178,0.0,1.0,pro,0.1,1.0,2354.0562577687306,108.5577708190214,470.2316333502624
1.0,601.4087963297178,0.0,1.0,rad,0.1,1.0,2354.0562577687306,35.163900445423515,4481.667074319609
1.0,601.4087963297178,0.0,1.0,nor,0.1,1.0,2354.0562577687306,31.543441526584736,5569.491237570896
1.0,601.4087963297178,0.0,1.0,perp_los,0.1,1.0,2354.0562577687306,33.6580393844165,4891.657557337515
1.0,601.4087963297178,0.0,1.0,pro,0.2,1.0,2354.0562577687306,24.259182293450184,9416.32325442488
1.0,601.4087963297178,0.0,1.0,rad,0.2,1.0,2354.0562577687306,20.375353682006967,13348.220211618263
1.0,601.4087963297178,0.0,1.0,nor,0.2,1.0,2354.0562577687306,15.22818853082488,23896.65893664092
1.0,601.4087963297178,0.0,1.0,perp_los,0.2,1.0,2354.0562577687306,16.93782486062033,19316.05348284745
1.0,601.4087963297178,0.0,1.0,pro,0.35,1.0,2354.0562577687306,11.469910233023501,42122.45131528915
1.0,601.4087963297178,0.0,1.0,rad,0.35,1.0,2354.0562577687306,25.140240197509144,8767.884687981821
1.0,601.4087963297178,0.0,1.0,nor,0.35,1.0,2354.0562577687306,12.492149442319496,35510.7081455032
1.0,601.4087963297178,0.0,1.0,perp_los,0.35,1.0,2354.0562577687306,16.684347928753827,19907.430089434656
1.0,601.4087963297178,0.0,1.0,pro,0.5,1.0,2354.0562577687306,9.10516328240958,66843.34859275332
1.0,601.4087963297178,0.0,1.0,rad,0.5,1.0,2354.0562577687306,33.730902169343324,4870.547251064175
1.0,601.4087963297178,0.0,1.0,nor,0.5,1.0,2354.0562577687306,13.604190811506903,29942.512919710058
1.0,601.4087963297178,0.0,1.0,perp_los,0.5,1.0,2354.0562577687306,20.738214279773995,12885.193946333384
1.0,601.4087963297178,0.0,1.0,pro,0.75,1.0,2354.0562577687306,14.932754783806027,24851.56871684695
1.0,601.4087963297178,0.0,1.0,rad,0.75,1.0,2354.0562577687306,25.682798609772888,8401.34815531109
1.0,601.4087963297178,0.0,1.0,nor,0.75,1.0,2354.0562577687306,19.454128132962843,14642.327994564672
1.0,601.4087963297178,0.0,1.0,perp_los,0.75,1.0,2354.0562577687306,17.754456489375304,17580.001634225842
1.0,601.4087963297178,0.0,1.0,pro,0.95,1.0,2354.0562577687306,621.798309489495,14.332917498834288
1.0,601.4087963297178,0.0,1.0,rad,0.95,1.0,2354.0562577687306,178.4111395157255,174.0963799821327
1.0,601.4087963297178,0.0,1.0,nor,0.95,1.0,2354.0562577687306,167.401044914293,197.7503887576057
1.0,601.4087963297178,0.0,1.0,perp_los,0.95,1.0,2354.0562577687306,161.31354855111124,212.9570319663569
1.0,601.4087963297178,0.0416939,1.0,pro,0.0,1.0,1197.1537495539649,1197.1537495539649,1.0
1.0,601.4087963297178,0.0416939,1.0,rad,0.0,1.0,1197.1537495539649,1197.1537495539649,1.0
1.0,601.4087963297178,0.0416939,1.0,nor,0.0,1.0,1197.1537495539649,1197.1537495539649,1.0
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.0,1.0,1197.1537495539649,1197.1537495539649,1.0
1.0,601.4087963297178,0.0416939,1.0,pro,0.05,1.0,1197.1537495539649,365.2847793746705,10.74080191433491
1.0,601.4087963297178,0.0416939,1.0,rad,0.05,1.0,1197.1537495539649,67.63512681892843,313.296283334666
1.0,601.4087963297178,0.0416939,1.0,nor,0.05,1.0,1197.1537495539649,65.84601093429359,330.5528611705078
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.05,1.0,1197.1537495539649,69.43468852530005,297.26712088692784
1.0,601.4087963297178,0.0416939,1.0,pro,0.1,1.0,1197.1537495539649,98.72813070767427,147.03408784088356
1.0,601.4087963297178,0.0416939,1.0,rad,0.1,1.0,1197.1537495539649,35.54058070033725,1134.6210099627779
1.0,601.4087963297178,0.0416939,1.0,nor,0.1,1.0,1197.1537495539649,32.929477319582524,1321.6917694756603
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.1,1.0,1197.1537495539649,35.28471747013971,1151.1358291255851
1.0,601.4087963297178,0.0416939,1.0,pro,0.2,1.0,1197.1537495539649,23.095764978217222,2686.79887107231
1.0,601.4087963297178,0.0416939,1.0,rad,0.2,1.0,1197.1537495539649,20.622856648429043,3369.785166884287
1.0,601.4087963297178,0.0416939,1.0,nor,0.2,1.0,1197.1537495539649,16.025081439414798,5580.837403744108
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.2,1.0,1197.1537495539649,18.21668894232685,4318.778940238765
1.0,601.4087963297178,0.0416939,1.0,pro,0.35,1.0,1197.1537495539649,11.22162020600936,11381.217637625492
1.0,601.4087963297178,0.0416939,1.0,rad,0.35,1.0,1197.1537495539649,24.43974527582985,2399.4213004892927
1.0,601.4087963297178,0.0416939,1.0,nor,0.35,1.0,1197.1537495539649,14.579740841459303,6742.1785799688605
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.35,1.0,1197.1537495539649,17.59473852229922,4629.501466203663
1.0,601.4087963297178,0.0416939,1.0,pro,0.5,1.0,1197.1537495539649,8.97012709264083,17811.58909001293
1.0,601.4087963297178,0.0416939,1.0,rad,0.5,1.0,1197.1537495539649,30.232758271849523,1567.993712651466
1.0,601.4087963297178,0.0416939,1.0,nor,0.5,1.0,1197.1537495539649,22.46740722874005,2839.1866613310985
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.5,1.0,1197.1537495539649,20.42367309429437,3435.8338916121716
1.0,601.4087963297178,0.0416939,1.0,pro,0.75,1.0,1197.1537495539649,14.522969877323233,6794.992583560838
1.0,601.4087963297178,0.0416939,1.0,rad,0.75,1.0,1197.1537495539649,25.354146119926472,2229.4712812294474
1.0,601.4087963297178,0.0416939,1.0,nor,0.75,1.0,1197.1537495539649,21.18266850963611,3194.0265388734774
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.75,1.0,1197.1537495539649,18.149806476735627,4350.667191482639
1.0,601.4087963297178,0.0416939,1.0,pro,0.95,1.0,1197.1537495539649,545.1363377522666,4.822692766524964
1.0,601.4087963297178,0.0416939,1.0,rad,0.95,1.0,1197.1537495539649,175.18051979108424,46.701221389223626
1.0,601.4087963297178,0.0416939,1.0,nor,0.95,1.0,1197.1537495539649,169.32360713218455,49.98789359320122
1.0,601.4087963297178,0.0416939,1.0,perp_los,0.95,1.0,1197.1537495539649,161.46521323666198,54.97204828303268
10.0,6014.087963297177,0.0,1.0,pro,0.0,1.0,456.7992682129591,456.7992682129591,1.0
10.0,6014.087963297177,0.0,1.0,rad,0.0,1.0,456.7992682129591,456.7992682129591,1.0
10.0,6014.087963297177,0.0,1.0,nor,0.0,1.0,456.7992682129591,456.7992682129591,1.0
10.0,6014.087963297177,0.0,1.0,perp_los,0.0,1.0,456.7992682129591,456.7992682129591,1.0
10.0,6014.087963297177,0.0,1.0,pro,0.05,1.0,456.7992682129591,248.17427881276586,3.3879521038496616
10.0,6014.087963297177,0.0,1.0,rad,0.05,1.0,456.7992682129591,194.67082631819838,5.506162880790022
10.0,6014.087963297177,0.0,1.0,nor,0.05,1.0,456.7992682129591,174.35532276781197,6.864049055757151
10.0,6014.087963297177,0.0,1.0,perp_los,0.05,1.0,456.7992682129591,252.26055583052732,3.2790806798934167
