rung,ep,cause,cause_name,success,steps,ep_reward,init_attempts,di_rel_deg,da0_km,de0,e_sat0,e_tgt0,e_max_pair,a_sat_km,a_tgt_km,band_pos,dlam0_deg,rp_sat_km,rp_tgt_km,dv_spent,dv_frac_budget,fuel_end,exhausted,n_decisions,n_normal,n_combined,n_plane,frac_plane,n_warp,frac_warp,n_inplane,n_coast,dv_normal_cmd,di_end_deg,de_end,da_end_km,r_min_km,relv_at_rmin,r_min_velok_km,need_seq,need_comb,margin_seq,margin_comb,feas_seq,feas_comb,dv_pl,dv_hoh,dv_e,t_hoh_steps
W3,1,4,safety_cap,0,3000,0.0,4,0.3913037787058519,322.184,0.24018678599580096,0.1151995062828064,0.13323207199573517,0.13323207199573517,1944.2845,1622.1005,0.9672261764705883,-76.1398334285411,986.3678309989274,557.1631587148532,450.0,0.941166868495669,0.009515931829810143,0,198,0,0,0,0.0,70,0.35353535353535354,46,82,0.0,0.3913037787058519,0.1165698629157678,25.374,86.616015625,894.0036010742188,nan,1023.21543404117,979.0211429204554,-545.0855560533637,-500.89126493264905,0,0,45.42197670874789,138.14494458506027,839.6485127473618,61.06623915289372
W3,2,1,success,1,210,5.7131147384643555,1,0.49623287999529014,255.1815,0.09753353789782863,0.11015217006206512,0.081498883664608,0.11015217006206512,1474.8195,1730.001,0.6910702941176471,74.18627179730125,610.5854561597332,1069.7784619341269,405.0,0.847050181646102,0.024550843983888626,0,26,3,0,3,0.11538461538461539,7,0.2692307692307692,16,0,60.0,0.26686328155692024,0.004115345047370251,3.9465,26.27365234375,49.93121337890625,26.27365234375,515.027104784294,462.64655560144695,-36.897226796487644,15.483322386359418,0,1,57.07191875640747,113.15236125203587,344.80282477585064,59.046736547126514
W3,3,4,safety_cap,0,3000,0.0,1,0.7098553705804899,124.469,0.1406622247419426,0.10225384682416916,0.12488947808742523,0.12488947808742523,1730.785,1606.316,0.8416382352941176,179.933836183976,902.3463176076486,610.0331682215333,464.0,0.9704476155155343,0.004791306797415018,0,141,17,0,17,0.12056737588652482,57,0.40425531914893614,24,43,17.0,0.5795202600952786,0.020716629043312812,3.076,121.0352421875,126.35533142089844,151.7580625,633.5624968054947,556.7763028296253,-155.4326188176883,-78.64642484181888,0,0,83.83161228329621,54.508245184056875,495.2226393381416,59.7829560850826
W3,4,4,safety_cap,0,3000,0.0,1,0.28470813793935706,271.883,0.198625839718726,0.11402977257966995,0.0862504094839096,0.11402977257966995,1550.8165,1278.9335,0.7357744117647059,-9.497571357922075,647.493566087123,619.1236031003222,470.0,0.9829965070954765,0.0027595749124884605,0,124,0,0,0,0.0,69,0.5564516129032258,52,3,0.0,0.28470813793935706,0.0736244538923876,0.642,326.82271875,1725.3992919921875,nan,870.1777657587927,836.3792250509053,-392.04788777098634,-358.249347063099,0,0,34.642475922101674,124.94228982530228,710.5930000113888,56.975858124200286
W3,5,4,safety_cap,0,3000,0.0,3,0.9755487687986338,271.736,0.18515817509472682,0.09281449019908905,0.09993813931941986,0.09993813931941986,1558.9085,1287.1725,0.7405344117647059,139.0166947852527,822.898085247077,521.8289897628501,463.0,0.9683561335855438,0.005129525903612375,0,373,9,0,9,0.024128686327077747,219,0.5871313672922251,48,97,9.0,0.9085055528964928,0.06397469365696785,4.014,226.292296875,304.627685546875,489.1914375,897.0283061103673,795.8658903300623,-418.898428122561,-317.7360123422559,0,0,110.28506872679135,124.67850368438474,662.0647336991913,57.06551246523019
W3,6,1,success,1,780,5.7131147384643555,1,0.7136920692641858,225.309,0.07758153119697449,0.11714762449264526,0.10438566654920578,0.11714762449264526,1842.847,1617.538,0.9075570588235294,-36.25423749661432,880.6143360039591,783.6491361163407,405.0,0.847050181646102,0.024550843983888626,0,29,4,0,4,0.13793103448275862,10,0.3448275862068966,15,0,85.0,0.16518652425117164,0.0013914202472199155,29.5505,13.81967578125,342.58953857421875,29.443419921875,448.88822935305063,380.9499785620666,29.241648634755734,97.17989942573979,1,1,79.24224821314584,97.5496016727047,272.0963794672001,60.471837096971655
W3,7,1,success,1,836,6.4631123542785645,1,0.6074031199996803,291.525,0.0616495956731429,0.13592912256717682,0.13639891147613525,0.13639891147613525,1755.987,1464.462,0.8564629411764706,84.2826653771842,651.2927879751473,395.7135122873783,330.0,0.6901890368968239,0.04910358786582947,0,7,0,0,0,0.0,7,1.0,0,0,0.0,0.012616198162919928,0.0022804478128275137,7.974,29.452451171875,38.3391227722168,29.452451171875,412.33433321566076,356.52968160893545,65.7955447721456,121.60019637887092,1,1,65.41425428479377,129.08171764458922,217.83836128627777,59.13355993455734
W3,8,1,success,1,449,6.6081862449646,1,0.8975284784049302,199.843,0.019882490484984125,0.02108205296099186,0.008604449220001698,0.02108205296099186,914.3255,714.4825,0.3613679411764706,-152.40800687516463,760.7358819709355,653.5158256295398,315.71067810058594,0.6603031783523836,0.05371090769767761,0,22,8,2,10,0.45454545454545453,8,0.36363636363636365,4,0,220.0,0.16938734405478076,0.0026730343890319173,5.916,28.70702734375,36.76298904418945,28.70702734375,291.07707036227214,239.05789733811943,187.05280762553423,239.07198064968694,1,1,113.45247512635726,103.58158278331288,74.043012452602,50.51339071655968
W3,9,1,success,1,706,6.506586074829102,1,0.4718417942214986,103.7705,0.043349327478820594,0.04346079379320145,0.0008709171088412404,0.04346079379320145,549.151,445.3805,0.14655941176470588,39.47079938006811,248.3957443711832,439.4439976021778,325.71067810058594,0.6812179976522874,0.050488948822021484,0,8,0,0,0,0.0,8,1.0,0,0,0.0,0.05367666242845176,0.005673740976312265,25.372,28.771921875,26.483713150024414,28.771921875,282.5900782978081,233.20608662400574,195.5397996899983,244.92379136380063,1,1,59.920014312435114,57.55081256109181,165.11925142428115,47.206344402938534
W3,10,1,success,1,1649,5.709607124328613,4,0.755060550715396,390.7615,0.02747834369458738,0.017133217304944992,0.0130934352055192,0.017133217304944992,1120.314,729.5525,0.4825376470588235,-127.18993037189219,991.9636893384234,636.581875917863,405.35533905029297,0.8477933668488098,0.024433020502328873,0,14,0,0,0,0.0,14,1.0,0,0,0.0,0.1031134248986586,0.0030073139967884722,15.379,29.686798828125,37.14543533325195,29.686798828125,394.98030792211324,337.3506811992992,83.14957006569313,140.7791967885072,1,1,95.43683227431676,197.99135018745167,101.5521254603448,51.68339243194743
W3,11,1,success,1,2111,6.4631123542785645,1,0.7483606153872896,169.8255,0.051282622498849885,0.15555903315544128,0.13286396861076355,0.15555903315544128,1655.566,1825.3915,0.7973917647058824,-175.30246662201478,406.9611534816623,736.3863970224709,330.0,0.6901890368968239,0.04910358786582947,0,12,0,0,0,0.0,12,1.0,0,0,0.0,0.12190804443159078,0.0016819943828072937,10.6855,29.965884765625,29.716867446899414,29.965884765625,331.9983011249901,269.67243073353995,146.13157686281625,208.4574472542664,1,1,78.86696927566362,73.38538715558238,179.74594469374415,60.58704714348039
W3,12,1,success,1,2080,5.126731872558594,2,0.62691296839444,373.8725,0.11668435318660403,0.05872555077075958,0.06566678732633591,0.06566678732633591,1705.662,1331.7895,0.82686,-111.43286781450037,1231.3555756607354,825.9720600839667,465.0,0.9725390974455246,0.004452972672879696,0,65,4,0,4,0.06153846153846154,41,0.6307692307692307,20,0,40.0,0.3040238061904473,0.0008155075973121416,10.99,29.986572265625,32.416961669921875,29.986572265625,655.8925655427889,589.467895587137,-177.76268755498256,-111.33801759933067,0,0,72.75931297401316,168.446118104216,414.68713446455985,58.11959713830855
W3,13,1,success,1,1446,5.861588478088379,2,0.9943154605951846,323.0905,0.063535960919559,0.07333669066429138,0.03465831279754639,0.07333669066429138,1130.6205,1453.711,0.48860029411764705,122.81211080967792,580.4764779105932,1182.519718611598,390.0,0.8156779526962464,0.029511593282222748,0,13,0,0,0,0.0,9,0.6923076923076923,4,0,0.0,0.07169384101519254,0.004380454792111205,33.9675,29.287232421875,26.987308502197266,29.287232421875,498.8187292826106,409.61510247052144,-20.688851294804238,68.51477551728493,0,1,117.64041857672252,152.06285589485285,229.11545481103525,55.634227647884885
W3,14,4,safety_cap,0,3000,0.0,1,0.7116123300227698,288.7055,0.13733236461188467,0.1387302279472351,0.1252630203962326,0.1387302279472351,1475.6985,1764.404,0.6915873529411765,95.48210111022836,387.1242284617722,745.3387228164077,454.0,0.9495327962156305,0.008168332278728485,0,425,17,0,17,0.04,87,0.20470588235294118,45,276,17.0,0.5776387564223515,0.015273213437505305,3.3895,60.5018828125,115.42096710205078,120.33103125,690.0125722592509,618.7072875849326,-211.8826942714445,-140.57740959712623,0,0,77.45097784048856,127.59722483654201,484.9643695822203,59.24280436277183
