a_err_m,acq_err_hand_m,acq_err_m,acq_fail,acq_min,acq_nodes,acq_s,arc_min,arm,di_deg,e_err,fails,inc_err_deg,n_obs,nees,nees_in,plane_err_deg,pos_final_m,pos_rmse_m,rho0_m,rho_mean_m,scenario,seeds,vel_final_ms,vel_rmse_ms,wall_s,zmax_m
0.22510129492729902,nan,nan,0,0.0,0.0,0.0,277.0,RB3-EKF,0.0,1.439696980899208e-07,0,1.594977908760827e-05,278,0.7752777436028722,0.9946043165467626,1.5959427954973963e-05,6.12190343243215,6.144512344313204,10189.288204268101,38291.90746486309,N0_10km_coplanar,12,0.006475195962482351,0.005607282480660198,2.2,0.0
698.8270667069592,nan,nan,0,0.0,0.0,0.0,277.0,BO3-EKF,0.0,1.1168256897096463e-06,0,4.2048635029833895e-05,278,34007.63587214412,0.008992805755395683,4.2047383190943697e-05,24274.97742876458,23734.951013627462,10189.288204268101,38291.90746486309,N0_10km_coplanar,12,27.512668245924296,26.891125308209055,2.1,0.0
46.453137944918126,nan,nan,0,0.0,0.0,0.0,277.0,BO3-MSC-o,0.0,4.331799185296062e-07,0,1.668434292895675e-05,278,7.253157925767782,0.4046762589928058,1.6667320161321792e-05,1322.158993482894,1423.5215233041513,10189.288204268101,38291.90746486309,N0_10km_coplanar,12,1.498855658708064,1.6113596099786394,3.5,0.0
40.89805479021743,2319.2170118591666,718.0876877937278,0,114.0,4320.0,1.5569651126861572,277.0,BO3-BLS-MSC,0.0,3.0215325512786533e-07,0,2.0933458818364443e-05,278,0.822811211923037,0.8628048780487805,2.0946702797312634e-05,1395.9567448571395,1375.628789703905,10189.288204268101,38291.90746486309,N0_10km_coplanar,12,1.5828853851166864,1.5573297747484773,21.6,0.0
40.89805479021743,2319.2170118591666,718.0876877937278,0,114.0,12960.0,1.777804970741272,277.0,BO3-BLS-FULL,0.0,3.0215325512786533e-07,0,2.0933458818364443e-05,278,0.822811211923037,0.8628048780487805,2.0946702797312634e-05,1395.9567448571395,1375.628789703905,10189.288204268101,38291.90746486309,N0_10km_coplanar,12,1.5828853851166864,1.5573297747484773,24.4,0.0
0.23417492723092437,nan,nan,0,0.0,0.0,0.0,277.0,RB3-EKF,0.04004004004655482,1.3707782957794908e-07,0,1.1891802563576904e-05,278,0.6494123941664061,0.9928057553956835,1.5640378514796213e-05,6.558313916479253,5.417446035089705,10191.47974269188,37308.74140583449,N1_10km_di0p04,12,0.005700599428912276,0.005472184497795237,2.3,4736.499069121536
477.5920192520134,nan,nan,0,0.0,0.0,0.0,277.0,BO3-EKF,0.04004004004655482,8.067114994359794e-07,0,0.01089525206070782,278,25087.013192113387,0.007194244604316547,0.01089567574418282,16811.13602915333,16568.857928577127,10191.47974269188,37308.74140583449,N1_10km_di0p04,12,18.991318719245662,18.770229632364142,2.1,4736.499069121536
31.286564231850207,nan,nan,0,0.0,0.0,0.0,277.0,BO3-MSC-o,0.04004004004655482,2.2445012353984432e-07,0,0.0006985373555779406,278,15.70768723527329,0.20863309352517984,0.0006986200534560745,1068.325723628301,1212.618964386104,10191.47974269188,37308.74140583449,N1_10km_di0p04,12,1.2084209278296365,1.371940108397328,3.2,4736.499069121536
34.81522740563378,2273.0517790726717,734.8624702934355,0,114.0,4320.0,1.6186619997024536,277.0,BO3-BLS-MSC,0.04004004004655482,2.8794264026431315e-07,0,0.0006997289175709777,278,1.5530247788465936,0.7408536585365854,0.0007003449937042288,1144.1931302474477,856.2726198082339,10191.47974269188,37308.74140583449,N1_10km_di0p04,12,1.294564798284573,0.9704716146857474,22.3,4736.499069121536
34.81522740563378,2273.0517790726717,734.8624702934355,0,114.0,12960.0,1.7661975622177124,277.0,BO3-BLS-FULL,0.04004004004655482,2.8794264026431315e-07,0,0.0006997289175709777,278,1.5530247788465936,0.7408536585365854,0.0007003449937042288,1144.1931302474477,856.2726198082339,10191.47974269188,37308.74140583449,N1_10km_di0p04,12,1.294564798284573,0.9704716146857474,24.0,4736.499069121536
0.2431108090095222,nan,nan,0,0.0,0.0,0.0,185.0,RB3-EKF,0.020020020020834372,9.487335600553287e-08,0,4.371311344857706e-06,186,0.7671374030965559,1.0,9.095596661946349e-06,3.6232155849150542,4.7588551877277725,5012.219679923525,14382.784746440582,N2_5km_burns_di0p02,12,0.004464578409405787,0.00457855282524642,1.4,2368.0224858848374
0.6637885854579508,nan,nan,0,0.0,0.0,0.0,185.0,BO3-EKF,0.020020020020834372,1.0249412133621003e-06,0,3.427023273915631e-05,186,3.883582410133523,0.0,3.7252202470661996e-05,29.046913709782288,36.49363068467426,5012.219679923525,14382.784746440582,N2_5km_burns_di0p02,12,0.03046451082057485,0.0362111156753984,1.6,2368.0224858848374
2.0974333197809756,nan,nan,0,0.0,0.0,0.0,185.0,BO3-MSC-o,0.020020020020834372,1.706790369309253e-06,0,3.951592762141983e-05,186,29.243148961931865,0.11021505376344086,4.1524902298714536e-05,31.230986324166164,20.333069034829656,5012.219679923525,14382.784746440582,N2_5km_burns_di0p02,12,0.030321717848427476,0.02062605457997945,2.3,2368.0224858848374
0.1848592273890972,45.017857645121296,15.061154159743392,0,71.0,2880.0,0.8417924642562866,185.0,BO3-BLS-MSC,0.020020020020834372,1.6989580214345993e-07,0,8.417638944330442e-06,186,0.4354612354307821,0.8304347826086956,1.2682350678323112e-05,7.049411780107551,5.085051620512715,5012.219679923525,14382.784746440582,N2_5km_burns_di0p02,12,0.0078121069551345835,0.005467953032623285,12.2,2368.0224858848374
0.1848592273890972,45.017857645121296,15.061154159743392,0,71.0,8640.0,1.0040719509124756,185.0,BO3-BLS-FULL,0.020020020020834372,1.6989580214345993e-07,0,8.417638944330442e-06,186,0.4354612354307821,0.8304347826086956,1.2682350678323112e-05,7.049411780107551,5.085051620512715,5012.219679923525,14382.784746440582,N2_5km_burns_di0p02,12,0.0078121069551345835,0.005467953032623285,14.2,2368.0224858848374
0.28222761442884803,nan,nan,0,0.0,0.0,0.0,185.0,RB3-EKF,0.0,9.03198254696095e-08,0,8.494507257439358e-06,186,0.723780536160276,1.0,8.492229790154894e-06,3.6670487942131054,4.548016322825873,5011.105610535506,14833.02839933864,N2b_5km_burns_coplanar,12,0.004344055882697276,0.004619638472139628,1.4,0.0
0.9980612928047776,nan,nan,0,0.0,0.0,0.0,185.0,BO3-EKF,0.0,1.3284260210000374e-06,1,1.1158628267929515e-05,186,6.063191031217264,0.016129032258064516,1.1164539134006841e-05,20.68141686462719,23.886218666556996,5011.105610535506,14833.02839933864,N2b_5km_burns_coplanar,12,0.02121042455985008,0.019601566189068137,1.3,0.0
2.5247539412230253,nan,nan,0,0.0,0.0,0.0,185.0,BO3-MSC-o,0.0,1.7256566669629405e-06,0,8.524305952570856e-06,186,27.231493294096175,0.11290322580645161,8.532499070805809e-06,27.704563234203462,22.849197672607175,5011.105610535506,14833.02839933864,N2b_5km_burns_coplanar,12,0.02955164405894794,0.023661704287386533,2.3,0.0
0.47054316755384207,26.280802126427655,19.709338348883925,1,44.0,1440.0,0.3080630302429199,185.0,BO3-BLS-MSC,0.0,1.9879097675748122e-07,1,9.343769971335244e-06,186,0.5336841059198134,0.9436619718309859,9.313570918021479e-06,9.120929056075704,13.810075640235704,5011.105610535506,14833.02839933864,N2b_5km_burns_coplanar,12,0.010934262946298262,0.014625088431556015,9.6,0.0
0.47054316755384207,26.280802126427655,19.709338348883925,1,44.0,4320.0,0.33051395416259766,185.0,BO3-BLS-FULL,0.0,1.9879097675748122e-07,1,9.343769971335244e-06,186,0.5336841059198134,0.9436619718309859,9.313570918021479e-06,9.120929056075704,13.810075640235704,5011.105610535506,14833.02839933864,N2b_5km_burns_coplanar,12,0.010934262946298262,0.014625088431556015,10.3,0.0
10.102654709480703,nan,nan,0,0.0,0.0,0.0,139.0,RB3-EKF,0.7507507936978107,4.14308416586337e-07,0,0.006524400190587018,140,1.1494196010397832,0.9821428571428572,0.011360701970588898,1274.7536225287147,1416.7436440027627,13571738.730420072,13569587.979111804,N3_180deg_di0p75,12,1.15843882873243,1.5445959912363705,1.2,88798.30908160827
29829.858246865217,nan,nan,0,0.0,0.0,0.0,139.0,BO3-EKF,0.7507507936978107,0.00011842081914478341,8,0.7506735037705564,140,7.891098042297025e+17,0.0,0.7507911774589036,13564106.471961234,13564373.282257725,13571738.730420072,13569587.979111804,N3_180deg_di0p75,12,15321.764842617316,15323.227068544718,0.4,88798.30908160827
6071.942310576327,nan,nan,0,0.0,0.0,0.0,139.0,BO3-MSC-o,0.7507507936978107,0.0013688799206727541,0,0.023340116358659603,140,55.351913850874595,0.04285714285714286,0.026552090395357414,58089.59098147016,81478.34557488462,13571738.730420072,13569587.979111804,N3_180deg_di0p75,12,48.84259325654233,83.20354615067023,1.6,88798.30908160827
129.36086185788736,14548.078341363547,10219.428373912699,0,44.0,1467.0,0.29936695098876953,139.0,BO3-BLS-MSC,0.7507507936978107,7.8004628845768e-05,0,0.008310387726555755,140,0.7989693498684554,0.9375,0.013633867587199429,3250.6228306950325,3475.805604139874,13571738.730420072,13569587.979111804,N3_180deg_di0p75,12,2.559656781640344,3.6788468786060466,5.3,88798.30908160827
129.36086185788736,14548.078341363547,10219.428373912699,0,44.0,4401.0,0.3327059745788574,139.0,BO3-BLS-FULL,0.7507507936978107,7.8004628845768e-05,0,0.008310387726555755,140,0.7989693498684554,0.9375,0.013633867587199429,3250.6228306950325,3475.805604139874,13571738.730420072,13569587.979111804,N3_180deg_di0p75,12,2.559656781640344,3.6788468786060466,5.5,88798.30908160827
