box,v_tol_ms,rho_km,da_m,crlb_rel_drift,crlb_m_drift,crlb_rel_burn,crlb_m_burn,gain
T3 headline 30km/50,50.0,30.0,29416.369908454297,0.012854579734953592,540.6923146494888,0.010965510020712665,461.23382612731524,1.3742257839189982
TB3 10km/10,10.0,10.0,5883.27398169086,0.058738651756607106,681.7221786199771,0.01265210529186103,146.8406326286958,21.553725754204745
TB4 5km/2,2.0,5.0,1176.6547963381718,0.26705203281170403,1371.848653706599,0.005100159396167352,26.199563911406415,2741.7274335481243
TB5 5km/1,1.0,5.0,588.3273981690859,0.5142031817801695,2588.863668455175,0.004311403961201821,21.706666684845416,14224.338752326083
(hypothetical 5km/0.1),0.1,5.0,58.8327398169086,5.060527474559245,25304.49825183883,0.0037069740002984826,18.53623314599925,1863599.1088392665
