kind,alt,e_target,e_sat,phase_deg,relation,rollout_seed,success_n,total,phys_n,phys_total,causes,wall_s
diag,LEO,0.1,0.1,180,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.1,0.1,180,same_orbit,31415,0,200,0,0,gave_up=200,1.8
diag,LEO,0.1,0.1,180,fully_random,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.1,0.1,180,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.1,0.1,180,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,30,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,30,same_orbit,1337,0,200,0,0,gave_up=200,2.0
diag,LEO,0.2,0.2,30,same_orbit,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,30,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.2,0.2,30,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,30,fully_random,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.2,0.2,90,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,90,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,90,same_orbit,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.2,0.2,90,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.2,0.2,90,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,90,fully_random,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.2,0.2,150,same_orbit,42,0,200,0,0,gave_up=200,1.8
diag,LEO,0.2,0.2,150,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,150,same_orbit,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,150,fully_random,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,150,fully_random,1337,0,200,0,0,gave_up=200,2.0
diag,LEO,0.2,0.2,150,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,180,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,180,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,180,same_orbit,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,180,fully_random,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,180,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.2,0.2,180,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,30,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,30,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,30,same_orbit,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,30,fully_random,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,30,fully_random,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,30,fully_random,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,90,same_orbit,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,90,same_orbit,1337,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,90,same_orbit,31415,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,90,fully_random,42,0,200,0,0,gave_up=200,1.9
diag,LEO,0.3,0.3,90,fully_random,1337,0,200,0,0,gave_up=200,1.7
diag,LEO,0.3,0.3,90,fully_random,31415,0,200,0,0,gave_up=200,2.0
diag,LEO,0.3,0.3,150,same_orbit,42,0,200,0,0,gave_up=200,2.1
diag,LEO,0.3,0.3,150,same_orbit,1337,0,200,0,0,gave_up=200,2.1
diag,LEO,0.3,0.3,150,same_orbit,31415,0,200,0,0,gave_up=200,2.2
diag,LEO,0.3,0.3,150,fully_random,42,0,200,0,0,gave_up=200,2.0
diag,LEO,0.3,0.3,150,fully_random,1337,0,200,0,0,gave_up=200,2.0
diag,LEO,0.3,0.3,150,fully_random,31415,0,200,0,0,gave_up=200,2.1
diag,LEO,0.3,0.3,180,same_orbit,42,0,200,0,0,gave_up=200,2.1
diag,LEO,0.3,0.3,180,same_orbit,1337,0,200,0,0,gave_up=200,2.0
diag,LEO,0.3,0.3,180,same_orbit,31415,0,200,0,0,gave_up=200,2.0
