alt_km,K_deg,i_range,theta_disc_p50,theta_disc_p99,theta_disc_max,theta_box_p50,theta_box_p99,theta_box_max,dv_disc_p99,dv_disc_max,dv_box_p99,dv_box_max,box_over_disc_p99,box_max_over_disc_max
400.0,0.25,"i~U(0,90)",0.1768019638122484,0.2487585236826253,0.24999980219059847,0.16629424370145318,0.3065284920137066,0.35080600885918806,33.311752274582716,33.47797410332532,41.04782775844217,46.97709897759828,1.2322326192898045,1.4032240670421006
400.0,0.25,"i~U(20,60)",0.17705570806640464,0.2487431892051883,0.24999998994097924,0.16103855532238523,0.28622398450856795,0.32767679576359493,33.30969880721306,33.47799924531487,38.32881744211494,43.879830859596915,1.1506803968403045,1.3107064892994686
400.0,0.25,"i~U(80,100)",0.17686112816447547,0.248755845137582,0.24999971945965474,0.19897351285825304,0.3280383785546234,0.3529774610672638,33.31139358581314,33.47796302467656,43.92825097539516,47.26788135044996,1.3187154978140447,1.4119103159176343
400.0,0.5,"i~U(0,90)",0.3535504920258732,0.49745714563881754,0.4999997554628164,0.33226848527353836,0.6130054032323439,0.7045817648080577,66.6153260769381,66.95580909508647,82.08845460753534,94.35143529876659,1.2322758056115553,1.409159811134155
400.0,0.5,"i~U(20,60)",0.3535302893907779,0.4974684322210259,0.4999994646451938,0.3225865580853775,0.5724564129229859,0.6585602503687853,66.6168374727186,66.95577015145612,76.6585264825026,88.1887063107545,1.150738002444147,1.3171188399635878
400.0,0.5,"i~U(80,100)",0.35367343976829363,0.4974801865910565,0.4999998519022719,0.398032888611709,0.6560577285365542,0.7062904781412934,66.61841151036181,66.95582200937437,87.85359384855141,94.58024836842242,1.318758461163348,1.4125769131051873
400.0,1.0,"i~U(0,90)",0.7064689444621072,0.994905775026025,0.9999989660513261,0.6660922981603323,1.226477424841159,1.4127039617253874,133.22825637504096,133.91027048684032,164.23704237251656,189.17337437611275,1.2327493194100287,1.4126875682377422
400.0,1.0,"i~U(20,60)",0.7077053391975822,0.9949269581289341,0.9999999023965686,0.6445549891954525,1.144776282966951,1.3103016148353404,133.23109294210172,133.91039587003175,153.29685602613773,175.46142852592936,1.1506087103312737,1.310289820188609
400.0,1.0,"i~U(80,100)",0.7077073361865824,0.9949533162228704,0.999999016303359,0.7959713518642746,1.3119075480936089,1.4115210043443165,133.23462247699706,133.91027721593977,175.67646835872105,189.0149740866484,1.3185496764480387,1.4115046135095997
400.0,2.0,"i~U(0,90)",1.4130645025321729,1.989998877224909,1.9999959605585724,1.3270629910997596,2.448568420365604,2.812719980726925,266.47155160362183,267.81007923580177,327.86800909199064,376.61944279928485,1.230405298872941,1.4062930113533123
400.0,2.0,"i~U(20,60)",1.413654725260896,1.9897783688424395,1.9999994933636225,1.288763471386866,2.2869420776725056,2.6401482350198524,266.4420273131737,267.8105522491222,306.22890666816795,353.5165393240605,1.1493265899385652,1.3200246829527948
400.0,2.0,"i~U(80,100)",1.4129685908561476,1.9900544315000706,1.9999999785428937,1.59120741457512,2.625723504928037,2.824308366564627,266.47898987196703,267.810617210606,351.5854031660713,378.1707985997655,1.3193738213094948,1.4120829209036636
20200.0,0.25,"i~U(0,90)",0.17682232889992563,0.2487391529883191,0.24999996467646346,0.1659854670386298,0.3058153379523758,0.3513414339327389,16.814583561763673,16.899813368495728,20.672883327344234,23.75040363353505,1.2294615118720114,1.40536484727163
20200.0,0.25,"i~U(20,60)",0.1764310004858904,0.24872225605335938,0.24999944710261532,0.16100087688578685,0.286011999038048,0.3305968226980954,16.813441343197667,16.89977838094054,19.334195614507582,22.348088299678377,1.149924945158818,1.3223894299633188
20200.0,0.25,"i~U(80,100)",0.1770142426671289,0.24879565622727262,0.24999977774781593,0.1988734007893158,0.3280390055240289,0.3531120654005882,16.818403133104944,16.89980073227696,22.17518232061344,23.870096545368796,1.31850700361465,1.4124484024109973
20200.0,0.5,"i~U(0,90)",0.3534596471664199,0.4974844655933055,0.4999998892947417,0.33261592763505055,0.6127437926316365,0.7028316761632849,33.62950427925085,33.7995435920168,41.42086427497855,47.510643150352934,1.2316822731322539,1.405659310783551
