action,tau_substeps,decisions_per_episode,gamma_pow_H,gae_window_decisions,gae_window_as_frac_of_episode
coast/burn,1,2000.0,4.427529784808308e-05,9.569377990430619,0.004784688995215309
warp5min,5,400.0,0.1346580429260134,9.569377990430619,0.023923444976076548
warp30min,30,66.66666666666667,0.715932453683181,9.569377990430619,0.14354066985645927
warp1hr,60,33.333333333333336,0.8461279180379176,9.569377990430619,0.28708133971291855
